id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_filter_01,characters/0/hide_char_id,fade,jump_target,play_sound
d_nikke_mary_02_1,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_1,False,Corridor,6,1,2.0,none,,,,,,,,,,
d_nikke_mary_02_2,d_nikke_mary_02,Monologue,Locale_NikkeEpisode:d_nikke_mary_02_2,,,1,1,1.0,,,,,,,,,,,
d_nikke_mary_02_3,d_nikke_mary_02,Monologue,Locale_NikkeEpisode:d_nikke_mary_02_3,,none,1,1,1.0,,,,,,,,,,,
d_nikke_mary_02_4,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_4,True,CommanderRoom,S_10,S_10,1.0,bgm_risk,pepper,pepper,pepper,1,angry,Grey,,,,
d_nikke_mary_02_5,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_5,,,S_10,S_10,1.0,,pepper,,,1,angry,Grey,,,,
d_nikke_mary_02_6,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_6,True,,S_10,S_10,1.0,,pepper,pepper,,1,angry,Grey,,,,
d_nikke_mary_02_7,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_7,True,,S_10,S_10,1.0,,pepper,pepper,,1,angry,Grey,,,,
d_nikke_mary_02_8,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_8,True,,S_10,S_100,2.0,,pepper,pepper,,1,shy,Grey,,,,
d_nikke_mary_02_9,d_nikke_mary_02,Speech,Locale_NikkeEpisode:d_nikke_mary_02_9,True,,S_100,S_100,1.0,,pepper,pepper,,1,shy,Grey,,,,
d_nikke_mary_02_10,d_nikke_mary_02,Self,Locale_NikkeEpisode:d_nikke_mary_02_10,,,S_100,S_100,1.0,,pepper,,,1,shy,Grey,,,,
