id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,jump_target,play_sound,set_object,set_object_position,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
treasurestory_tove_06_1,treasurestory_tove_06,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_06_1,True,RuinIndoor,S_10,S_10,1.0,bgm_frostpillar,,,,,,tove,1,idle,
treasurestory_tove_06_2,treasurestory_tove_06,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_06_2,True,,S_10,S_10,1.0,,,,,,,,1,idle,
treasurestory_tove_06_3,treasurestory_tove_06,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_06_3,True,,S_10,S_10,1.0,,,,,,,,1,idle,
treasurestory_tove_06_4,treasurestory_tove_06,Monologue,tove,,Locale_NikkeEpisode:treasurestory_tove_06_4,False,,black,black,1.0,,,,,,,,1,idle,
treasurestory_tove_06_5,treasurestory_tove_06,Monologue,tove,,Locale_NikkeEpisode:treasurestory_tove_06_5,False,,black,black,1.0,,,,,,,,1,idle,
treasurestory_tove_06_6,treasurestory_tove_06,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_06_6,True,,S_10,S_10,1.0,,,,,,,,1,idle,
treasurestory_tove_06_7,treasurestory_tove_06,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_06_7,True,,S_10,S_10,1.0,,,,,,,,1,idle,
treasurestory_tove_06_8,treasurestory_tove_06,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_06_8,True,,S_10,S_10,1.0,,,,,,,,1,idle,
treasurestory_tove_06_9,treasurestory_tove_06,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_06_9,True,,S_10,S_10,1.0,,,,,,,,1,idle,
treasurestory_tove_06_10,treasurestory_tove_06,Self,tove,,Locale_NikkeEpisode:treasurestory_tove_06_10,False,,S_10,S_10,1.0,,,,,,,,1,idle,
treasurestory_tove_06_11,treasurestory_tove_06,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_06_11,True,,S_10,S_100,1.3,,,,,,,,1,idle,
treasurestory_tove_06_12,treasurestory_tove_06,Monologue,tove,,Locale_NikkeEpisode:treasurestory_tove_06_12,False,,black,black,1.0,,,,,,,,1,idle,
treasurestory_tove_06_13,treasurestory_tove_06,Monologue,tove,,Locale_NikkeEpisode:treasurestory_tove_06_13,False,,black,black,1.0,,,,,,,,1,idle,
treasurestory_tove_06_14,treasurestory_tove_06,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_06_14,True,,S_100,S_100,1.0,,black,,,,,,1,think,
treasurestory_tove_06_15,treasurestory_tove_06,Monologue,tove,,Locale_NikkeEpisode:treasurestory_tove_06_15,False,,S_100,S_100,1.0,,,,,,,,1,think,
treasurestory_tove_06_16,treasurestory_tove_06,Self,tove,,Locale_NikkeEpisode:treasurestory_tove_06_16,False,,S_100,S_100,1.0,,,,,,,,1,think,
treasurestory_tove_06_17,treasurestory_tove_06,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_06_17,True,,S_100,S_10,1.0,,,,,,,,1,idle,
treasurestory_tove_06_18,treasurestory_tove_06,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_06_18,True,,S_10,S_10,1.0,,,,,,,,1,idle,
treasurestory_tove_06_19,treasurestory_tove_06,Self,tove,,Locale_NikkeEpisode:treasurestory_tove_06_19,False,,S_10,S_10,1.0,,,,,,,,1,idle,
treasurestory_tove_06_20,treasurestory_tove_06,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_06_20,True,,S_10,S_10,1.0,,,,,,,,1,idle,
treasurestory_tove_06_21,treasurestory_tove_06,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_06_21,True,,S_10,S_10,1.0,,,,,,,,1,idle,
treasurestory_tove_06_22,treasurestory_tove_06,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_06_22,True,,S_10,S_10,1.0,,,,,,,,1,idle,
treasurestory_tove_06_23,treasurestory_tove_06,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_06_23,True,,S_10,S_10,1.0,,,,,,,,1,idle,
treasurestory_tove_06_24,treasurestory_tove_06,Monologue,tove,,Locale_NikkeEpisode:treasurestory_tove_06_24,False,,S_10,S_10,1.0,,,,,,,,1,idle,
treasurestory_tove_06_25,treasurestory_tove_06,Monologue,tove,,Locale_NikkeEpisode:treasurestory_tove_06_25,False,,S_10,S_10,1.0,,,,,,,,1,idle,
treasurestory_tove_06_26,treasurestory_tove_06,Monologue,tove,,Locale_NikkeEpisode:treasurestory_tove_06_26,False,,S_10,S_10,1.0,,,,,,,,1,idle,
treasurestory_tove_06_27,treasurestory_tove_06,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_06_27,True,,S_10,S_10,1.0,,,,,,,,1,idle,
treasurestory_tove_06_28,treasurestory_tove_06,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_06_28,True,,S_10,S_10,1.0,,,,,,,,1,idle,
treasurestory_tove_06_29,treasurestory_tove_06,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_06_29,True,,S_10,S_10,1.0,,,,,,,,1,idle,
treasurestory_tove_06_30,treasurestory_tove_06,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_06_30,True,,S_10,S_10,1.0,,,,,,,,1,idle,
treasurestory_tove_06_31,treasurestory_tove_06,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_06_31,True,,S_10,S_10,1.0,,,,,,,,1,idle,
treasurestory_tove_06_32,treasurestory_tove_06,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_06_32,True,,S_10,S_10,1.0,,,,,,,,1,idle,
treasurestory_tove_06_33,treasurestory_tove_06,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_06_33,True,,S_10,S_10,1.0,,,,,,,,1,idle,
treasurestory_tove_06_34,treasurestory_tove_06,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_06_34,True,,S_10,S_10,1.0,,,,,,,,1,delight,
treasurestory_tove_06_35,treasurestory_tove_06,Choice,tove,,Locale_NikkeEpisode:treasurestory_tove_06_35,False,,S_10,S_10,1.0,,,treasurestory_tove_06_37,,,,,1,delight,
treasurestory_tove_06_36,treasurestory_tove_06,Choice,tove,,Locale_NikkeEpisode:treasurestory_tove_06_36,False,,S_10,S_10,1.0,,,treasurestory_tove_06_40,,,,,1,delight,
treasurestory_tove_06_37,treasurestory_tove_06,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_06_37,True,,S_10,S_10,1.0,,,,,,,,1,idle,
treasurestory_tove_06_38,treasurestory_tove_06,Self,tove,,Locale_NikkeEpisode:treasurestory_tove_06_38,False,,S_10,S_10,1.0,,,,,,,,1,idle,
treasurestory_tove_06_39,treasurestory_tove_06,Self,tove,,Locale_NikkeEpisode:treasurestory_tove_06_39,False,,S_10,S_10,1.0,,,treasurestory_tove_06_40,,,,,1,idle,
treasurestory_tove_06_40,treasurestory_tove_06,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_06_40,True,,S_10,S_10,1.0,,,,,,,,1,no,
treasurestory_tove_06_41,treasurestory_tove_06,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_06_41,True,,S_10,S_10,1.0,,,,,,,,1,no,
treasurestory_tove_06_42,treasurestory_tove_06,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_06_42,True,,S_10,S_100,1.3,none,,,,,,,1,worry,
treasurestory_tove_06_43,treasurestory_tove_06,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_06_43,True,,S_100,S_100,1.0,,,,,,,,1,think,
treasurestory_tove_06_44,treasurestory_tove_06,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_06_44,True,,S_100,S_100,1.0,,,,,,,,1,think,
treasurestory_tove_06_45,treasurestory_tove_06,Narration,tove,,Locale_NikkeEpisode:treasurestory_tove_06_45,False,,black,black,1.0,,,,sfx_scn_firestarter,,,,1,think,
treasurestory_tove_06_46,treasurestory_tove_06,Monologue,tove,,Locale_NikkeEpisode:treasurestory_tove_06_46,False,,black,black,1.0,,,,,,,,1,think,
treasurestory_tove_06_47,treasurestory_tove_06,Monologue,tove,,Locale_NikkeEpisode:treasurestory_tove_06_47,False,,black,black,1.0,,,,,,,,1,think,
treasurestory_tove_06_48,treasurestory_tove_06,Narration,tove,,Locale_NikkeEpisode:treasurestory_tove_06_48,False,,black,black,1.0,,,,sfx_scn_fire,,,,1,think,
treasurestory_tove_06_49,treasurestory_tove_06,Speech,tove,tove,Locale_NikkeEpisode:treasurestory_tove_06_49,True,,S_100,S_10,1.3,ambient_scn_burnsilent,,,,,,,1,idle,
