id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,fade,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/8/show_char_id,characters/8/set_char_position,characters/8/set_char_anim
d_nikke_ce_003_02_05_1,d_nikke_ce_003_02_05,Narration,ce_003_02,Locale_NikkeEpisode:d_nikke_ce_003_02_05_1,False,MaidCafe,2,1,1.0,bgm_story_languor,,,,,ce_003_02,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_ce_003_02_05_2,d_nikke_ce_003_02_05,Speech,ce_003_02,Locale_NikkeEpisode:d_nikke_ce_003_02_05_2,True,,1,10,1.0,,ce_003_02,,,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_ce_003_02_05_3,d_nikke_ce_003_02_05,Speech,ce_003_02,Locale_NikkeEpisode:d_nikke_ce_003_02_05_3,True,,10,10,1.0,,ce_003_02,sfx_scn_pour_water,,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_ce_003_02_05_4,d_nikke_ce_003_02_05,Speech,ce_003_02,Locale_NikkeEpisode:d_nikke_ce_003_02_05_4,True,,10,10,1.0,,ce_003_02,sfx_scn_cookknife,,,,1,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_ce_003_02_05_5,d_nikke_ce_003_02_05,Speech,ce_003_02,Locale_NikkeEpisode:d_nikke_ce_003_02_05_5,True,,10,10,1.0,,ce_003_02,sfx_scn_cake_powderfalls,,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_ce_003_02_05_6,d_nikke_ce_003_02_05,Speech,ce_003_02,Locale_NikkeEpisode:d_nikke_ce_003_02_05_6,True,,10,10,1.0,,ce_003_02,sfx_scn_overflowingwater,,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_ce_003_02_05_7,d_nikke_ce_003_02_05,Speech,ce_003_02,Locale_NikkeEpisode:d_nikke_ce_003_02_05_7,True,,10,10,1.0,,ce_003_02,,,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_ce_003_02_05_8,d_nikke_ce_003_02_05,Narration,ce_003_02,Locale_NikkeEpisode:d_nikke_ce_003_02_05_8,False,,black,black,1.0,,,,black,,,1,idle,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_ce_003_02_05_9,d_nikke_ce_003_02_05,Speech,soda,Locale_NikkeEpisode:d_nikke_ce_003_02_05_9,True,,12,12,1.0,,soda,,,,,1,idle,soda,13,sad,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_ce_003_02_05_10,d_nikke_ce_003_02_05,Speech,ce_003_02,Locale_NikkeEpisode:d_nikke_ce_003_02_05_10,True,,12,12,1.0,,ce_003_02,,,,,1,idle,,13,sad,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_ce_003_02_05_11,d_nikke_ce_003_02_05,Speech,soda,Locale_NikkeEpisode:d_nikke_ce_003_02_05_11,True,,12,12,1.0,,soda,,,,,1,idle,,13,sad,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_ce_003_02_05_12,d_nikke_ce_003_02_05,Speech,ce_003_02,Locale_NikkeEpisode:d_nikke_ce_003_02_05_12,True,,12,12,1.0,,ce_003_02,,,,,1,delight,,13,sad,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_ce_003_02_05_13,d_nikke_ce_003_02_05,Narration,soda,Locale_NikkeEpisode:d_nikke_ce_003_02_05_13,False,,12,S_130,1.0,none,,sfx_scn_silverware,,,,1,idle,,13,sad,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_ce_003_02_05_14,d_nikke_ce_003_02_05,Narration,soda,Locale_NikkeEpisode:d_nikke_ce_003_02_05_14,False,,S_130,S_130,1.0,,,,,,,1,idle,,13,sad,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_ce_003_02_05_15,d_nikke_ce_003_02_05,Speech,soda,Locale_NikkeEpisode:d_nikke_ce_003_02_05_15,True,,S_130,S_130,0.6,bgm_story_girlstalk,soda,,,,,1,idle,,13,shy,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_ce_003_02_05_16,d_nikke_ce_003_02_05,Speech,soda,Locale_NikkeEpisode:d_nikke_ce_003_02_05_16,True,,S_130,S_130,1.0,,soda,,,,,1,idle,,13,shy,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_ce_003_02_05_17,d_nikke_ce_003_02_05,Speech,soda,Locale_NikkeEpisode:d_nikke_ce_003_02_05_17,True,,S_130,S_130,1.0,,soda,,,,,1,idle,,13,think,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_ce_003_02_05_18,d_nikke_ce_003_02_05,Speech,ce_003_02,Locale_NikkeEpisode:d_nikke_ce_003_02_05_18,True,,10,10,1.0,,ce_003_02,,,,,1,idle,,13,think,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_ce_003_02_05_19,d_nikke_ce_003_02_05,Speech,ce_003_02,Locale_NikkeEpisode:d_nikke_ce_003_02_05_19,True,,10,10,1.0,,ce_003_02,,,,,1,idle,,13,think,,,,,,,,,,,,,,,,,,,,,,,,,
d_nikke_ce_003_02_05_20,d_nikke_ce_003_02_05,Speech,ce_003_02,Locale_NikkeEpisode:d_nikke_ce_003_02_05_20,True,,10,12,1.0,,ce_003_02,,,,,1,idle,,13,think,,,,,,,,,,,,,,,,,,,,,,,,,
