id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,highlight,characters/0/hide_char_id,jump_target,play_sound,set_camera_shake,fade,set_filter_01
d_nikke_delta_05_1,d_nikke_delta_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_delta_05_1,False,Armory,black,black,3.0,bgm_enemyclose,,,,,,,,,,
d_nikke_delta_05_2,d_nikke_delta_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_delta_05_2,False,,19,15,3.0,,,,,,,,,,,
d_nikke_delta_05_3,d_nikke_delta_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_delta_05_3,False,,15,17,0.5,,delta,1,idle,,,,,,,
d_nikke_delta_05_4,d_nikke_delta_05,Self,Self,Locale_NikkeEpisode:d_nikke_delta_05_4,False,,1,1,1.0,,,1,idle,,,,,,,
d_nikke_delta_05_5,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_5,True,,1,1,1.0,,,1,delight,delta,,,,,,
d_nikke_delta_05_6,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_6,True,,1,1,1.0,,,1,delight,delta,,,,,,
d_nikke_delta_05_7,d_nikke_delta_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_delta_05_7,False,,1,6001,1.0,,,1,delight,,delta,,,,,
d_nikke_delta_05_8,d_nikke_delta_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_delta_05_8,False,,6001,6001,1.0,,,,,,,,,,,
d_nikke_delta_05_9,d_nikke_delta_05,Speech,machinesound,Locale_NikkeEpisode:d_nikke_delta_05_9,True,,black,black,1.0,,delta,1,idle,machinesound,,,,,,
d_nikke_delta_05_10,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_10,True,,1,1,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_11,d_nikke_delta_05,Self,Self,Locale_NikkeEpisode:d_nikke_delta_05_11,False,,1,1,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_12,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_12,True,,1,5,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_13,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_13,True,,5,9,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_14,d_nikke_delta_05,Choice,,Locale_NikkeEpisode:d_nikke_delta_05_14,False,,9,1,1.0,,,1,idle,delta,,d_nikke_delta_05_20,,,,
d_nikke_delta_05_15,d_nikke_delta_05,Choice,,Locale_NikkeEpisode:d_nikke_delta_05_15,False,,1,1,1.0,,,1,idle,delta,,d_nikke_delta_05_16,,,,
d_nikke_delta_05_16,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_16,True,,1,1,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_17,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_17,True,,1,1,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_18,d_nikke_delta_05,Self,Self,Locale_NikkeEpisode:d_nikke_delta_05_18,False,,1,1,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_19,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_19,True,,1,1,1.0,,,1,delight,delta,,,,,,
d_nikke_delta_05_20,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_20,True,RuinIndoor,black,black,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_21,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_21,True,,5,9,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_22,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_22,True,,9,9,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_23,d_nikke_delta_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_delta_05_23,True,,black,black,1.0,,,1,idle,,delta,,,,,
d_nikke_delta_05_24,d_nikke_delta_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_delta_05_24,False,,1,1,1.0,none,,,,,,,sfx_scn_flare,Low_1,,
d_nikke_delta_05_25,d_nikke_delta_05,Speech,outlaws,Locale_NikkeEpisode:d_nikke_delta_05_25,True,,1,1,1.0,bgm_story_fairytalesend_a,,,,outlaws,,,,,,
d_nikke_delta_05_26,d_nikke_delta_05,Speech,outlaws,Locale_NikkeEpisode:d_nikke_delta_05_26,True,,1,1,1.0,,,,,outlaws,,,,Low_1,,
d_nikke_delta_05_27,d_nikke_delta_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_delta_05_27,False,,1,1,1.0,,,,,,,,sfx_scn_beatup,Low_1,,
d_nikke_delta_05_28,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_28,True,,1,1,1.0,,delta,1,idle,delta,,,,,,
d_nikke_delta_05_29,d_nikke_delta_05,Self,Self,Locale_NikkeEpisode:d_nikke_delta_05_29,False,,1,1,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_30,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_30,True,,1,1,1.0,,,1,think,delta,,,,,,
d_nikke_delta_05_31,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_31,True,,1,1,1.0,,,1,delight,delta,,,,,,
d_nikke_delta_05_32,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_32,True,,1,1,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_33,d_nikke_delta_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_delta_05_33,False,,black,black,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_34,d_nikke_delta_05,Speech,outlaws,Locale_NikkeEpisode:d_nikke_delta_05_34,True,,15,15,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_35,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_35,True,,15,1,2.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_36,d_nikke_delta_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_delta_05_36,False,,black,black,1.0,,,1,idle,,,,,,,
d_nikke_delta_05_37,d_nikke_delta_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_delta_05_37,False,,black,black,1.0,,,1,idle,,,,,,,
d_nikke_delta_05_38,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_38,True,,1,10,0.5,,,1,idle,delta,,,,,,
d_nikke_delta_05_39,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_39,True,,10,10,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_40,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_40,True,,10,10,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_41,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_41,True,,10,10,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_42,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_42,True,,10,1,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_43,d_nikke_delta_05,Self,Self,Locale_NikkeEpisode:d_nikke_delta_05_43,False,,1,1,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_44,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_44,True,,1,1,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_45,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_45,True,,1,1,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_46,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_46,True,,1,1,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_47,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_47,True,,1,1,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_48,d_nikke_delta_05,Self,Self,Locale_NikkeEpisode:d_nikke_delta_05_48,False,,1,1,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_49,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_49,False,,1,1,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_50,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_50,True,,1,1,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_51,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_51,True,,1,1,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_52,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_52,True,,1,1,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_53,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_53,True,,1,1,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_54,d_nikke_delta_05,Self,Self,Locale_NikkeEpisode:d_nikke_delta_05_54,False,,1,1,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_55,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_55,True,,1,1,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_56,d_nikke_delta_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_delta_05_56,False,CommanderRoom,black,black,1.0,,,1,idle,,,,,,,
d_nikke_delta_05_57,d_nikke_delta_05,Speech,tvvoice,Locale_NikkeEpisode:d_nikke_delta_05_57,True,,9,6,3.0,bgm_story_backtonormal,,1,idle,tvvoice,delta,,,,black,
d_nikke_delta_05_58,d_nikke_delta_05,Speech,tvvoice,Locale_NikkeEpisode:d_nikke_delta_05_58,True,,6,60,1.0,,,,,tvvoice,,,,,,
d_nikke_delta_05_59,d_nikke_delta_05,Speech,tvvoice,Locale_NikkeEpisode:d_nikke_delta_05_59,True,,60,60,1.0,,,,,tvvoice,,,,,,
d_nikke_delta_05_60,d_nikke_delta_05,Speech,tvvoice,Locale_NikkeEpisode:d_nikke_delta_05_60,True,,60,60,1.0,,,,,tvvoice,,,,,,
d_nikke_delta_05_61,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_61,True,,1,1,1.0,,delta,1,idle,delta,,,,,,
d_nikke_delta_05_62,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_62,True,,1,1,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_63,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_63,True,,1,1,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_64,d_nikke_delta_05,Self,Self,Locale_NikkeEpisode:d_nikke_delta_05_64,False,,1,1,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_65,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_65,True,,1,1,1.0,,,1,delight,delta,,,,,,
d_nikke_delta_05_66,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_66,True,,1,1,1.0,,,1,delight,delta,,,,,,
d_nikke_delta_05_67,d_nikke_delta_05,Self,Self,Locale_NikkeEpisode:d_nikke_delta_05_67,False,,1,1,1.0,,,1,delight,delta,,,,,,
d_nikke_delta_05_68,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_68,True,,1,1,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_69,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_69,True,,1,1,1.0,,,1,sad,delta,,,,,,
d_nikke_delta_05_70,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_70,True,,1,1,1.0,,,1,sad,delta,,,,,,
d_nikke_delta_05_71,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_71,True,,1,1,1.0,,,1,sad,delta,,,,,,
d_nikke_delta_05_72,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_72,True,,1,1,1.0,,,1,sad,delta,,,,,,
d_nikke_delta_05_73,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_73,True,,1,1,1.0,,,1,delight,delta,,,,,,
d_nikke_delta_05_74,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_74,True,,1,1,1.0,,,1,think,delta,,,,,,
d_nikke_delta_05_75,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_75,True,,1,1,1.0,,,1,delight,delta,,,,,,
d_nikke_delta_05_76,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_76,True,,1,1,1.0,,,1,delight,delta,,,,,,
d_nikke_delta_05_77,d_nikke_delta_05,Choice,,Locale_NikkeEpisode:d_nikke_delta_05_77,False,,1,1,1.0,,,1,delight,delta,,d_nikke_delta_05_79,,,,
d_nikke_delta_05_78,d_nikke_delta_05,Choice,,Locale_NikkeEpisode:d_nikke_delta_05_78,False,,1,1,1.0,,,1,delight,delta,,d_nikke_delta_05_79,,,,
d_nikke_delta_05_79,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_79,True,,1,10,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_80,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_80,True,,10,10,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_81,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_81,True,,10,10,1.0,,,1,delight,delta,,,,,,
d_nikke_delta_05_82,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_82,True,,10,10,1.0,,,1,delight,delta,,,,,,
d_nikke_delta_05_83,d_nikke_delta_05,Self,Self,Locale_NikkeEpisode:d_nikke_delta_05_83,False,,10,10,1.0,,,1,delight,delta,,,,,,
d_nikke_delta_05_84,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_84,True,,10,10,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_85,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_85,True,,10,10,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_86,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_86,True,,10,10,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_87,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_87,True,,10,10,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_88,d_nikke_delta_05,Choice,,Locale_NikkeEpisode:d_nikke_delta_05_88,False,,10,10,1.0,,,1,idle,delta,,d_nikke_delta_05_90,,,,
d_nikke_delta_05_89,d_nikke_delta_05,Choice,,Locale_NikkeEpisode:d_nikke_delta_05_89,False,,10,10,1.0,,,1,idle,delta,,d_nikke_delta_05_90,,,,
d_nikke_delta_05_90,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_90,True,,10,10,1.0,,,1,think,delta,,,,,,
d_nikke_delta_05_91,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_91,True,,10,10,1.0,,,1,delight,delta,,,,,,
d_nikke_delta_05_92,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_92,True,,10,10,1.0,,,1,delight,delta,,,,,,
d_nikke_delta_05_93,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_93,True,,10,10,1.0,,,1,delight,delta,,,,,,
d_nikke_delta_05_94,d_nikke_delta_05,Self,Self,Locale_NikkeEpisode:d_nikke_delta_05_94,False,,10,10,1.0,,,1,delight,delta,,,,,,
d_nikke_delta_05_95,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_95,True,,10,10,1.0,,,1,delight,delta,,,,,,
d_nikke_delta_05_96,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_96,True,,10,S_100,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_97,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_97,True,,S_100,S_100,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_98,d_nikke_delta_05,Self,Self,Locale_NikkeEpisode:d_nikke_delta_05_98,False,Restaurant,black,black,1.0,,,,,delta,delta,,,,,
d_nikke_delta_05_99,d_nikke_delta_05,Speech,actress,Locale_NikkeEpisode:d_nikke_delta_05_99,True,,1,1,1.0,,,,,actress,,,,,,Grey
d_nikke_delta_05_100,d_nikke_delta_05,Speech,actress,Locale_NikkeEpisode:d_nikke_delta_05_100,True,,1,10,1.0,,,,,actress,,,,,,Grey
d_nikke_delta_05_101,d_nikke_delta_05,Self,Self,Locale_NikkeEpisode:d_nikke_delta_05_101,False,CommanderRoom,black,black,1.0,,delta,1,idle,delta,,,,,,
d_nikke_delta_05_102,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_102,True,,10,10,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_103,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_103,True,,10,10,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_104,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_104,True,,10,10,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_105,d_nikke_delta_05,Self,Self,Locale_NikkeEpisode:d_nikke_delta_05_105,False,,10,10,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_106,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_106,True,,10,10,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_107,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_107,True,,10,10,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_108,d_nikke_delta_05,Self,Self,Locale_NikkeEpisode:d_nikke_delta_05_108,False,,10,10,1.0,,,1,delight,delta,,,,,,
d_nikke_delta_05_109,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_109,True,,10,10,1.0,,,1,delight,delta,,,,,,
d_nikke_delta_05_110,d_nikke_delta_05,Narration,Narration,Locale_NikkeEpisode:d_nikke_delta_05_110,False,NikkeRoom,5,1,2.0,,,1,delight,delta,delta,,,,black,
d_nikke_delta_05_111,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_111,True,,1,1,1.0,,delta,1,idle,delta,,,,,,
d_nikke_delta_05_112,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_112,True,,1,1,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_113,d_nikke_delta_05,Self,Self,Locale_NikkeEpisode:d_nikke_delta_05_113,False,,1,5,1.5,,,1,idle,delta,,,,,,
d_nikke_delta_05_114,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_114,True,,5,5,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_115,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_115,True,,5,5,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_116,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_116,True,,5,5,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_117,d_nikke_delta_05,Self,Self,Locale_NikkeEpisode:d_nikke_delta_05_117,False,,5,1,1.5,,,1,idle,delta,,,,,,
d_nikke_delta_05_118,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_118,True,,1,1,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_119,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_119,True,,1,1,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_120,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_120,True,,1,1,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_121,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_121,True,,1,1,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_122,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_122,True,,1,1,1.0,,,1,sad,delta,,,,,,
d_nikke_delta_05_123,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_123,True,,1,1,1.0,,,1,sad,delta,,,,,,
d_nikke_delta_05_124,d_nikke_delta_05,Self,Self,Locale_NikkeEpisode:d_nikke_delta_05_124,False,,1,1,1.0,,,1,sad,delta,,,,,,
d_nikke_delta_05_125,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_125,True,,1,10,1.0,,,1,delight,delta,,,,,,
d_nikke_delta_05_126,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_126,True,,10,10,1.0,,,1,delight,delta,,,,,,
d_nikke_delta_05_127,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_127,True,,10,10,1.0,,,1,delight,delta,,,,,,
d_nikke_delta_05_128,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_128,True,,10,10,1.0,,,1,delight,delta,,,,,,
d_nikke_delta_05_129,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_129,True,,10,10,1.0,,,1,delight,delta,,,,,,
d_nikke_delta_05_130,d_nikke_delta_05,Self,Self,Locale_NikkeEpisode:d_nikke_delta_05_130,False,,10,10,1.0,,,1,delight,delta,,,,,,
d_nikke_delta_05_131,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_131,True,,10,10,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_132,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_132,True,,10,10,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_133,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_133,True,,10,10,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_134,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_134,True,,10,10,1.0,,,1,idle,delta,,,,,,
d_nikke_delta_05_135,d_nikke_delta_05,Speech,delta,Locale_NikkeEpisode:d_nikke_delta_05_135,True,,10,100,0.5,,,1,delight,delta,,,,,,
d_nikke_delta_05_136,d_nikke_delta_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_delta_05_136,False,,100,100,1.0,,,1,delight,delta,,,,,,Blur_Low
d_nikke_delta_05_138,d_nikke_delta_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_delta_05_138,False,,100,6017,2.0,,,1,surprise,,,,,,,Blur_Low
d_nikke_delta_05_139,d_nikke_delta_05,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_delta_05_139,False,,black,black,1.0,,,1,surprise,,delta,,,,,Blur_Low
