id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,speaker,fade,play_sound,set_camera_shake,characters/0/hide_char_id,set_filter_02,conversation_id
d_nikke_mana_05_1,d_nikke_mana_05,Monologue,mana,Locale_NikkeEpisode:d_nikke_mana_05_1,False,mana,1,delight,Bar,1,1,1.0,bgm_story_mightfeel,Blur_Low,,,,,,,
d_nikke_mana_05_2,d_nikke_mana_05,Speech,mana,Locale_NikkeEpisode:d_nikke_mana_05_2,True,,1,delight,,1,1,1.0,,Blur_Low,mana,,,,,,
d_nikke_mana_05_3,d_nikke_mana_05,Monologue,mana,Locale_NikkeEpisode:d_nikke_mana_05_3,False,,1,delight,,1,1,1.0,,Blur_Low,,,,,,,
d_nikke_mana_05_4,d_nikke_mana_05,Speech,mana,Locale_NikkeEpisode:d_nikke_mana_05_4,True,,1,delight,,1,1,1.0,,Blur_Low,mana,,,,,,
d_nikke_mana_05_5,d_nikke_mana_05,Monologue,mana,Locale_NikkeEpisode:d_nikke_mana_05_5,False,,1,delight,,1,1,1.0,,Blur_Low,,,,,,,
d_nikke_mana_05_6,d_nikke_mana_05,Speech,mana,Locale_NikkeEpisode:d_nikke_mana_05_6,True,,1,delight,,1,10,1.0,,Blur_Low,mana,,,,,,
d_nikke_mana_05_7,d_nikke_mana_05,Self,mana,Locale_NikkeEpisode:d_nikke_mana_05_7,False,,1,delight,,10,10,1.0,,Blur_Low,,,,,,,
d_nikke_mana_05_8,d_nikke_mana_05,Self,mana,Locale_NikkeEpisode:d_nikke_mana_05_8,False,,1,delight,,10,10,1.0,,Blur_Low,,,,,,,
d_nikke_mana_05_9,d_nikke_mana_05,Self,mana,Locale_NikkeEpisode:d_nikke_mana_05_9,False,,1,delight,,10,10,1.0,,Blur_Low,,,,,,,
d_nikke_mana_05_10,d_nikke_mana_05,Speech,mana,Locale_NikkeEpisode:d_nikke_mana_05_10,True,,1,delight,,10,10,1.0,,Blur_Low,mana,,,,,,
d_nikke_mana_05_11,d_nikke_mana_05,Self,mana,Locale_NikkeEpisode:d_nikke_mana_05_11,False,,1,delight,,10,10,1.0,,Blur_Low,,,,,,,
d_nikke_mana_05_12,d_nikke_mana_05,Speech,mana,Locale_NikkeEpisode:d_nikke_mana_05_12,True,,1,delight,,10,10,1.0,,Blur_Low,mana,,,,,,
d_nikke_mana_05_13,d_nikke_mana_05,Self,mana,Locale_NikkeEpisode:d_nikke_mana_05_13,False,,1,delight,,10,10,1.0,,Blur_Low,,,,,,,
d_nikke_mana_05_14,d_nikke_mana_05,Self,mana,Locale_NikkeEpisode:d_nikke_mana_05_14,False,,1,delight,,10,10,1.0,,Blur_Low,,,,,,,
d_nikke_mana_05_15,d_nikke_mana_05,Self,mana,Locale_NikkeEpisode:d_nikke_mana_05_15,False,,1,delight,,10,10,1.0,,Blur_Low,,,,,,,
d_nikke_mana_05_16,d_nikke_mana_05,Speech,mana,Locale_NikkeEpisode:d_nikke_mana_05_16,True,,1,delight,,10,10,1.0,,Blur_Low,mana,,,,,,
d_nikke_mana_05_17,d_nikke_mana_05,Speech,mana,Locale_NikkeEpisode:d_nikke_mana_05_17,True,,1,delight,,10,10,1.0,,Blur_Low,mana,,,,,,
d_nikke_mana_05_18,d_nikke_mana_05,Speech,mana,Locale_NikkeEpisode:d_nikke_mana_05_18,True,,1,delight,,10,10,1.0,,Blur_Low,mana,,,,,,
d_nikke_mana_05_19,d_nikke_mana_05,Self,mana,Locale_NikkeEpisode:d_nikke_mana_05_19,False,,1,delight,,10,10,1.0,,Blur_Low,,,,,,,
d_nikke_mana_05_20,d_nikke_mana_05,Self,mana,Locale_NikkeEpisode:d_nikke_mana_05_20,False,,1,delight,,10,10,1.0,,Blur_Low,,,,,,,
d_nikke_mana_05_21,d_nikke_mana_05,Monologue,mana,Locale_NikkeEpisode:d_nikke_mana_05_21,False,,1,delight,,10,10,1.0,,Blur_Low,,,,,,,
d_nikke_mana_05_22,d_nikke_mana_05,Monologue,mana,Locale_NikkeEpisode:d_nikke_mana_05_22,False,,1,delight,,10,10,1.0,,Blur_Low,,,,,,,
d_nikke_mana_05_23,d_nikke_mana_05,Monologue,mana,Locale_NikkeEpisode:d_nikke_mana_05_23,False,,1,delight,,10,10,1.0,,Blur_Low,,,,,,,
d_nikke_mana_05_24,d_nikke_mana_05,Monologue,mana,Locale_NikkeEpisode:d_nikke_mana_05_24,False,,1,delight,,10,10,1.0,,Blur_Low,,,,,,,
d_nikke_mana_05_25,d_nikke_mana_05,Monologue,mana,Locale_NikkeEpisode:d_nikke_mana_05_25,False,,1,delight,,10,10,1.0,,Blur_Low,,,,,,,
d_nikke_mana_05_26,d_nikke_mana_05,Monologue,mana,Locale_NikkeEpisode:d_nikke_mana_05_26,False,,1,delight,,10,10,1.0,,Blur_Low,,,,,,,
d_nikke_mana_05_27,d_nikke_mana_05,Monologue,mana,Locale_NikkeEpisode:d_nikke_mana_05_27,False,,1,delight,,10,10,1.0,,Blur_Low,,,,,,,
d_nikke_mana_05_28,d_nikke_mana_05,Monologue,mana,Locale_NikkeEpisode:d_nikke_mana_05_28,False,,1,delight,,10,10,1.0,,Blur_Low,,,,,,,
d_nikke_mana_05_29,d_nikke_mana_05,Monologue,mana,Locale_NikkeEpisode:d_nikke_mana_05_29,False,,1,delight,,10,10,1.0,,Blur_Low,,,,,,,
d_nikke_mana_05_30,d_nikke_mana_05,Self,mana,Locale_NikkeEpisode:d_nikke_mana_05_30,False,,1,delight,,10,10,1.0,,Blur_Low,,,,,,,
d_nikke_mana_05_31,d_nikke_mana_05,Speech,mana,Locale_NikkeEpisode:d_nikke_mana_05_31,True,,1,delight,,10,10,1.0,,Blur_Low,mana,,,,,,
d_nikke_mana_05_32,d_nikke_mana_05,Self,mana,Locale_NikkeEpisode:d_nikke_mana_05_32,False,,1,delight,,10,10,1.0,,Blur_Low,,,,,,,
d_nikke_mana_05_33,d_nikke_mana_05,Self,mana,Locale_NikkeEpisode:d_nikke_mana_05_33,False,,1,delight,,10,10,1.0,,Blur_Low,,,,,,,
d_nikke_mana_05_34,d_nikke_mana_05,Speech,mana,Locale_NikkeEpisode:d_nikke_mana_05_34,True,,1,delight,,10,10,1.0,,Blur_Low,mana,,,,,,
d_nikke_mana_05_35,d_nikke_mana_05,Speech,mana,Locale_NikkeEpisode:d_nikke_mana_05_35,False,,1,delight,,10,10,1.0,,Blur_Low,mana,,,,,,
d_nikke_mana_05_36,d_nikke_mana_05,Speech,mana,Locale_NikkeEpisode:d_nikke_mana_05_36,True,,1,delight,,10,10,1.0,,Blur_Low,mana,,,,,,
d_nikke_mana_05_37,d_nikke_mana_05,Monologue,mana,Locale_NikkeEpisode:d_nikke_mana_05_37,False,,1,delight,,10,100,1.0,,Blur_Low,,,,,,,
d_nikke_mana_05_38,d_nikke_mana_05,Monologue,mana,Locale_NikkeEpisode:d_nikke_mana_05_38,False,,1,delight,,100,100,1.0,,Blur_Low,,,,,,,
d_nikke_mana_05_39,d_nikke_mana_05,Speech,mana,Locale_NikkeEpisode:d_nikke_mana_05_39,True,,1,delight,,100,100,1.0,,Blur_Low,mana,,,,,,
d_nikke_mana_05_40,d_nikke_mana_05,Monologue,mana,Locale_NikkeEpisode:d_nikke_mana_05_40,False,,1,delight,,100,10,1.0,,Blur_Low,,,,,,,
d_nikke_mana_05_41,d_nikke_mana_05,Speech,mana,Locale_NikkeEpisode:d_nikke_mana_05_41,True,,1,delight,,10,10,1.0,,Blur_Low,mana,,,,,,
d_nikke_mana_05_42,d_nikke_mana_05,Self,mana,Locale_NikkeEpisode:d_nikke_mana_05_42,False,,1,delight,,10,10,1.0,,Blur_Low,,,,,,,
d_nikke_mana_05_43,d_nikke_mana_05,Speech,mana,Locale_NikkeEpisode:d_nikke_mana_05_43,True,,1,delight,,10,10,1.0,,Blur_Low,mana,,,,,,
d_nikke_mana_05_44,d_nikke_mana_05,Speech,mana,Locale_NikkeEpisode:d_nikke_mana_05_44,True,,1,delight,,10,10,1.0,,Blur_Low,mana,,,,,,
