id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
treasurestory_diesel_03_1,treasurestory_diesel_03,Narration,Locale_NikkeEpisode:treasurestory_diesel_03_1,False,ToyShop,12,14,2.0,sfx_scn_toyshopbell,bgm_story_languor,,,diesel,1,idle,belorta,13,idle,mica,15,idle
treasurestory_diesel_03_2,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_2,True,,14,14,1.0,,,belorta,belorta,,1,idle,,13,delight,,15,delight
treasurestory_diesel_03_3,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_3,True,,14,14,1.0,,,belorta,belorta,,1,idle,,13,delight,,15,delight
treasurestory_diesel_03_4,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_4,True,,14,14,1.0,,,mica,mica,,1,idle,,13,delight,,15,delight
treasurestory_diesel_03_5,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_5,True,,14,12,1.0,,,diesel,diesel,,1,delight,,13,delight,,15,delight
treasurestory_diesel_03_6,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_6,True,,12,XS_130,1.0,,,belorta,belorta,,1,delight,,13,idle,,15,idle
treasurestory_diesel_03_7,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_7,True,,XS_130,XS_150,1.0,,,mica,mica,,1,idle,,13,idle,,15,idle
treasurestory_diesel_03_8,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_8,True,,XS_150,XS_150,1.0,,,mica,mica,,1,idle,,13,idle,,15,idle
treasurestory_diesel_03_9,treasurestory_diesel_03,Self,Locale_NikkeEpisode:treasurestory_diesel_03_9,False,,XS_150,XS_150,1.0,,,mica,,,1,idle,,13,idle,,15,idle
treasurestory_diesel_03_10,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_10,True,,XS_150,14,1.0,,,belorta,belorta,,1,idle,,13,idle,,15,idle
treasurestory_diesel_03_11,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_11,True,,14,12,1.0,,,diesel,diesel,,1,idle,,13,idle,,15,idle
treasurestory_diesel_03_12,treasurestory_diesel_03,Monologue,Locale_NikkeEpisode:treasurestory_diesel_03_12,False,,12,14,2.0,,,diesel,,,1,idle,,13,idle,,15,idle
treasurestory_diesel_03_13,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_13,True,,14,14,1.0,,,belorta,belorta,,1,idle,,13,delight,,15,delight
treasurestory_diesel_03_14,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_14,True,,14,14,1.0,,,mica,mica,,1,idle,,13,delight,,15,delight
treasurestory_diesel_03_15,treasurestory_diesel_03,Self,Locale_NikkeEpisode:treasurestory_diesel_03_15,False,,14,14,1.0,,,mica,,,1,idle,,13,idle,,15,worry
treasurestory_diesel_03_16,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_16,True,,14,14,1.0,,,belorta,belorta,,1,idle,,13,idle,,15,worry
treasurestory_diesel_03_17,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_17,True,,14,14,1.0,,,mica,mica,,1,idle,,13,idle,,15,worry
treasurestory_diesel_03_18,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_18,True,,14,14,1.0,,,mica,mica,,1,idle,,13,idle,,15,worry
treasurestory_diesel_03_19,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_19,True,,14,14,1.0,,,belorta,belorta,,1,idle,,13,idle,,15,idle
treasurestory_diesel_03_20,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_20,True,,14,14,1.0,,,belorta,belorta,,1,idle,,13,idle,,15,idle
treasurestory_diesel_03_21,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_21,True,,14,12,1.0,,,diesel,diesel,,1,idle,,13,idle,,15,idle
treasurestory_diesel_03_22,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_22,True,,12,12,1.0,,,belorta,belorta,,1,idle,,13,idle,,15,idle
treasurestory_diesel_03_23,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_23,True,,12,12,1.0,,,belorta,belorta,,1,idle,,13,idle,,15,idle
treasurestory_diesel_03_24,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_24,True,,12,12,1.0,,,belorta,belorta,,1,idle,,13,idle,,15,idle
treasurestory_diesel_03_25,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_25,True,,12,12,1.0,,,belorta,belorta,,1,idle,,13,idle,,15,idle
treasurestory_diesel_03_26,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_26,True,,12,10,1.0,,,diesel,diesel,,1,surprise,,13,idle,,15,idle
treasurestory_diesel_03_27,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_27,True,,10,10,1.0,,,diesel,diesel,,1,delight,,13,idle,,15,idle
treasurestory_diesel_03_28,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_28,True,,10,XS_130,1.0,,,belorta,belorta,,1,idle,,13,idle,,15,idle
treasurestory_diesel_03_29,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_29,True,,10,10,1.0,,,diesel,diesel,,1,idle,,13,idle,,15,idle
treasurestory_diesel_03_30,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_30,True,,10,10,1.0,,,diesel,diesel,,1,idle,,13,idle,,15,idle
treasurestory_diesel_03_31,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_31,True,,XS_150,XS_150,1.0,,,mica,mica,,1,idle,,13,idle,,15,idle
treasurestory_diesel_03_32,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_32,True,,XS_150,XS_150,1.0,,,mica,mica,,1,idle,,13,idle,,15,idle
treasurestory_diesel_03_33,treasurestory_diesel_03,Self,Locale_NikkeEpisode:treasurestory_diesel_03_33,False,,XS_150,XS_150,1.0,,,mica,,,1,surprise,,13,idle,,15,idle
treasurestory_diesel_03_34,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_34,True,,XS_150,XS_150,1.0,,,mica,mica,,1,idle,,13,idle,,15,idle
treasurestory_diesel_03_35,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_35,True,,XS_150,XS_150,1.0,,,mica,mica,,1,idle,,13,idle,,15,idle
treasurestory_diesel_03_36,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_36,True,,XS_150,14,1.0,,,belorta,belorta,,1,idle,,13,delight,,15,idle
treasurestory_diesel_03_37,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_37,True,,14,14,1.0,,,belorta,belorta,,1,idle,,13,delight,,15,idle
treasurestory_diesel_03_38,treasurestory_diesel_03,Self,Locale_NikkeEpisode:treasurestory_diesel_03_38,False,,14,14,1.0,,,belorta,,,1,idle,,13,idle,,15,idle
treasurestory_diesel_03_39,treasurestory_diesel_03,Self,Locale_NikkeEpisode:treasurestory_diesel_03_39,False,,14,12,1.0,,,belorta,,,1,idle,,13,idle,,15,idle
treasurestory_diesel_03_40,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_40,True,,12,10,1.0,,,diesel,diesel,,1,worry,,13,idle,,15,idle
treasurestory_diesel_03_41,treasurestory_diesel_03,Self,Locale_NikkeEpisode:treasurestory_diesel_03_41,False,,10,10,1.0,,,diesel,,,1,worry,,13,idle,,15,idle
treasurestory_diesel_03_42,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_42,True,,10,10,1.0,,,diesel,diesel,,1,delight,,13,idle,,15,idle
treasurestory_diesel_03_43,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_43,True,,10,10,1.0,,,diesel,diesel,,1,idle,,13,idle,,15,idle
treasurestory_diesel_03_44,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_44,True,,10,10,1.0,,,diesel,diesel,,1,idle,,13,idle,,15,idle
treasurestory_diesel_03_45,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_45,True,,10,100,1.0,,,diesel,diesel,,1,idle,,13,idle,,15,idle
treasurestory_diesel_03_46,treasurestory_diesel_03,Monologue,Locale_NikkeEpisode:treasurestory_diesel_03_46,False,,100,14,2.0,,,diesel,,,1,idle,,13,idle,,15,idle
treasurestory_diesel_03_47,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_47,True,,14,14,1.0,,,belorta,belorta,,1,idle,,13,delight,,15,delight
treasurestory_diesel_03_48,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_48,True,,14,14,1.0,,,belorta,belorta,,1,idle,,13,delight,,15,delight
treasurestory_diesel_03_49,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_49,True,,14,14,1.0,,,mica,mica,,1,idle,,13,idle,,15,idle
treasurestory_diesel_03_50,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_50,True,,14,12,1.0,,,diesel,diesel,,1,idle,,13,idle,,15,idle
treasurestory_diesel_03_51,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_51,True,,12,12,1.0,,,belorta,belorta,,1,idle,,13,delight,,15,delight
treasurestory_diesel_03_52,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_52,True,,12,14,1.0,,,mica,mica,,1,idle,,13,delight,,15,delight
treasurestory_diesel_03_53,treasurestory_diesel_03,Speech,Locale_NikkeEpisode:treasurestory_diesel_03_53,True,,10,10,1.0,,,diesel,diesel,,1,delight,,13,delight,,15,delight
treasurestory_diesel_03_54,treasurestory_diesel_03,Self,Locale_NikkeEpisode:treasurestory_diesel_03_54,False,,10,10,1.0,,,diesel,,,1,delight,,13,delight,,15,delight
