id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_crust_02_1,d_nikke_crust_02,Speech,crust,crust,Locale_NikkeEpisode:d_nikke_crust_02_1,True,Kitchen,XS_10,XS_10,1.0,bgm_story_overjoy,,,crust,1,idle,,,
d_nikke_crust_02_2,d_nikke_crust_02,Speech,crust,crust,Locale_NikkeEpisode:d_nikke_crust_02_2,True,,XS_10,XS_10,1.0,,,,,1,idle,,,
d_nikke_crust_02_3,d_nikke_crust_02,Speech,crust,crust,Locale_NikkeEpisode:d_nikke_crust_02_3,True,,XS_10,XS_10,1.0,,,,,1,idle,,,
d_nikke_crust_02_4,d_nikke_crust_02,Monologue,crust,,Locale_NikkeEpisode:d_nikke_crust_02_4,False,,XS_10,XS_10,1.0,,,,,1,idle,,,
d_nikke_crust_02_5,d_nikke_crust_02,Speech,crust,crust,Locale_NikkeEpisode:d_nikke_crust_02_5,True,,XS_10,XS_100,1.3,,,,,1,idle,,,
d_nikke_crust_02_6,d_nikke_crust_02,Self,crust,,Locale_NikkeEpisode:d_nikke_crust_02_6,False,,XS_100,XS_100,1.0,,,,,1,idle,,,
d_nikke_crust_02_7,d_nikke_crust_02,Speech,crust,crust,Locale_NikkeEpisode:d_nikke_crust_02_7,True,,XS_100,XS_100,1.0,,,,,1,idle,,,
d_nikke_crust_02_8,d_nikke_crust_02,Speech,crust,crust,Locale_NikkeEpisode:d_nikke_crust_02_8,True,,XS_100,XS_100,1.0,,,,,1,idle,,,
d_nikke_crust_02_9,d_nikke_crust_02,Speech,crust,crust,Locale_NikkeEpisode:d_nikke_crust_02_9,True,,XS_100,XS_100,1.0,,,,,1,idle,,,
d_nikke_crust_02_10,d_nikke_crust_02,Speech,crust,crust,Locale_NikkeEpisode:d_nikke_crust_02_10,True,,XS_100,XS_100,1.0,,,,,1,idle,,,
d_nikke_crust_02_11,d_nikke_crust_02,Speech,crust,crust,Locale_NikkeEpisode:d_nikke_crust_02_11,True,,XS_100,XS_100,1.0,,,,,1,idle,,,
d_nikke_crust_02_12,d_nikke_crust_02,Self,crust,,Locale_NikkeEpisode:d_nikke_crust_02_12,False,,XS_100,XS_100,1.0,,,,,1,idle,,,
d_nikke_crust_02_13,d_nikke_crust_02,Speech,crust,crust,Locale_NikkeEpisode:d_nikke_crust_02_13,True,,XS_100,XS_10,1.3,,,,,1,delight,,,
d_nikke_crust_02_14,d_nikke_crust_02,Speech,crust,crust,Locale_NikkeEpisode:d_nikke_crust_02_14,True,,XS_10,XS_10,1.0,,,,,1,idle,,,
d_nikke_crust_02_15,d_nikke_crust_02,Speech,crust,crust,Locale_NikkeEpisode:d_nikke_crust_02_15,True,,XS_10,XS_10,1.0,,,,,1,idle,,,
d_nikke_crust_02_16,d_nikke_crust_02,Self,crust,,Locale_NikkeEpisode:d_nikke_crust_02_16,False,,XS_10,XS_10,1.0,,,,,1,idle,,,
d_nikke_crust_02_17,d_nikke_crust_02,Self,crust,,Locale_NikkeEpisode:d_nikke_crust_02_17,False,,XS_10,XS_10,1.0,,,,,1,idle,,,
d_nikke_crust_02_18,d_nikke_crust_02,Speech,crust,crust,Locale_NikkeEpisode:d_nikke_crust_02_18,True,,XS_10,XS_100,1.3,,,,,1,idle,,,
d_nikke_crust_02_19,d_nikke_crust_02,Speech,crust,crust,Locale_NikkeEpisode:d_nikke_crust_02_19,True,,XS_100,XS_100,1.0,,,,,1,idle,,,
d_nikke_crust_02_20,d_nikke_crust_02,Speech,crust,crust,Locale_NikkeEpisode:d_nikke_crust_02_20,True,,XS_100,XS_100,1.0,,,,,1,idle,,,
d_nikke_crust_02_21,d_nikke_crust_02,Speech,crust,crust,Locale_NikkeEpisode:d_nikke_crust_02_21,True,,XS_100,XS_100,1.0,,,,,1,idle,,,
d_nikke_crust_02_22,d_nikke_crust_02,Speech,crust,crust,Locale_NikkeEpisode:d_nikke_crust_02_22,True,,XS_100,XS_100,1.0,,,,,1,idle,,,
d_nikke_crust_02_23,d_nikke_crust_02,Self,crust,,Locale_NikkeEpisode:d_nikke_crust_02_23,False,,XS_100,XS_100,1.0,,,,,1,idle,,,
d_nikke_crust_02_24,d_nikke_crust_02,Speech,crust,crust,Locale_NikkeEpisode:d_nikke_crust_02_24,True,,XS_100,XS_100,1.3,,,,,1,idle,,,
