id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,fade,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_mica_snowbuddy_03_1,d_nikke_mica_snowbuddy_03,Monologue,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_03_1,False,ToyShop,15,15,1.0,none,,,,,mica_w,3,idle,,,,
d_nikke_mica_snowbuddy_03_2,d_nikke_mica_snowbuddy_03,Monologue,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_03_2,False,,15,15,1.0,bgm_story_backtonormal,,,,,,3,idle,,,,
d_nikke_mica_snowbuddy_03_3,d_nikke_mica_snowbuddy_03,Speech,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_03_3,True,,15,S_30,1.0,,mica_w,mica_w,,,,3,special,,,,
d_nikke_mica_snowbuddy_03_4,d_nikke_mica_snowbuddy_03,Speech,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_03_4,True,,S_30,S_30,1.0,,mica_w,mica_w,,,,3,special,,,,
d_nikke_mica_snowbuddy_03_5,d_nikke_mica_snowbuddy_03,Self,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_03_5,False,,S_30,S_30,1.0,,,,,,,3,special,,,,
d_nikke_mica_snowbuddy_03_6,d_nikke_mica_snowbuddy_03,Speech,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_03_6,True,,S_30,S_30,1.0,,mica_w,mica_w,,,,3,special,,,,
d_nikke_mica_snowbuddy_03_7,d_nikke_mica_snowbuddy_03,Speech,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_03_7,True,,S_30,S_30,1.0,,mica_w,mica_w,,,,3,special,,,,
d_nikke_mica_snowbuddy_03_8,d_nikke_mica_snowbuddy_03,Speech,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_03_8,True,,S_30,3,1.0,,mica_w,mica_w,,,,3,no,,,,
d_nikke_mica_snowbuddy_03_9,d_nikke_mica_snowbuddy_03,Speech,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_03_9,True,,3,3,1.0,,mica_w,mica_w,,,,3,no,,,,
d_nikke_mica_snowbuddy_03_10,d_nikke_mica_snowbuddy_03,Speech,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_03_10,True,,3,3,1.0,,mica_w,mica_w,,,,3,no,,,,
d_nikke_mica_snowbuddy_03_11,d_nikke_mica_snowbuddy_03,Self,Locale_NikkeEpisode:d_nikke_mica_snowbuddy_03_11,False,,3,3,1.0,,,,,,,3,no,,,,
