id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,jump_target,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim
d_nikke_frima_04_1,d_nikke_frima_04,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_frima_04_1,True,NikkeRoom,3,3,1.0,bgm_story_leisuretime,,,,milk,3,idle,sugar,5,idle,frima,1,idle,,,
d_nikke_frima_04_2,d_nikke_frima_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_frima_04_2,False,,S_50,S_50,1.0,,,,,,3,idle,,5,idle,,1,idle,,,
d_nikke_frima_04_3,d_nikke_frima_04,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_frima_04_3,False,,10,10,1.0,,,,,,3,idle,,5,idle,,1,idle,,,
d_nikke_frima_04_4,d_nikke_frima_04,Self,milk,Self,Locale_NikkeEpisode:d_nikke_frima_04_4,False,,30,30,1.0,,,,,,3,idle,,5,idle,,1,idle,,,
d_nikke_frima_04_5,d_nikke_frima_04,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_frima_04_5,True,,30,3,1.0,,,,,,3,no,,5,idle,,1,idle,,,
d_nikke_frima_04_6,d_nikke_frima_04,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_frima_04_6,True,,3,3,1.0,,,,,,3,idle,,5,idle,,1,idle,,,
d_nikke_frima_04_7,d_nikke_frima_04,Self,milk,Self,Locale_NikkeEpisode:d_nikke_frima_04_7,False,,3,3,1.0,,,,,,3,idle,,5,idle,,1,idle,,,
d_nikke_frima_04_8,d_nikke_frima_04,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_frima_04_8,True,,3,3,1.0,,,,,,3,idle,,5,idle,,1,idle,,,
d_nikke_frima_04_9,d_nikke_frima_04,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_frima_04_9,True,,3,2,1.0,,,,,,3,idle,,5,idle,,1,idle,,,
d_nikke_frima_04_10,d_nikke_frima_04,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_frima_04_10,True,,2,2,1.0,,,,,,3,idle,,5,idle,,1,idle,,,
d_nikke_frima_04_11,d_nikke_frima_04,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_frima_04_11,True,,2,2,1.0,,,,,,3,good,,5,idle,,1,idle,,,
d_nikke_frima_04_12,d_nikke_frima_04,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_frima_04_12,True,,2,2,1.0,,,,,,3,good,,5,idle,,1,idle,,,
d_nikke_frima_04_13,d_nikke_frima_04,Monologue,milk,Monologue,Locale_NikkeEpisode:d_nikke_frima_04_13,False,,2,2,1.0,none,,,,,3,good,,5,idle,,1,idle,,,
d_nikke_frima_04_14,d_nikke_frima_04,Monologue,milk,Monologue,Locale_NikkeEpisode:d_nikke_frima_04_14,False,,2,3,1.0,,,,,,3,good,,5,idle,,1,idle,,,
d_nikke_frima_04_15,d_nikke_frima_04,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_frima_04_15,True,,30,30,1.0,bgm_story_herecomestrouble,Low_2,,,,3,angry,,5,idle,,1,idle,,,
d_nikke_frima_04_16,d_nikke_frima_04,Monologue,milk,Monologue,Locale_NikkeEpisode:d_nikke_frima_04_16,False,,30,30,1.0,,,,,,3,angry,,5,idle,,1,idle,,,
d_nikke_frima_04_17,d_nikke_frima_04,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_frima_04_17,False,,S_50,S_50,1.0,,,,,,3,angry,,5,idle,,1,idle,,,
d_nikke_frima_04_18,d_nikke_frima_04,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_frima_04_18,False,,10,10,1.0,,,,,,3,angry,,5,idle,,1,no,,,
