id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,play_sound,jump_target,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_nikke_laplace_03_1,d_nikke_laplace_03,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_laplace_03_1,True,Laboratory,50,50,1.0,bgm_story_orangepop,,,,,maxwell,5,sad,,laplace,3,idle,,,,,,,,
d_nikke_laplace_03_2,d_nikke_laplace_03,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_laplace_03_2,True,,50,50,1.0,,,,,,,5,idle,,,3,idle,,,,,,,,
d_nikke_laplace_03_3,d_nikke_laplace_03,Self,maxwell,,Locale_NikkeEpisode:d_nikke_laplace_03_3,False,,50,50,1.0,,,,,,,5,idle,,,3,idle,,,,,,,,
d_nikke_laplace_03_4,d_nikke_laplace_03,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_laplace_03_4,True,,50,50,1.0,,,,,,,5,idle,,,3,idle,,,,,,,,
d_nikke_laplace_03_5,d_nikke_laplace_03,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_laplace_03_5,True,,50,50,1.0,,,,,,,5,idle,,,3,idle,,,,,,,,
d_nikke_laplace_03_6,d_nikke_laplace_03,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_laplace_03_6,True,,50,53,1.0,,,,,,,5,idle,,,3,idle,,,,,,,,
d_nikke_laplace_03_7,d_nikke_laplace_03,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_laplace_03_7,True,,53,53,1.0,,,,,,,5,idle,,,3,idle,,,,,,,,
d_nikke_laplace_03_8,d_nikke_laplace_03,Speech,laplace,laplace,Locale_NikkeEpisode:d_nikke_laplace_03_8,True,,53,53,1.0,,,,,,,5,idle,,,3,idle,,,,,,,,
d_nikke_laplace_03_9,d_nikke_laplace_03,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_laplace_03_9,True,,53,53,1.0,,,,,,,5,idle,,,3,idle,,,,,,,,
d_nikke_laplace_03_10,d_nikke_laplace_03,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_laplace_03_10,True,,53,53,1.0,,,,,,,5,idle,,,3,idle,,,,,,,,
d_nikke_laplace_03_11,d_nikke_laplace_03,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_laplace_03_11,True,,53,53,1.0,,,,,,,5,idle,,,3,idle,,,,,,,,
d_nikke_laplace_03_12,d_nikke_laplace_03,Self,maxwell,,Locale_NikkeEpisode:d_nikke_laplace_03_12,False,,53,53,1.0,,,,,,,5,idle,,,3,idle,,,,,,,,
d_nikke_laplace_03_13,d_nikke_laplace_03,Speech,maxwell,maxwell,Locale_NikkeEpisode:d_nikke_laplace_03_13,True,,53,53,1.0,,,,,,,5,sad,,,3,idle,,,,,,,,
