id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,play_sound,fade,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_filter_01,characters/1/hide_char_id,set_camera_shake,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,jump_target
d_nikke_anchor_05_1,d_nikke_anchor_05,Speech,ingrid,ingrid,Locale_NikkeEpisode:d_nikke_anchor_05_1,False,ingrid,1,think,ocean,1,1,1.0,bgm_mystery,,,,,,,,,,,,,,,,
d_nikke_anchor_05_2,d_nikke_anchor_05,Self,,Self,Locale_NikkeEpisode:d_nikke_anchor_05_2,False,,1,think,,1,1,1.0,,,,,,,,,,,,,,,,,
d_nikke_anchor_05_3,d_nikke_anchor_05,Speech,ingrid,ingrid,Locale_NikkeEpisode:d_nikke_anchor_05_3,True,,1,think,,1,1,1.0,,,,,,,,,,,,,,,,,
d_nikke_anchor_05_4,d_nikke_anchor_05,Speech,ingrid,ingrid,Locale_NikkeEpisode:d_nikke_anchor_05_4,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,,,,,
d_nikke_anchor_05_5,d_nikke_anchor_05,Self,,Self,Locale_NikkeEpisode:d_nikke_anchor_05_5,False,,1,idle,,1,1,1.0,,,,,,,,,,,,,,,,,
d_nikke_anchor_05_6,d_nikke_anchor_05,Speech,ingrid,ingrid,Locale_NikkeEpisode:d_nikke_anchor_05_6,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,,,,,
d_nikke_anchor_05_7,d_nikke_anchor_05,Speech,ingrid,ingrid,Locale_NikkeEpisode:d_nikke_anchor_05_7,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,,,,,
d_nikke_anchor_05_8,d_nikke_anchor_05,Speech,ingrid,ingrid,Locale_NikkeEpisode:d_nikke_anchor_05_8,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,,,,,
d_nikke_anchor_05_9,d_nikke_anchor_05,Self,,Self,Locale_NikkeEpisode:d_nikke_anchor_05_9,False,,1,idle,,1,1,1.0,,,,,,,,,,,,,,,,,
d_nikke_anchor_05_10,d_nikke_anchor_05,Speech,ingrid,ingrid,Locale_NikkeEpisode:d_nikke_anchor_05_10,True,,1,think,,1,1,1.0,,,,,,,,,,,,,,,,,
d_nikke_anchor_05_11,d_nikke_anchor_05,Speech,ingrid,ingrid,Locale_NikkeEpisode:d_nikke_anchor_05_11,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,,,,,
d_nikke_anchor_05_12,d_nikke_anchor_05,Speech,ingrid,ingrid,Locale_NikkeEpisode:d_nikke_anchor_05_12,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,,,,,
d_nikke_anchor_05_13,d_nikke_anchor_05,Speech,ingrid,ingrid,Locale_NikkeEpisode:d_nikke_anchor_05_13,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,,,,,
d_nikke_anchor_05_14,d_nikke_anchor_05,Self,,Self,Locale_NikkeEpisode:d_nikke_anchor_05_14,False,,1,idle,,1,1,1.0,,,,,,,,,,,,,,,,,
d_nikke_anchor_05_15,d_nikke_anchor_05,Speech,ingrid,ingrid,Locale_NikkeEpisode:d_nikke_anchor_05_15,False,,1,idle,,1,L_10,2.0,,,,,,,,,,,,,,,,,
