id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,fade
d_nikke_mast_02_1,d_nikke_mast_02,Monologue,Locale_NikkeEpisode:d_nikke_mast_02_1,False,none,black,black,1.0,bgm_story_herecomestrouble,,,,,,
d_nikke_mast_02_2,d_nikke_mast_02,Monologue,Locale_NikkeEpisode:d_nikke_mast_02_2,False,,black,black,1.0,,,,,,,
d_nikke_mast_02_3,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_3,False,CommanderRoom,1,10,1.0,,mast,mast,mast,1,angry2,
d_nikke_mast_02_4,d_nikke_mast_02,Self,Locale_NikkeEpisode:d_nikke_mast_02_4,False,,10,10,1.0,,,,,1,angry2,
d_nikke_mast_02_5,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_5,True,,10,10,1.0,,mast,mast,,1,angry2,
d_nikke_mast_02_6,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_6,True,,10,10,1.0,,mast,mast,,1,angry2,
d_nikke_mast_02_7,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_7,True,,10,10,1.0,,mast,mast,,1,sad2,
d_nikke_mast_02_8,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_8,True,,10,10,1.0,,mast,mast,,1,sad2,
d_nikke_mast_02_9,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_9,True,,10,10,1.0,,mast,mast,,1,sad2,
d_nikke_mast_02_10,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_10,True,,10,10,1.0,,mast,mast,,1,sad2,
d_nikke_mast_02_11,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_11,True,,10,10,1.0,,mast,mast,,1,sad2,
d_nikke_mast_02_12,d_nikke_mast_02,Self,Locale_NikkeEpisode:d_nikke_mast_02_12,False,,10,10,1.0,,,,,1,sad2,
d_nikke_mast_02_13,d_nikke_mast_02,Monologue,Locale_NikkeEpisode:d_nikke_mast_02_13,False,,10,10,1.0,,,,,1,sad2,
d_nikke_mast_02_14,d_nikke_mast_02,Monologue,Locale_NikkeEpisode:d_nikke_mast_02_14,False,,10,10,1.0,,,,,1,sad2,
d_nikke_mast_02_15,d_nikke_mast_02,Narration,Locale_NikkeEpisode:d_nikke_mast_02_15,False,black,black,black,1.0,,,,,1,idle2,black
d_nikke_mast_02_16,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_16,False,Stage,1,1,1.0,,mast,interviewer,,1,idle2,
d_nikke_mast_02_17,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_17,True,,1,10,0.7,,mast,mast,,1,idle2,
d_nikke_mast_02_18,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_18,False,,10,10,1.0,,mast,interviewer,,1,idle2,
d_nikke_mast_02_19,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_19,True,,10,10,1.0,,mast,mast,,1,delight,
d_nikke_mast_02_20,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_20,True,,10,10,1.0,,mast,mast,,1,delight,
d_nikke_mast_02_21,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_21,False,,10,10,1.0,,mast,interviewer,,1,delight,
d_nikke_mast_02_22,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_22,False,,10,10,1.0,,mast,interviewer,,1,delight,
d_nikke_mast_02_23,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_23,False,,10,10,1.0,,mast,interviewer,,1,delight,
d_nikke_mast_02_24,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_24,False,,10,10,1.0,,mast,interviewer,,1,delight,
d_nikke_mast_02_25,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_25,True,,10,10,1.0,,mast,mast,,1,idle,
d_nikke_mast_02_26,d_nikke_mast_02,Speech,Locale_NikkeEpisode:d_nikke_mast_02_26,True,,10,1,1.0,,mast,mast,,1,idle,
d_nikke_mast_02_27,d_nikke_mast_02,Monologue,Locale_NikkeEpisode:d_nikke_mast_02_27,False,,1,1,1.0,,,,,1,idle,
d_nikke_mast_02_28,d_nikke_mast_02,Monologue,Locale_NikkeEpisode:d_nikke_mast_02_28,False,,1,1,1.0,,,,,1,idle,
