id,group_id,speech_window,scenario_localkey,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,set_background,conversation_id,play_sound,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,fade,characters/1/hide_char_id,jump_target,set_filter_02,set_camera_shake
d_nikke_mary_05_1,d_nikke_mary_05,Narration,Locale_NikkeEpisode:d_nikke_mary_05_1,1,1,2.0,bgm_story_crawlinganxiety,,,,,,,,,,,,,,,,,,
d_nikke_mary_05_2,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_2,1,1,1.0,,announcer,announcer,,,,,,,,,,,,,,,,
d_nikke_mary_05_3,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_3,1,1,1.0,,announcer,announcer,,,,,,,,,,,,,,,,
d_nikke_mary_05_4,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_4,1,1,1.0,,announcer,announcer,,,,,,,,,,,,,,,,
d_nikke_mary_05_5,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_5,1,1,1.0,,announcer,announcer,,,,,,,,,,,,,,,,
d_nikke_mary_05_6,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_6,1,100,0.5,,unknown,unknown,Office,,,,,,,,,,,,,,,
d_nikke_mary_05_7,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_7,100,100,1.0,,unknown,unknown,,,,,,,,,,,,,,,,
d_nikke_mary_05_8,d_nikke_mary_05,Narration,Locale_NikkeEpisode:d_nikke_mary_05_8,100,1,1.0,,,,,m_nikke_mary_05,sfx_scn_phonevibration,,,,,,,,,,,,,
d_nikke_mary_05_9,d_nikke_mary_05,Narration,Locale_NikkeEpisode:d_nikke_mary_05_9,black,black,1.0,none,,,,,sfx_scn_bell,,,,,,,,,,,,,
d_nikke_mary_05_10,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_10,1,1,1.0,,unknown,unknown,,,,False,,,,,,,,,,,,
d_nikke_mary_05_11,d_nikke_mary_05,Narration,Locale_NikkeEpisode:d_nikke_mary_05_11,1,13,2.0,bgm_story_crawlinganxiety,,,,,,,,,,,,,,,,,,
d_nikke_mary_05_12,d_nikke_mary_05,Narration,Locale_NikkeEpisode:d_nikke_mary_05_12,13,13,1.0,,,,,,sfx_scn_bell,,,,,,,,,,,,,
d_nikke_mary_05_13,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_13,13,13,1.0,,unknown,unknown,,,,,,,,,,,,,,,,
d_nikke_mary_05_15,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_15,black,black,1.0,,d,d,,,,True,d,1,idle,,,,,,,,,
d_nikke_mary_05_16,d_nikke_mary_05,Narration,Locale_NikkeEpisode:d_nikke_mary_05_16,black,black,1.0,,d,,,,sfx_scn_aim,,,1,idle,,,,,,,,,
d_nikke_mary_05_17,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_17,160,10,2.0,,d,unknown,,,,,,1,idle,,,,,,,,,
d_nikke_mary_05_18,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_18,10,10,1.0,none,d,d,,,,True,,1,idle,,,,,,,,,
d_nikke_mary_05_19,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_19,10,100,0.5,,d,d,,,,True,,1,idle,,,,,,,,,
d_nikke_mary_05_20,d_nikke_mary_05,Narration,Locale_NikkeEpisode:d_nikke_mary_05_20,black,black,1.0,,,,,,sfx_scn_finishshot,,,1,idle,d,,,,,,,,
d_nikke_mary_05_21,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_21,S_300,S_30,0.5,bgm_story_leisuretime,pepper,pepper,Hospital,,,True,mary,1,idle,,pepper,3,surprise,black,,,,
d_nikke_mary_05_22,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_22,S_30,S_30,1.0,,pepper,pepper,,,,True,,1,idle,,,3,surprise,,,,,
d_nikke_mary_05_23,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_23,S_30,S_10,1.0,,mary,mary,,,,True,,1,idle,,,3,surprise,,,,,
d_nikke_mary_05_24,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_24,S_10,2,1.0,,pepper,pepper,,,,True,,1,idle,,,3,angry,,,,,
d_nikke_mary_05_25,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_25,2,2,1.0,,pepper,pepper,,,,True,,1,idle,,,3,angry,,,,,
d_nikke_mary_05_26,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_26,2,2,1.0,,mary,mary,,,,False,,1,idle,,,3,angry,,,,,
d_nikke_mary_05_27,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_27,2,S_30,2.0,,pepper,pepper,,,,True,,1,idle,,,3,angry,,,,,
d_nikke_mary_05_28,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_28,S_30,S_30,1.0,,pepper,pepper,,,,True,,1,idle,,,3,angry,,,,,
d_nikke_mary_05_29,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_29,S_10,S_10,1.0,,mary,mary,,,,True,,1,idle,,,3,angry,,,,,
d_nikke_mary_05_30,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_30,S_30,S_30,1.0,,pepper,pepper,,,,True,,1,idle,,,3,surprise,,,,,
d_nikke_mary_05_31,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_31,S_30,2,1.0,,mary,mary,,,,True,,1,idle,,,3,surprise,,,,,
d_nikke_mary_05_32,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_32,2,2,1.0,,mary,mary,,,,True,,1,idle,,,3,surprise,,,,,
d_nikke_mary_05_33,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_33,2,2,1.0,,pepper,pepper,,,,True,,1,idle,,,3,surprise,,,,,
d_nikke_mary_05_34,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_34,2,2,1.0,,mary,mary,,,,True,,1,idle,,,3,surprise,,,,,
d_nikke_mary_05_35,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_35,2,S_10,2.0,,mary,mary,,,,True,,1,idle,,,3,surprise,,,,,
d_nikke_mary_05_36,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_36,S_10,S_10,1.0,,mary,mary,,,,True,,1,idle,,,3,surprise,,,,,
d_nikke_mary_05_37,d_nikke_mary_05,Speech,Locale_NikkeEpisode:d_nikke_mary_05_37,S_10,S_10,1.0,,mary,mary,,,,True,,1,idle,,,3,surprise,,,,,
