id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_nikke_milk_04_1,d_nikke_milk_04,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_04_1,False,Backstreet,1,1,1.0,bgm_story_orangepop,,milk,1,shy,,,,,,
d_nikke_milk_04_2,d_nikke_milk_04,Self,milk,Self,Locale_NikkeEpisode:d_nikke_milk_04_2,False,,1,1,1.0,,,,1,shy,,,,,,
d_nikke_milk_04_3,d_nikke_milk_04,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_04_3,True,,1,S_10,1.0,,,,1,shy,,,,,,
d_nikke_milk_04_4,d_nikke_milk_04,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_04_4,True,,S_10,S_10,1.0,,,,1,shy,,,,,,
d_nikke_milk_04_5,d_nikke_milk_04,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_04_5,True,,S_10,S_10,1.0,,,,1,shy,,,,,,
d_nikke_milk_04_6,d_nikke_milk_04,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_04_6,True,,S_10,S_10,1.0,,,,1,shy,,,,,,
d_nikke_milk_04_7,d_nikke_milk_04,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_04_7,True,,S_10,S_10,1.0,,,,1,shy,,,,,,
d_nikke_milk_04_8,d_nikke_milk_04,Choice,milk,,Locale_NikkeEpisode:d_nikke_milk_04_8,False,,S_10,S_10,1.0,,d_nikke_milk_04_10,,1,shy,,,,,,
d_nikke_milk_04_9,d_nikke_milk_04,Choice,milk,,Locale_NikkeEpisode:d_nikke_milk_04_9,False,,S_10,S_10,1.0,,d_nikke_milk_04_12,,1,shy,,,,,,
d_nikke_milk_04_10,d_nikke_milk_04,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_04_10,True,,S_10,S_10,1.0,,,,1,idle,,,,,,
d_nikke_milk_04_11,d_nikke_milk_04,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_04_11,True,,S_10,S_10,1.0,,d_nikke_milk_04_13,,1,idle,,,,,,
