id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,characters/0/hide_char_id,set_filter_01,play_sound,set_camera_shake,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,fade,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_nikke_novel_04_1,d_nikke_novel_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_novel_04_1,False,Office,black,black,1.0,none,,,,,,,,,,,,,,,,,
d_nikke_novel_04_2,d_nikke_novel_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_novel_04_2,False,,5,1,2.0,bgm_story_tuffguys,,,,,,,,,,,,,,,,,
d_nikke_novel_04_3,d_nikke_novel_04,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_04_3,True,,1,1,1.0,,novel,novel,1,think,,,,,,,,,,,,,
d_nikke_novel_04_4,d_nikke_novel_04,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_04_4,True,,1,1,1.0,,novel,,1,think,,,,,,,,,,,,,
d_nikke_novel_04_5,d_nikke_novel_04,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_04_5,True,,1,1,1.0,,novel,,1,think,,,,,,,,,,,,,
d_nikke_novel_04_6,d_nikke_novel_04,Choice,,Locale_NikkeEpisode:d_nikke_novel_04_6,False,,1,1,1.0,,novel,,1,think,d_nikke_novel_04_8,,,,,,,,,,,,
d_nikke_novel_04_7,d_nikke_novel_04,Choice,,Locale_NikkeEpisode:d_nikke_novel_04_7,False,,1,1,1.0,,novel,,1,think,d_nikke_novel_04_8,,,,,,,,,,,,
d_nikke_novel_04_8,d_nikke_novel_04,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_04_8,True,,1,1,1.0,,novel,,1,delight,,,,,,,,,,,,,
d_nikke_novel_04_9,d_nikke_novel_04,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_04_9,True,,1,S_10,2.0,,novel,,1,delight,,,,,,,,,,,,,
d_nikke_novel_04_10,d_nikke_novel_04,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_04_10,True,,S_10,S_10,1.0,,novel,,1,delight,,,,,,,,,,,,,
d_nikke_novel_04_11,d_nikke_novel_04,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_04_11,True,,S_10,S_10,1.0,,novel,,1,delight,,,,,,,,,,,,,
d_nikke_novel_04_12,d_nikke_novel_04,Choice,,Locale_NikkeEpisode:d_nikke_novel_04_12,False,,S_10,S_10,1.0,,novel,,1,delight,d_nikke_novel_04_14,,,,,,,,,,,,
d_nikke_novel_04_13,d_nikke_novel_04,Choice,,Locale_NikkeEpisode:d_nikke_novel_04_13,False,,S_10,S_10,1.0,,novel,,1,delight,d_nikke_novel_04_15,,,,,,,,,,,,
d_nikke_novel_04_14,d_nikke_novel_04,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_04_14,True,,S_10,S_10,1.0,,novel,,1,idle,d_nikke_novel_04_17,,,,,,,,,,,,
d_nikke_novel_04_15,d_nikke_novel_04,Speech,novel,Locale_NikkeEpisode:d_nikke_novel_04_15,True,,S_10,S_10,1.0,,novel,,1,idle,,,,,,,,,,,,,
