id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,play_sound,speaker,jump_target,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_biscuit_03_1,d_nikke_biscuit_03,Monologue,Locale_NikkeEpisode:d_nikke_biscuit_03_1,False,LivingRoom,17,17,1.0,none,,,,,,biscuit,1,idle,beatrice,3,idle,
d_nikke_biscuit_03_2,d_nikke_biscuit_03,Monologue,Locale_NikkeEpisode:d_nikke_biscuit_03_2,False,,17,17,1.0,,,,,,,,1,idle,,3,idle,
d_nikke_biscuit_03_3,d_nikke_biscuit_03,Narration,Locale_NikkeEpisode:d_nikke_biscuit_03_3,False,,2,2,1.0,bgm_story_orangepop,biscuit,sfx_scn_pipe,,,,,1,delight,,3,idle,
d_nikke_biscuit_03_4,d_nikke_biscuit_03,Narration,Locale_NikkeEpisode:d_nikke_biscuit_03_4,False,,2,2,1.0,,biscuit,sfx_scn_pipe,,,,,1,delight,,3,idle,
d_nikke_biscuit_03_5,d_nikke_biscuit_03,Speech,Locale_NikkeEpisode:d_nikke_biscuit_03_5,True,,2,XS_10,1.0,,biscuit,,biscuit,,,,1,idle,,3,idle,
d_nikke_biscuit_03_6,d_nikke_biscuit_03,Speech,Locale_NikkeEpisode:d_nikke_biscuit_03_6,True,,XS_10,XS_10,1.0,,biscuit,,biscuit,,,,1,idle,,3,idle,
d_nikke_biscuit_03_7,d_nikke_biscuit_03,Choice,Locale_NikkeEpisode:d_nikke_biscuit_03_7,False,,XS_10,XS_10,1.0,,biscuit,,,d_nikke_biscuit_03_9,,,1,idle,,3,idle,
d_nikke_biscuit_03_8,d_nikke_biscuit_03,Choice,Locale_NikkeEpisode:d_nikke_biscuit_03_8,False,,XS_10,XS_10,1.0,,biscuit,,,d_nikke_biscuit_03_9,,,1,idle,,3,idle,
d_nikke_biscuit_03_9,d_nikke_biscuit_03,Monologue,Locale_NikkeEpisode:d_nikke_biscuit_03_9,False,,beatrice_300,beatrice_300,1.0,,beatrice,,,,,,1,idle,,3,idle,
d_nikke_biscuit_03_10,d_nikke_biscuit_03,Self,Locale_NikkeEpisode:d_nikke_biscuit_03_10,False,,beatrice_300,beatrice_300,1.0,,beatrice,,,,,,1,idle,,3,idle,
