id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,fade
d_nikke_rumani_03_1,d_nikke_rumani_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_rumani_03_1,True,anis,9,idle,CommanderRoom,9,90,1.0,none,,,,,,,,,,,,,,
d_nikke_rumani_03_2,d_nikke_rumani_03,Self,,Self,Locale_NikkeEpisode:d_nikke_rumani_03_2,False,,9,idle,,90,90,1.0,bgm_story_breakaway,,,,,,,,,,,,,,
d_nikke_rumani_03_3,d_nikke_rumani_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_rumani_03_3,True,,9,idle,,90,90,1.0,,,,,,,,,,,,,,,
d_nikke_rumani_03_4,d_nikke_rumani_03,Self,,Self,Locale_NikkeEpisode:d_nikke_rumani_03_4,False,,9,idle,,90,90,1.0,,,,,,,,,,,,,,,
d_nikke_rumani_03_5,d_nikke_rumani_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_rumani_03_5,True,,9,void,,90,90,1.0,,,,,,,,,,,,,,,
d_nikke_rumani_03_6,d_nikke_rumani_03,Self,,Self,Locale_NikkeEpisode:d_nikke_rumani_03_6,False,,9,void,,90,90,1.0,,,,,,,,,,,,,,,
d_nikke_rumani_03_7,d_nikke_rumani_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_rumani_03_7,True,,9,void,,90,90,1.0,,,,,,,,,,,,,,,
d_nikke_rumani_03_8,d_nikke_rumani_03,Self,,Self,Locale_NikkeEpisode:d_nikke_rumani_03_8,False,,9,void,,90,90,1.0,,,,,,,,,,,,,,,
d_nikke_rumani_03_9,d_nikke_rumani_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_rumani_03_9,True,,9,idle,,90,90,1.0,,,,,,,,,,,,,,,
d_nikke_rumani_03_10,d_nikke_rumani_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_rumani_03_10,True,,9,idle,,90,9,1.0,,,,,,,,,,,,,,,
d_nikke_rumani_03_11,d_nikke_rumani_03,Choice,,,Locale_NikkeEpisode:d_nikke_rumani_03_11,False,,9,idle,,9,9,1.0,,d_nikke_rumani_03_14,,,,,,,,,,,,,
d_nikke_rumani_03_12,d_nikke_rumani_03,Choice,,,Locale_NikkeEpisode:d_nikke_rumani_03_12,False,,9,idle,,9,9,1.0,,d_nikke_rumani_03_14,,,,,,,,,,,,,
d_nikke_rumani_03_13,d_nikke_rumani_03,Choice,,,Locale_NikkeEpisode:d_nikke_rumani_03_13,False,,9,idle,,9,9,1.0,,d_nikke_rumani_03_14,,,,,,,,,,,,,
d_nikke_rumani_03_14,d_nikke_rumani_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_rumani_03_14,True,,9,void,,9,9,1.0,,,neon,3,idle,rapi,1,idle,,,,,,,
d_nikke_rumani_03_15,d_nikke_rumani_03,Narration,,Narration,Locale_NikkeEpisode:d_nikke_rumani_03_15,False,,5,void,,9,4,1.0,,,,3,idle,,1,idle,,,,,,,
d_nikke_rumani_03_16,d_nikke_rumani_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_rumani_03_16,True,,5,worry,,4,4,1.0,,,,3,idle,,1,idle,,,,,,,
d_nikke_rumani_03_17,d_nikke_rumani_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_rumani_03_17,True,,5,worry,,4,4,1.0,,,,3,idle,,1,idle,,,,,,,
d_nikke_rumani_03_18,d_nikke_rumani_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_rumani_03_18,True,,5,worry,,4,4,1.0,,,,3,idle,,1,idle,,,,,,,
d_nikke_rumani_03_19,d_nikke_rumani_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_rumani_03_19,True,,5,no,,4,4,1.0,,,,3,idle,,1,idle,,,,,,,
d_nikke_rumani_03_20,d_nikke_rumani_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rumani_03_20,True,,5,idle,,1,1,1.0,,,,3,idle,,1,idle,,,,,,,
d_nikke_rumani_03_21,d_nikke_rumani_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rumani_03_21,True,,5,idle,,1,1,1.0,,,,3,idle,,1,idle,,,,,,,
d_nikke_rumani_03_22,d_nikke_rumani_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_rumani_03_22,True,,5,worry,,5,5,1.0,,,,3,idle,,1,idle,,,,,,,
d_nikke_rumani_03_23,d_nikke_rumani_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rumani_03_23,True,,5,worry,,5,2,1.0,,,,3,idle,,1,idle,,,,,,,
d_nikke_rumani_03_24,d_nikke_rumani_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rumani_03_24,True,,5,idle,,2,2,1.0,,,,3,idle,,1,idle,,,,,,,
d_nikke_rumani_03_25,d_nikke_rumani_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_rumani_03_25,True,,5,idle,,2,2,1.0,,,,3,no,,1,idle,,,,,,,
d_nikke_rumani_03_26,d_nikke_rumani_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_rumani_03_26,True,,5,idle,,2,2,1.0,,,,3,no,,1,idle,,,,,,,
d_nikke_rumani_03_27,d_nikke_rumani_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_rumani_03_27,True,,5,void,,5,5,1.0,,,,3,no,,1,idle,,,,,,,
d_nikke_rumani_03_28,d_nikke_rumani_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rumani_03_28,True,,5,void,,5,2,1.0,,,,3,no,,1,idle,,,,,,,
d_nikke_rumani_03_29,d_nikke_rumani_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_rumani_03_29,True,,5,idle,,2,2,1.0,,,,3,no,,1,idle,,,,,,,
