id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
treasurestory_tove_01_1,treasurestory_tove_01,Narration,tove,Locale_NikkeEpisode:treasurestory_tove_01_1,False,NikkeRoom,black,black,1.0,sfx_scn_find,event_bgm_alonesurvivor,,,tove,1,idle
treasurestory_tove_01_2,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_2,True,,1,S_10,1.3,,,tove,,,1,idle
treasurestory_tove_01_3,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_3,True,,S_10,S_10,1.0,,,tove,,,1,idle
treasurestory_tove_01_4,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_4,True,,S_10,S_10,1.0,,,tove,,,1,idle
treasurestory_tove_01_5,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_5,True,,S_10,S_10,1.0,,,tove,,,1,idle
treasurestory_tove_01_6,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_6,True,,S_10,S_10,1.0,,,tove,,,1,idle
treasurestory_tove_01_7,treasurestory_tove_01,Narration,tove,Locale_NikkeEpisode:treasurestory_tove_01_7,False,,S_10,S_10,1.0,sfx_scn_carabiner,,,,,1,idle
treasurestory_tove_01_8,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_8,True,,S_10,S_10,1.0,,,tove,,,1,idle
treasurestory_tove_01_9,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_9,True,,S_10,S_100,1.3,,,tove,,,1,idle
treasurestory_tove_01_10,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_10,True,,S_100,S_100,1.0,,,tove,,,1,idle
treasurestory_tove_01_11,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_11,True,,S_100,S_100,1.0,,,tove,,,1,idle
treasurestory_tove_01_12,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_12,True,,S_100,S_100,1.0,,,tove,,,1,idle
treasurestory_tove_01_13,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_13,True,,S_100,S_100,1.0,,,tove,,,1,idle
treasurestory_tove_01_14,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_14,True,,S_100,S_100,1.0,,,tove,,,1,idle
treasurestory_tove_01_15,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_15,True,,S_100,S_100,1.0,,,tove,,,1,idle
treasurestory_tove_01_16,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_16,True,,S_100,S_100,1.0,,,tove,,,1,idle
treasurestory_tove_01_17,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_17,True,,S_100,S_10,0.7,,,tove,,,1,no
treasurestory_tove_01_18,treasurestory_tove_01,Narration,tove,Locale_NikkeEpisode:treasurestory_tove_01_18,False,,black,black,1.0,sfx_scn_sodafalling2,,,Low_2,,1,no
treasurestory_tove_01_19,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_19,True,,S_10,S_10,1.0,,,tove,,,1,no
treasurestory_tove_01_20,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_20,True,,S_10,S_10,1.0,,,tove,,,1,sad
treasurestory_tove_01_21,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_21,True,,S_10,S_10,1.0,,,tove,,,1,think
treasurestory_tove_01_22,treasurestory_tove_01,Narration,tove,Locale_NikkeEpisode:treasurestory_tove_01_22,False,,black,black,1.0,sfx_scn_find,,,,,1,think
treasurestory_tove_01_23,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_23,True,,S_10,S_100,1.3,,,tove,,,1,idle
treasurestory_tove_01_24,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_24,True,,S_100,S_100,1.0,,,tove,,,1,idle
treasurestory_tove_01_25,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_25,True,,S_100,S_100,1.0,,,tove,,,1,idle
treasurestory_tove_01_26,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_26,True,,S_100,S_100,1.0,,,tove,,,1,idle
treasurestory_tove_01_27,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_27,True,,S_100,S_100,1.0,,,tove,,,1,idle
treasurestory_tove_01_28,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_28,True,,S_100,S_100,1.0,,,tove,,,1,idle
treasurestory_tove_01_29,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_29,True,,S_100,S_10,1.3,,,tove,,,1,think
treasurestory_tove_01_30,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_30,True,,S_10,S_10,1.0,,,tove,,,1,think
treasurestory_tove_01_31,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_31,True,,S_10,S_10,1.0,,,tove,,,1,think
treasurestory_tove_01_32,treasurestory_tove_01,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_01_32,True,,S_10,S_10,1.0,,,tove,,,1,think
