id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id
d_nikke_kilo_04_1,d_nikke_kilo_04,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_kilo_04_1,False,OutpostOut,9,5,3.0,bgm_story_breakaway,rapi,5,idle,,anis,7,void,,neon,9,idle,,kilo,3,idle,,talos,1,idle,,,,,,,,,
d_nikke_kilo_04_2,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_2,True,,5,50,1.0,,,5,idle,,,7,void,,,9,idle,,,3,idle,,,1,idle,,,,,,,,,
d_nikke_kilo_04_3,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_3,True,,50,50,1.0,,,5,idle,,,7,void,,,9,idle,,,3,idle,,,1,idle,,,,,,,,,
d_nikke_kilo_04_4,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_4,True,,50,500,1.0,,,5,idle,,,7,void,,,9,idle,,,3,idle,,,1,idle,,,,,,,,,
d_nikke_kilo_04_5,d_nikke_kilo_04,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_04_5,True,,S_30,S_300,0.5,,,5,idle,,,7,void,,,9,idle,,,3,delight,,,1,idle,,,,,,,,,
d_nikke_kilo_04_6,d_nikke_kilo_04,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_04_6,True,,S_300,S_300,1.0,,,5,idle,,,7,void,,,9,idle,,,3,delight,,,1,idle,,,,,,,,,
d_nikke_kilo_04_7,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_7,True,,50,50,1.0,,,5,idle,,,7,void,,,9,idle,,,3,delight,,,1,idle,,,,,,,,,
d_nikke_kilo_04_8,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_8,True,,50,50,1.0,,,5,idle,,,7,void,,,9,idle,,,3,delight,,,1,idle,,,,,,,,,
d_nikke_kilo_04_9,d_nikke_kilo_04,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_04_9,False,,50,53,1.0,,,5,idle,,,7,void,,,9,idle,,,3,idle,,,1,idle,,,,,,,,,
d_nikke_kilo_04_10,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_10,True,,53,53,1.0,,,5,idle,,,7,void,,,9,idle,,,3,idle,,,1,idle,,,,,,,,,
d_nikke_kilo_04_11,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_11,True,,53,53,1.0,,,5,idle,,,7,void,,,9,idle,,,3,idle,,,1,idle,,,,,,,,,
d_nikke_kilo_04_12,d_nikke_kilo_04,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_04_12,True,,53,53,1.0,,,5,idle,,,7,void,,,9,idle,,,3,idle,,,1,idle,,,,,,,,,
d_nikke_kilo_04_13,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_13,True,,53,53,1.0,,,5,idle,,,7,void,,,9,idle,,,3,idle,,,1,idle,,,,,,,,,
d_nikke_kilo_04_14,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_14,True,,53,53,1.0,,,5,idle,,,7,void,,,9,idle,,,3,idle,,,1,idle,,,,,,,,,
d_nikke_kilo_04_15,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_15,True,,53,53,1.0,,,5,idle,,,7,void,,,9,idle,,,3,idle,,,1,idle,,,,,,,,,
d_nikke_kilo_04_16,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_16,True,,53,53,1.0,,,5,idle,,,7,void,,,9,idle,,,3,idle,,,1,idle,,,,,,,,,
d_nikke_kilo_04_17,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_17,True,,53,50,2.0,,,5,think,,,7,void,,,9,idle,,,3,idle,,,1,idle,,,,,,,,,
d_nikke_kilo_04_18,d_nikke_kilo_04,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_04_18,False,,S_30,S_30,1.0,,,5,think,,,7,void,,,9,idle,,,3,idle,,,1,idle,,,,,,,,,
d_nikke_kilo_04_19,d_nikke_kilo_04,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_kilo_04_19,True,,97,97,1.0,,,5,idle,,,7,void,,,9,idle,,,3,idle,,,1,idle,,,,,,,,,
d_nikke_kilo_04_20,d_nikke_kilo_04,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_kilo_04_20,True,,97,97,1.0,,,5,idle,,,7,void,,,9,idle,,,3,idle,,,1,idle,,,,,,,,,
d_nikke_kilo_04_21,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_21,True,,97,5,1.0,,,5,idle,,,7,void,,,9,idle,,,3,idle,,,1,idle,,,,,,,,,
d_nikke_kilo_04_22,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_22,True,,5,5,1.0,,,5,idle,,,7,void,,,9,idle,,,3,idle,,,1,idle,,,,,,,,,
d_nikke_kilo_04_23,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_23,True,none,1517,1517,1.0,,,5,idle,rapi,,7,void,anis,,9,idle,neon,,3,idle,kilo,,1,idle,talos,delta,15,idle,,signal,17,idle,
d_nikke_kilo_04_24,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_24,True,,1517,17,1.0,,,,,,,,,,,,,,,,,,,,,,,15,idle,,,17,idle,
d_nikke_kilo_04_25,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_25,True,,17,17,1.0,,,,,,,,,,,,,,,,,,,,,,,15,idle,,,17,idle,
d_nikke_kilo_04_26,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_26,True,,17,17,1.0,,,,,,,,,,,,,,,,,,,,,,,15,idle,,,17,idle,
d_nikke_kilo_04_27,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_27,True,,17,15,1.0,,,,,,,,,,,,,,,,,,,,,,,15,idle,,,17,idle,
d_nikke_kilo_04_28,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_28,True,,15,15,1.0,,,,,,,,,,,,,,,,,,,,,,,15,idle,,,17,idle,
d_nikke_kilo_04_29,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_29,True,,15,15,1.0,,,,,,,,,,,,,,,,,,,,,,,15,idle,,,17,idle,
d_nikke_kilo_04_30,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_30,True,,15,15,1.0,,,,,,,,,,,,,,,,,,,,,,,15,idle,,,17,idle,
d_nikke_kilo_04_31,d_nikke_kilo_04,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_kilo_04_31,True,,15,1517,1.0,,,,,,,,,,,,,,,,,,,,,,,15,idle,,,17,idle,
d_nikke_kilo_04_32,d_nikke_kilo_04,Speech,kilo,kilo,Locale_NikkeEpisode:d_nikke_kilo_04_32,True,OutpostOut,S_30,S_30,1.0,,rapi,5,idle,,anis,7,void,,neon,9,idle,,kilo,3,surprise,,talos,1,idle,,,15,idle,delta,,17,idle,signal
