id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,jump_target,characters/1/hide_char_id,play_sound
d_nikke_k_03_1,d_nikke_k_03,Monologue,k,Locale_NikkeEpisode:d_nikke_k_03_1,False,k,3,idle,d_w,13,idle,Hotel,black,black,1.0,none,,,,
d_nikke_k_03_2,d_nikke_k_03,Monologue,k,Locale_NikkeEpisode:d_nikke_k_03_2,False,,3,idle,,13,idle,,black,black,1.0,,,,,
d_nikke_k_03_3,d_nikke_k_03,Monologue,k,Locale_NikkeEpisode:d_nikke_k_03_3,False,,3,idle,,13,idle,,black,black,1.0,bgm_story_tepidappleade,,,,
d_nikke_k_03_4,d_nikke_k_03,Speech,k,Locale_NikkeEpisode:d_nikke_k_03_4,False,,3,idle,,13,idle,,3,S_30,1.3,,k,,,
d_nikke_k_03_5,d_nikke_k_03,Self,k,Locale_NikkeEpisode:d_nikke_k_03_5,False,,3,idle,,13,idle,,S_30,S_30,1.0,,,,,
d_nikke_k_03_6,d_nikke_k_03,Self,k,Locale_NikkeEpisode:d_nikke_k_03_6,False,,3,idle,,13,idle,,S_30,S_30,1.0,,,,,
d_nikke_k_03_7,d_nikke_k_03,Speech,k,Locale_NikkeEpisode:d_nikke_k_03_7,True,,3,idle,,13,idle,,S_30,S_30,1.0,,k,,,
d_nikke_k_03_8,d_nikke_k_03,Self,k,Locale_NikkeEpisode:d_nikke_k_03_8,False,,3,idle,,13,idle,,S_30,S_30,1.0,,,,,
d_nikke_k_03_9,d_nikke_k_03,Monologue,k,Locale_NikkeEpisode:d_nikke_k_03_9,False,,3,idle,,13,idle,,S_30,S_30,1.0,,,,,
d_nikke_k_03_10,d_nikke_k_03,Choice,k,Locale_NikkeEpisode:d_nikke_k_03_10,False,,3,idle,,13,idle,,S_30,S_30,1.0,,,d_nikke_k_03_12,,
d_nikke_k_03_11,d_nikke_k_03,Choice,k,Locale_NikkeEpisode:d_nikke_k_03_11,False,,3,idle,,13,idle,,S_30,S_30,1.0,,,d_nikke_k_03_13,,
d_nikke_k_03_12,d_nikke_k_03,Speech,k,Locale_NikkeEpisode:d_nikke_k_03_12,True,,3,idle,,13,idle,,S_30,S_30,1.0,,k,d_nikke_k_03_16,,
d_nikke_k_03_13,d_nikke_k_03,Speech,k,Locale_NikkeEpisode:d_nikke_k_03_13,True,,3,idle,,13,idle,,S_30,S_30,1.0,,k,,,
d_nikke_k_03_14,d_nikke_k_03,Self,k,Locale_NikkeEpisode:d_nikke_k_03_14,False,,3,idle,,13,idle,,S_30,S_30,1.0,,,,,
d_nikke_k_03_15,d_nikke_k_03,Speech,k,Locale_NikkeEpisode:d_nikke_k_03_15,True,,3,idle,,13,idle,,S_30,S_30,1.0,,k,d_nikke_k_03_16,,
d_nikke_k_03_16,d_nikke_k_03,Self,k,Locale_NikkeEpisode:d_nikke_k_03_16,False,,3,idle,,13,idle,,S_30,3,1.3,,,,,
d_nikke_k_03_17,d_nikke_k_03,Monologue,k,Locale_NikkeEpisode:d_nikke_k_03_17,False,,3,idle,,13,idle,,3,3,1.0,,,,,
d_nikke_k_03_18,d_nikke_k_03,Self,d_w,Locale_NikkeEpisode:d_nikke_k_03_18,False,,3,idle,,13,idle,,3,13,1.5,,,,,
d_nikke_k_03_19,d_nikke_k_03,Speech,d_w,Locale_NikkeEpisode:d_nikke_k_03_19,True,,3,idle,,13,idle,,13,13,1.0,,d_w,,,
d_nikke_k_03_20,d_nikke_k_03,Self,d_w,Locale_NikkeEpisode:d_nikke_k_03_20,False,,3,idle,,13,idle,,13,13,1.0,,,,,
d_nikke_k_03_21,d_nikke_k_03,Speech,d_w,Locale_NikkeEpisode:d_nikke_k_03_21,True,,3,idle,,13,idle,,13,13,1.0,,d_w,,,
d_nikke_k_03_22,d_nikke_k_03,Speech,d_w,Locale_NikkeEpisode:d_nikke_k_03_22,True,,3,idle,,13,idle,,13,13,1.0,,d_w,,,
d_nikke_k_03_23,d_nikke_k_03,Self,d_w,Locale_NikkeEpisode:d_nikke_k_03_23,False,,3,idle,,13,idle,,13,13,1.0,,,,,
d_nikke_k_03_24,d_nikke_k_03,Speech,d_w,Locale_NikkeEpisode:d_nikke_k_03_24,True,,3,idle,,13,idle,,13,13,1.0,,d_w,,,
d_nikke_k_03_25,d_nikke_k_03,Self,d_w,Locale_NikkeEpisode:d_nikke_k_03_25,False,,3,idle,,13,idle,,13,13,1.0,,,,,
d_nikke_k_03_26,d_nikke_k_03,Speech,k,Locale_NikkeEpisode:d_nikke_k_03_26,True,,1,idle,,13,idle,,13,12,1.3,,k,,,
d_nikke_k_03_27,d_nikke_k_03,Speech,d_w,Locale_NikkeEpisode:d_nikke_k_03_27,True,,1,idle,,13,special,,12,12,1.0,,d_w,,,
d_nikke_k_03_28,d_nikke_k_03,Speech,k,Locale_NikkeEpisode:d_nikke_k_03_28,True,,1,idle,,13,special,,12,12,1.0,,k,,,
d_nikke_k_03_29,d_nikke_k_03,Monologue,k,Locale_NikkeEpisode:d_nikke_k_03_29,False,,1,idle,,13,special,,12,12,1.0,,,,,
d_nikke_k_03_30,d_nikke_k_03,Speech,k,Locale_NikkeEpisode:d_nikke_k_03_30,True,,1,delight,,13,special,,12,12,1.0,,k,,,
d_nikke_k_03_31,d_nikke_k_03,Speech,k,Locale_NikkeEpisode:d_nikke_k_03_31,True,,1,idle,,13,special,,12,12,1.0,,k,,,
d_nikke_k_03_32,d_nikke_k_03,Speech,d_w,Locale_NikkeEpisode:d_nikke_k_03_32,True,,1,idle,,13,special,,12,12,1.0,,d_w,,,
d_nikke_k_03_33,d_nikke_k_03,Speech,d_w,Locale_NikkeEpisode:d_nikke_k_03_33,True,,1,idle,,13,special,,12,12,1.0,,d_w,,,
d_nikke_k_03_34,d_nikke_k_03,Speech,k,Locale_NikkeEpisode:d_nikke_k_03_34,True,,1,idle,,13,special,,12,12,1.0,,k,,,
d_nikke_k_03_35,d_nikke_k_03,Speech,k,Locale_NikkeEpisode:d_nikke_k_03_35,True,,1,idle,,13,special,,12,12,1.0,,k,,,
