id,group_id,speech_window,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,conversation_id,play_sound,highlight,speaker,characters/0/hide_char_id,fade,jump_target
d_nikke_d_01_1,d_nikke_d_01,Narration,Locale_NikkeEpisode:d_nikke_d_01_1,False,d,1,think,Office,black,black,1.0,bgm_story_fairytalesend_if,Grey,Vignetting,,,,,,,
d_nikke_d_01_2,d_nikke_d_01,Narration,Locale_NikkeEpisode:d_nikke_d_01_2,False,,1,think,,1,1,1.0,,Grey,Vignetting,,,,,,,
d_nikke_d_01_3,d_nikke_d_01,Narration,Locale_NikkeEpisode:d_nikke_d_01_3,False,,1,think,,1,1,1.0,,Grey,Vignetting,,,,,,,
d_nikke_d_01_4,d_nikke_d_01,Narration,Locale_NikkeEpisode:d_nikke_d_01_4,False,,1,think,,1,10,2.0,,Grey,Vignetting,,,,,,,
d_nikke_d_01_5,d_nikke_d_01,Narration,Locale_NikkeEpisode:d_nikke_d_01_5,False,,1,think,,10,10,1.0,,Grey,Vignetting,,,,,,,
d_nikke_d_01_6,d_nikke_d_01,Narration,Locale_NikkeEpisode:d_nikke_d_01_6,False,,1,think,,10,10,1.0,,Grey,Vignetting,,,,,,,
d_nikke_d_01_7,d_nikke_d_01,Narration,Locale_NikkeEpisode:d_nikke_d_01_7,False,,1,think,,10,10,1.0,,Grey,Vignetting,,,,,,,
d_nikke_d_01_8,d_nikke_d_01,Narration,Locale_NikkeEpisode:d_nikke_d_01_8,False,,1,think,,10,10,1.0,,Grey,Vignetting,,,,,,,
d_nikke_d_01_9,d_nikke_d_01,Narration,Locale_NikkeEpisode:d_nikke_d_01_9,False,,1,think,,10,10,1.0,,Grey,Vignetting,,,,,,,
d_nikke_d_01_10,d_nikke_d_01,Narration,Locale_NikkeEpisode:d_nikke_d_01_10,False,,1,think,,10,10,1.0,,Grey,Vignetting,,,,,,,
d_nikke_d_01_11,d_nikke_d_01,Narration,Locale_NikkeEpisode:d_nikke_d_01_11,False,,1,think,,10,1,2.0,,Grey,Vignetting,,,,,,,
d_nikke_d_01_12,d_nikke_d_01,Narration,Locale_NikkeEpisode:d_nikke_d_01_12,False,,1,think,,1,1,1.0,,Grey,Vignetting,m_nikke_d_01,sfx_scn_phonevibration,,,,,
d_nikke_d_01_13,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_13,True,,1,think,,1,1,1.0,,,,,,d,d,,,
d_nikke_d_01_14,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_14,True,,1,think,,1,1,1.0,,,,,,d,d,,,
d_nikke_d_01_15,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_15,True,,1,think,,1,1,1.0,,,,,,d,d,,,
d_nikke_d_01_16,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_16,False,,1,think,,1,10,1.0,,,,,,d,d,,,
d_nikke_d_01_17,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_17,True,,1,idle,,10,10,1.0,,,,,,d,d,,,
d_nikke_d_01_18,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_18,True,,1,idle,,10,10,1.0,,,,,,d,d,,,
d_nikke_d_01_19,d_nikke_d_01,Narration,Locale_NikkeEpisode:d_nikke_d_01_19,False,,1,idle,,10,10,1.0,,,,,sfx_scn_remotesignal,d,,,,
d_nikke_d_01_20,d_nikke_d_01,Narration,Locale_NikkeEpisode:d_nikke_d_01_20,False,,1,idle,,10,10,1.0,,,,,,d,,,,
d_nikke_d_01_21,d_nikke_d_01,Narration,Locale_NikkeEpisode:d_nikke_d_01_21,False,,1,idle,,10,10,1.0,,,,,,d,,,,
d_nikke_d_01_22,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_22,True,,1,think,,10,10,1.0,,,,,,d,d,,,
d_nikke_d_01_23,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_23,True,,1,think,,10,10,1.0,,,,,,d,d,,,
d_nikke_d_01_24,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_24,True,,1,think,,10,10,1.0,,,,,,d,d,,,
d_nikke_d_01_25,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_25,False,,1,think,,10,10,1.0,,,,,,d,d,,,
d_nikke_d_01_26,d_nikke_d_01,Narration,Locale_NikkeEpisode:d_nikke_d_01_26,False,,1,think,,10,100,2.0,,,,,,d,,,,
d_nikke_d_01_27,d_nikke_d_01,Narration,Locale_NikkeEpisode:d_nikke_d_01_27,False,,1,think,,100,100,1.0,,,,,,d,,,,
d_nikke_d_01_28,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_28,True,,1,idle,,100,100,1.0,,,,,,d,d,,,
d_nikke_d_01_29,d_nikke_d_01,Narration,Locale_NikkeEpisode:d_nikke_d_01_29,False,,1,idle,CommanderRoom,5,5,1.0,none,,,,,,,d,black,
d_nikke_d_01_30,d_nikke_d_01,Monologue,Locale_NikkeEpisode:d_nikke_d_01_30,False,,,,,5,5,1.0,,,,,,,,,,
d_nikke_d_01_31,d_nikke_d_01,Monologue,Locale_NikkeEpisode:d_nikke_d_01_31,False,,,,,5,5,1.0,,,,,,,,,,
d_nikke_d_01_32,d_nikke_d_01,Narration,Locale_NikkeEpisode:d_nikke_d_01_32,False,,,,Corridor,5,1,2.0,,,,,sfx_scn_autodooropen,,,,,
d_nikke_d_01_33,d_nikke_d_01,Self,Locale_NikkeEpisode:d_nikke_d_01_33,False,d,1,think,,1,1,1.0,,,,,,,,,,
d_nikke_d_01_34,d_nikke_d_01,Self,Locale_NikkeEpisode:d_nikke_d_01_34,False,,1,think,,1,1,1.0,,,,,,,,,,
d_nikke_d_01_35,d_nikke_d_01,Monologue,Locale_NikkeEpisode:d_nikke_d_01_35,False,,1,think,,1,1,1.0,bgm_mystery,,,,,,,,,
d_nikke_d_01_36,d_nikke_d_01,Monologue,Locale_NikkeEpisode:d_nikke_d_01_36,False,,1,think,,1,1,1.0,,,,,,,,,,
d_nikke_d_01_37,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_37,True,,1,think,,1,10,1.0,,,,,,d,d,,,
d_nikke_d_01_38,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_38,True,,1,idle,,10,10,1.0,,,,,,d,d,,,
d_nikke_d_01_39,d_nikke_d_01,Self,Locale_NikkeEpisode:d_nikke_d_01_39,False,,1,idle,,10,10,1.0,,,,,,d,,,,
d_nikke_d_01_40,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_40,True,,1,idle,,10,10,1.0,,,,,,d,d,,,
d_nikke_d_01_41,d_nikke_d_01,Self,Locale_NikkeEpisode:d_nikke_d_01_41,False,,1,idle,,10,10,1.0,,,,,,d,,,,
d_nikke_d_01_42,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_42,True,,1,idle,,10,100,1.0,,,,,,d,d,,,
d_nikke_d_01_43,d_nikke_d_01,Self,Locale_NikkeEpisode:d_nikke_d_01_43,False,,1,idle,,100,100,1.0,,,,,,d,,,,
d_nikke_d_01_44,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_44,True,,1,idle,,100,100,1.0,,,,,,d,d,,,
d_nikke_d_01_45,d_nikke_d_01,Choice,Locale_NikkeEpisode:d_nikke_d_01_45,False,,1,idle,,100,100,1.0,,,,,,d,,,,d_nikke_d_01_47
d_nikke_d_01_46,d_nikke_d_01,Choice,Locale_NikkeEpisode:d_nikke_d_01_46,False,,1,idle,,100,100,1.0,,,,,,d,,,,d_nikke_d_01_47
d_nikke_d_01_47,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_47,True,,1,idle,,100,10,1.0,,,,,,d,d,,,
d_nikke_d_01_48,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_48,True,,1,idle,,10,10,1.0,,,,,,d,d,,,
d_nikke_d_01_49,d_nikke_d_01,Self,Locale_NikkeEpisode:d_nikke_d_01_49,False,,1,idle,,10,10,1.0,,,,,,d,,,,
d_nikke_d_01_50,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_50,True,,1,idle,,10,10,1.0,,,,,,d,d,,,
d_nikke_d_01_51,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_51,True,,1,idle,,10,10,1.0,,,,,,d,d,,,
d_nikke_d_01_52,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_52,True,,1,idle,,10,10,1.0,,,,,,d,d,,,
d_nikke_d_01_53,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_53,True,,1,idle,,10,10,1.0,,,,,,d,d,,,
d_nikke_d_01_54,d_nikke_d_01,Self,Locale_NikkeEpisode:d_nikke_d_01_54,False,,1,idle,,10,10,1.0,,,,,,d,,,,
d_nikke_d_01_55,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_55,True,,1,idle,,10,100,1.0,,,,,,d,d,,,
d_nikke_d_01_56,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_56,True,,1,idle,,100,100,1.0,,,,,,d,d,,,
d_nikke_d_01_57,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_57,True,,1,idle,,100,100,1.0,,,,,,d,d,,,
d_nikke_d_01_58,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_58,True,,1,idle,,100,100,1.0,,,,,,d,d,,,
d_nikke_d_01_59,d_nikke_d_01,Speech,Locale_NikkeEpisode:d_nikke_d_01_59,True,,1,idle,,100,100,1.0,,,,,,d,d,,,
d_nikke_d_01_60,d_nikke_d_01,Self,Locale_NikkeEpisode:d_nikke_d_01_60,False,,1,idle,,100,100,1.0,,,,,,d,,,,
