id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,fade,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/0/stop_effect_id
d_nikke_yan_05_01,d_nikke_yan_05,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_yan_05_01,True,RoyalRoad,L_10,1,0.5,bgm_story_shopperholic,,,rupee,1,idle,,,,,,,,,,,,,,,,,,fx_Eventscene_camera_recording,rec,True,
d_nikke_yan_05_02,d_nikke_yan_05,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_yan_05_02,True,,1,1,1.0,,,,,1,idle,,,,,,,,,,,,,,,,,,,,,
d_nikke_yan_05_03,d_nikke_yan_05,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_yan_05_03,True,,1,1,1.0,,,,,1,idle,,,,,,,,,,,,,,,,,,,,,
d_nikke_yan_05_04,d_nikke_yan_05,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_yan_05_04,True,,1,L_10,0.5,,,,,1,surprise,,,,,,,,,,,,,,,,,,,,,
d_nikke_yan_05_05,d_nikke_yan_05,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_yan_05_05,True,,L_10,L_10,1.0,,,,,1,idle,,,,,,,,,,,,,,,,,,,,,
d_nikke_yan_05_06,d_nikke_yan_05,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_yan_05_06,True,,L_10,L_10,1.0,,,,,1,idle,,,,,,,,,,,,,,,,,,,,,
d_nikke_yan_05_07,d_nikke_yan_05,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_yan_05_07,True,ShoppingMall,5,1,1.0,,black,,,1,idle,,,,,,,,,,,,,,,,,,,,,
d_nikke_yan_05_08,d_nikke_yan_05,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_yan_05_08,True,,1,1,1.0,,,,,1,idle,,,,,,,,,,,,,,,,,,,,,
d_nikke_yan_05_09,d_nikke_yan_05,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_yan_05_09,True,,1,1,1.0,,,,,1,idle,,,,,,,,,,,,,,,,,,,,,
d_nikke_yan_05_10,d_nikke_yan_05,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_yan_05_10,True,,1,14,2.0,,,,,1,idle,,yan,14,delight,,,,,,,,,,,,,,,,,
d_nikke_yan_05_11,d_nikke_yan_05,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_yan_05_11,True,,14,1,0.5,,,,,1,sad,,,14,delight,,,,,,,,,,,,,,,,,
d_nikke_yan_05_12,d_nikke_yan_05,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_yan_05_12,True,,1,1,1.0,,,,,1,idle,,,14,shy,,,,,,,,,,,,,,,,,
d_nikke_yan_05_13,d_nikke_yan_05,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_yan_05_13,True,,1,1,1.0,,,,,1,idle,,,14,delight,,,,,,,,,,,,,,,,,
d_nikke_yan_05_14,d_nikke_yan_05,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_yan_05_14,True,,1,L_10,0.5,,,,,1,idle,,,14,delight,,,,,,,,,,,,,,,,,
d_nikke_yan_05_15,d_nikke_yan_05,Self,rupee,Self,Locale_NikkeEpisode:d_nikke_yan_05_15,False,,L_10,L_10,1.0,,,,,1,idle,,,14,delight,,,,,,,,,,,,,,,,,
d_nikke_yan_05_16,d_nikke_yan_05,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_yan_05_16,True,,L_10,L_10,1.0,,,,,1,idle,,,14,delight,,,,,,,,,,,,,,,,,
d_nikke_yan_05_17,d_nikke_yan_05,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_yan_05_17,True,,L_10,L_10,1.0,,,,,1,idle,,,14,delight,,,,,,,,,,,,,,,,,
d_nikke_yan_05_18,d_nikke_yan_05,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_yan_05_18,True,,L_10,L_10,1.0,,,,,1,idle,,,14,delight,,,,,,,,,,,,,,,,,
d_nikke_yan_05_19,d_nikke_yan_05,Choice,rupee,,Locale_NikkeEpisode:d_nikke_yan_05_19,False,,L_10,L_10,1.0,,,d_nikke_yan_05_21,,1,idle,,,14,delight,,,,,,,,,,,,,,,,,
d_nikke_yan_05_20,d_nikke_yan_05,Choice,rupee,,Locale_NikkeEpisode:d_nikke_yan_05_20,False,,L_10,L_10,1.0,,,d_nikke_yan_05_21,,1,idle,,,14,delight,,,,,,,,,,,,,,,,,
d_nikke_yan_05_21,d_nikke_yan_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_05_21,True,NikkeRoom,black,black,1.0,,,,,1,idle,rupee,,14,delight,yan,neon,3,idle,,anis,1,worry,,rapi,13,idle,,,,,fx_Eventscene_camera_recording
d_nikke_yan_05_22,d_nikke_yan_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_05_22,True,,1,1,1.0,,,,,,,,,,,,,3,idle,,,1,worry,,,13,idle,,,,,
d_nikke_yan_05_23,d_nikke_yan_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_05_23,True,,1,1,1.0,,,,,,,,,,,,,3,idle,,,1,worry,,,13,idle,,,,,
d_nikke_yan_05_24,d_nikke_yan_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_05_24,True,,1,1,1.0,,,,,,,,,,,,,3,idle,,,1,worry,,,13,idle,,,,,
d_nikke_yan_05_25,d_nikke_yan_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_yan_05_25,True,,1,12,1.0,,,,,,,,,,,,,3,idle,,,1,worry,,,13,idle,,,,,
d_nikke_yan_05_26,d_nikke_yan_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_yan_05_26,True,,12,12,1.0,,,,,,,,,,,,,3,idle,,,1,worry,,,13,idle,,,,,
d_nikke_yan_05_27,d_nikke_yan_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_yan_05_27,True,,12,130,2.0,,,,,,,,,,,,,3,idle,,,1,worry,,,13,think,,,,,
d_nikke_yan_05_28,d_nikke_yan_05,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_yan_05_28,True,,130,130,1.0,,,,,,,,,,,,,3,idle,,,1,worry,,,13,idle,,,,,
d_nikke_yan_05_29,d_nikke_yan_05,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_yan_05_29,True,ShoppingMall,black,black,1.0,,,,rupee,1,sad,,,,,,,3,idle,neon,,1,worry,anis,,13,idle,rapi,,,,
d_nikke_yan_05_30,d_nikke_yan_05,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_yan_05_30,True,,1,1,1.0,,,,,1,sad,,,,,,,,,,,,,,,,,,fx_Eventscene_camera_recording,rec,True,
d_nikke_yan_05_31,d_nikke_yan_05,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_yan_05_31,True,,1,1,1.0,,,,,1,sad,,,,,,,,,,,,,,,,,,,,,
d_nikke_yan_05_32,d_nikke_yan_05,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_yan_05_32,True,,1,L_10,1.0,,,,,1,delight,,,,,,,,,,,,,,,,,,,,,
d_nikke_yan_05_33,d_nikke_yan_05,Self,rupee,Self,Locale_NikkeEpisode:d_nikke_yan_05_33,False,,L_10,L_10,1.0,,,,,1,delight,,,,,,,,,,,,,,,,,,,,,
d_nikke_yan_05_34,d_nikke_yan_05,Speech,rupee,rupee,Locale_NikkeEpisode:d_nikke_yan_05_34,False,,L_10,L_10,1.0,,,,,1,surprise,,,,,,,,,,,,,,,,,,,,,
d_nikke_yan_05_35,d_nikke_yan_05,Self,rupee,Self,Locale_NikkeEpisode:d_nikke_yan_05_35,False,,L_10,L_10,1.0,,,,,1,surprise,,,,,,,,,,,,,,,,,,,,,
d_nikke_yan_05_36,d_nikke_yan_05,Self,rupee,Self,Locale_NikkeEpisode:d_nikke_yan_05_36,False,,L_10,L_10,1.0,,,,,1,surprise,,,,,,,,,,,,,,,,,,,,,
d_nikke_yan_05_37,d_nikke_yan_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_05_37,True,NikkeRoom,black,black,1.0,,,,,1,surprise,rupee,,,,,neon,3,idle,,anis,1,no,,rapi,13,idle,,,,,fx_Eventscene_camera_recording
d_nikke_yan_05_38,d_nikke_yan_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_05_38,True,,1,1,1.0,,,,,,,,,,,,,3,idle,,,1,no,,,13,idle,,,,,
d_nikke_yan_05_39,d_nikke_yan_05,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yan_05_39,True,,1,2,1.0,,,,,,,,,,,,,3,idle,,,1,no,,,13,idle,,,,,
d_nikke_yan_05_40,d_nikke_yan_05,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yan_05_40,True,,2,2,1.0,,,,,,,,,,,,,3,idle,,,1,no,,,13,idle,,,,,
d_nikke_yan_05_41,d_nikke_yan_05,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yan_05_41,True,,2,S_30,1.5,,,,,,,,,,,,,3,no,,,1,no,,,13,idle,,,,,
d_nikke_yan_05_42,d_nikke_yan_05,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yan_05_42,True,,S_30,S_30,1.0,,,,,,,,,,,,,3,no,,,1,idle,,,13,idle,,,,,
d_nikke_yan_05_43,d_nikke_yan_05,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_yan_05_43,True,,S_30,S_30,1.0,,,,,,,,,,,,,3,no,,,1,idle,,,13,idle,,,,,
d_nikke_yan_05_44,d_nikke_yan_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_05_44,True,,10,10,1.0,,,,,,,,,,,,,3,no,,,1,no,,,13,idle,,,,,
d_nikke_yan_05_45,d_nikke_yan_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_05_45,True,,10,10,1.0,,,,,,,,,,,,,3,no,,,1,worry,,,13,idle,,,,,
d_nikke_yan_05_46,d_nikke_yan_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_05_46,True,,10,10,1.0,,,,,,,,,,,,,3,no,,,1,worry,,,13,idle,,,,,
d_nikke_yan_05_47,d_nikke_yan_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_05_47,True,,10,100,1.5,,,,,,,,,,,,,3,idle,,,1,void,,,13,idle,,,,,
d_nikke_yan_05_48,d_nikke_yan_05,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_yan_05_48,True,,100,100,1.0,,,,,,,,,,,,,3,idle,,,1,void,,,13,idle,,,,,
