id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id,characters/6/show_char_id,characters/6/set_char_position,characters/6/set_char_anim,characters/6/hide_char_id,characters/7/show_char_id,characters/7/set_char_position,characters/7/set_char_anim,characters/7/hide_char_id
d_nikke_RedHood_03_1,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_1,True,WasteLand_02,17,17,1.0,none,Red,,,redhood,5,sad_02,anis,7,idle,neon,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_2,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_2,True,,17,170,0.5,bgm_story_fairytalesend_if,Red,,,,5,sad_02,,7,idle,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_3,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_3,True,,170,170,1.0,,Red,,,,5,sad_02,,7,idle,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_4,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_4,True,,170,170,1.0,,Red,,,,5,sad_02,,7,idle,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_5,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_5,True,Desert_02_n,170,50,1.0,,,,,,5,shy,,7,idle,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_6,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_6,True,,50,500,0.7,,,,,,5,smile,,7,no,,9,no,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_7,d_nikke_RedHood_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_RedHood_03_7,False,,8,8,1.0,,,,,,5,smile,,7,no,,9,no,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_8,d_nikke_RedHood_03,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_RedHood_03_8,False,,8,8,1.0,,,,,,5,smile,,7,no,,9,no,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_9,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_9,True,,50,50,1.0,,,,,,5,sad_02,,7,no,,9,no,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_10,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_10,True,,50,50,1.0,,,,,,5,think,,7,no,,9,no,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_11,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_11,True,,50,50,1.0,,,,,,5,idle,,7,idle,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_12,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_12,True,,50,50,1.0,,,,,,5,smile,,7,idle,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_13,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_13,True,,50,50,1.0,,,,,,5,smile_02,,7,void,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_14,d_nikke_RedHood_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_RedHood_03_14,True,,50,50,1.0,,,,,,5,smile_02,,7,void,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_15,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_15,True,,50,500,1.0,,,,,,5,smile_02,,7,void,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_16,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_16,True,,500,500,1.0,,,,,,5,smile_02,,7,void,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_17,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_17,True,,500,500,1.0,,,,,,5,smile,,7,idle,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_18,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_18,True,,500,50,1.0,,,,,,5,smile_02,,7,idle,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_19,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_19,True,,50,50,1.0,,,,,,5,smile_02,,7,idle,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_20,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_20,True,,50,50,1.0,,,,,,5,smile_02,,7,idle,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_21,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_21,True,,50,50,1.0,,,,,,5,smile_02,,7,idle,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_22,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_22,True,,50,50,1.0,,,,,,5,idle,,7,idle,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_23,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_23,False,,50,50,1.0,,,,,,5,sad_02,,7,idle,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_24,d_nikke_RedHood_03,Speech,redhood,redhood,Locale_NikkeEpisode:d_nikke_RedHood_03_24,True,,50,50,1.0,,,,,,5,smile_02,,7,idle,,9,idle,,,,,,,,,,,,,,,,,,,,
d_nikke_RedHood_03_25,d_nikke_RedHood_03,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_RedHood_03_25,True,,50,70,1.0,,,,,,5,idle,,7,void,,9,idle,,,,,,,,,,,,,,,,,,,,
