id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
treasurestory_milk_01_1,treasurestory_milk_01,Monologue,Locale_NikkeEpisode:treasurestory_milk_01_1,False,ElevatorOut,2,2,1.0,bgm_story_orangepop,,,,frima,13,idle,sugar,1,idle,milk,3,good
treasurestory_milk_01_2,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_2,True,,2,2,1.0,,milk,milk,,,13,idle,,1,idle,,3,good
treasurestory_milk_01_3,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_3,True,,2,2,1.0,,sugar,sugar,,,13,idle,,1,idle,,3,good
treasurestory_milk_01_4,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_4,True,,2,12,1.0,,frima,frima,,,13,delight,,1,idle,,3,good
treasurestory_milk_01_5,treasurestory_milk_01,Self,Locale_NikkeEpisode:treasurestory_milk_01_5,False,,12,12,1.0,,frima,,,,13,delight,,1,idle,,3,good
treasurestory_milk_01_6,treasurestory_milk_01,Self,Locale_NikkeEpisode:treasurestory_milk_01_6,False,,12,12,1.0,,frima,,,,13,delight,,1,idle,,3,good
treasurestory_milk_01_7,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_7,True,,12,XS_10,1.0,,sugar,sugar,,,13,delight,,1,idle,,3,good
treasurestory_milk_01_8,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_8,True,,XS_10,S_30,1.3,,milk,milk,,,13,idle,,1,idle,,3,no
treasurestory_milk_01_9,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_9,True,,130,130,1.0,,frima,frima,,,13,idle,,1,idle,,3,no
treasurestory_milk_01_10,treasurestory_milk_01,Speech,Locale_NikkeEpisode:treasurestory_milk_01_10,True,,130,130,1.0,,frima,frima,,,13,idle,,1,idle,,3,no
