id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/hide_char_id,set_camera_shake,characters/0/hide_char_id,fade
d_nikke_crust_04_1,d_nikke_crust_04,Narration,crust,Locale_NikkeEpisode:d_nikke_crust_04_1,False,crust,12,think,land_d,black,black,1.0,sfx_scn_bushshake,bgm_story_breakaway,,,,,,,,
d_nikke_crust_04_2,d_nikke_crust_04,Speech,crust,Locale_NikkeEpisode:d_nikke_crust_04_2,True,,12,think,,XS_1200,XS_120,1.3,,,crust,,,,,,,
d_nikke_crust_04_3,d_nikke_crust_04,Narration,crust,Locale_NikkeEpisode:d_nikke_crust_04_3,False,,12,think,,black,black,1.0,sfx_scn_grassrustle,,,bready,2,idle,crust,,,
d_nikke_crust_04_4,d_nikke_crust_04,Speech,bready,Locale_NikkeEpisode:d_nikke_crust_04_4,True,,,,,S_200,S_20,1.3,,,bready,,2,idle,,,,
d_nikke_crust_04_5,d_nikke_crust_04,Narration,bready,Locale_NikkeEpisode:d_nikke_crust_04_5,False,crust,12,think,,black,black,1.0,sfx_scn_fishingrodbreak,,,,2,idle,,,,
d_nikke_crust_04_6,d_nikke_crust_04,Self,bready,Locale_NikkeEpisode:d_nikke_crust_04_6,False,,12,think,,1,1,1.0,,,,,2,idle,,,,
d_nikke_crust_04_7,d_nikke_crust_04,Speech,crust,Locale_NikkeEpisode:d_nikke_crust_04_7,True,,12,think,,1,1,1.0,,,crust,,2,idle,,,,
d_nikke_crust_04_8,d_nikke_crust_04,Speech,crust,Locale_NikkeEpisode:d_nikke_crust_04_8,True,,12,think,,1,XS_120,1.5,,,crust,,2,idle,,,,
d_nikke_crust_04_9,d_nikke_crust_04,Speech,crust,Locale_NikkeEpisode:d_nikke_crust_04_9,True,,12,sad,,XS_120,XS_120,1.0,,,crust,,2,idle,,,,
d_nikke_crust_04_10,d_nikke_crust_04,Speech,crust,Locale_NikkeEpisode:d_nikke_crust_04_10,True,,12,sad,,XS_120,XS_120,1.0,,,crust,,2,idle,,,,
d_nikke_crust_04_11,d_nikke_crust_04,Speech,crust,Locale_NikkeEpisode:d_nikke_crust_04_11,True,,12,sad,,XS_120,XS_120,1.0,,,crust,,2,idle,,,,
d_nikke_crust_04_12,d_nikke_crust_04,Speech,crust,Locale_NikkeEpisode:d_nikke_crust_04_12,True,,12,shy,,XS_120,XS_120,1.0,,,crust,,2,idle,,Low_2,,
d_nikke_crust_04_13,d_nikke_crust_04,Speech,bready,Locale_NikkeEpisode:d_nikke_crust_04_13,True,,12,shy,,XS_120,S_20,1.3,,,bready,,2,idle,,,,
d_nikke_crust_04_14,d_nikke_crust_04,Speech,bready,Locale_NikkeEpisode:d_nikke_crust_04_14,True,,12,shy,,S_20,S_20,1.0,,,bready,,2,idle,,,,
d_nikke_crust_04_15,d_nikke_crust_04,Speech,crust,Locale_NikkeEpisode:d_nikke_crust_04_15,True,,12,think,,S_20,1,1.0,,,crust,,2,idle,,,,
d_nikke_crust_04_16,d_nikke_crust_04,Speech,bready,Locale_NikkeEpisode:d_nikke_crust_04_16,True,,12,think,,1,1,1.0,,,bready,,2,idle,,,,
d_nikke_crust_04_17,d_nikke_crust_04,Self,bready,Locale_NikkeEpisode:d_nikke_crust_04_17,False,,12,think,,1,1,1.0,,,,,2,idle,,,,
d_nikke_crust_04_18,d_nikke_crust_04,Self,bready,Locale_NikkeEpisode:d_nikke_crust_04_18,False,,12,think,,1,1,1.0,,,,,2,idle,,,,
d_nikke_crust_04_19,d_nikke_crust_04,Speech,crust,Locale_NikkeEpisode:d_nikke_crust_04_19,True,,12,think,,1,1,1.0,,,crust,,2,idle,,,,
d_nikke_crust_04_20,d_nikke_crust_04,Speech,crust,Locale_NikkeEpisode:d_nikke_crust_04_20,True,,12,think,,1,1,1.0,,,crust,,2,idle,,,,
d_nikke_crust_04_21,d_nikke_crust_04,Speech,crust,Locale_NikkeEpisode:d_nikke_crust_04_21,True,,12,think,,1,1,1.0,,,crust,,2,idle,,,,
d_nikke_crust_04_22,d_nikke_crust_04,Self,crust,Locale_NikkeEpisode:d_nikke_crust_04_22,False,,12,think,,1,1,1.0,,,,,2,idle,,,,
d_nikke_crust_04_23,d_nikke_crust_04,Speech,bready,Locale_NikkeEpisode:d_nikke_crust_04_23,True,,12,think,,1,1,1.0,,,bready,,2,idle,,,,
d_nikke_crust_04_24,d_nikke_crust_04,Speech,crust,Locale_NikkeEpisode:d_nikke_crust_04_24,True,,12,think,,1,1,1.0,,,crust,,2,idle,,,,
d_nikke_crust_04_25,d_nikke_crust_04,Speech,bready,Locale_NikkeEpisode:d_nikke_crust_04_25,True,,12,think,,1,1,1.0,,,bready,,2,idle,,,,
d_nikke_crust_04_26,d_nikke_crust_04,Monologue,bready,Locale_NikkeEpisode:d_nikke_crust_04_26,False,,12,think,,black,black,1.0,,none,,,2,idle,,,,
d_nikke_crust_04_27,d_nikke_crust_04,Monologue,bready,Locale_NikkeEpisode:d_nikke_crust_04_27,False,,12,think,,black,black,1.0,,,,,2,idle,,,,
d_nikke_crust_04_28,d_nikke_crust_04,Self,bready,Locale_NikkeEpisode:d_nikke_crust_04_28,False,,12,think,,17,17,1.0,,bgm_frostpillar,,,2,idle,,,,
d_nikke_crust_04_29,d_nikke_crust_04,Self,bready,Locale_NikkeEpisode:d_nikke_crust_04_29,False,,12,think,,17,17,1.0,,,,,2,idle,,,,
d_nikke_crust_04_30,d_nikke_crust_04,Monologue,bready,Locale_NikkeEpisode:d_nikke_crust_04_30,False,,12,think,,17,17,1.0,,,,,2,idle,,,,
d_nikke_crust_04_31,d_nikke_crust_04,Speech,crust,Locale_NikkeEpisode:d_nikke_crust_04_31,True,,12,think,,17,1,2.0,,,crust,,2,idle,,,,
d_nikke_crust_04_32,d_nikke_crust_04,Speech,crust,Locale_NikkeEpisode:d_nikke_crust_04_32,True,,12,think,,1,1,1.0,,,crust,,2,idle,,,,
d_nikke_crust_04_33,d_nikke_crust_04,Speech,bready,Locale_NikkeEpisode:d_nikke_crust_04_33,True,,12,think,,1,1,1.0,,,bready,,2,idle,,,,
d_nikke_crust_04_34,d_nikke_crust_04,Self,bready,Locale_NikkeEpisode:d_nikke_crust_04_34,False,,12,think,,1,1,1.0,,,,,2,idle,,,,
d_nikke_crust_04_35,d_nikke_crust_04,Speech,crust,Locale_NikkeEpisode:d_nikke_crust_04_35,True,,12,think,,1,XS_120,1.5,,,crust,,2,idle,,,,
