id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_noir_04_1,d_nikke_noir_04,Speech,noir,noir,Locale_NikkeEpisode:d_nikke_noir_04_1,True,Gym,1,1,1.0,bgm_story_orangepop,,,noir,1,idle,,,,
d_nikke_noir_04_2,d_nikke_noir_04,Self,noir,,Locale_NikkeEpisode:d_nikke_noir_04_2,False,,1,1,1.0,,,,,1,idle,,,,
d_nikke_noir_04_3,d_nikke_noir_04,Speech,noir,noir,Locale_NikkeEpisode:d_nikke_noir_04_3,True,,1,L_10,1.0,,,,,1,idle,,,,
d_nikke_noir_04_4,d_nikke_noir_04,Speech,noir,noir,Locale_NikkeEpisode:d_nikke_noir_04_4,True,,L_10,L_10,1.0,,,,,1,surprise,,,,
d_nikke_noir_04_5,d_nikke_noir_04,Speech,noir,noir,Locale_NikkeEpisode:d_nikke_noir_04_5,True,,L_10,L_10,1.0,,,,,1,surprise,,,,
d_nikke_noir_04_6,d_nikke_noir_04,Speech,noir,noir,Locale_NikkeEpisode:d_nikke_noir_04_6,True,,L_10,L_10,1.0,,,,,1,surprise,,,,
d_nikke_noir_04_7,d_nikke_noir_04,Speech,noir,noir,Locale_NikkeEpisode:d_nikke_noir_04_7,True,,L_10,L_10,1.0,,,,,1,surprise,,,,
d_nikke_noir_04_8,d_nikke_noir_04,Speech,noir,noir,Locale_NikkeEpisode:d_nikke_noir_04_8,True,,L_10,L_10,1.0,,,,,1,surprise,,,,
d_nikke_noir_04_9,d_nikke_noir_04,Choice,noir,,Locale_NikkeEpisode:d_nikke_noir_04_9,False,,L_10,L_10,1.0,,d_nikke_noir_04_11,,,1,surprise,,,,
d_nikke_noir_04_10,d_nikke_noir_04,Choice,noir,,Locale_NikkeEpisode:d_nikke_noir_04_10,False,,L_10,L_10,1.0,,d_nikke_noir_04_15,,,1,surprise,,,,
d_nikke_noir_04_11,d_nikke_noir_04,Speech,noir,noir,Locale_NikkeEpisode:d_nikke_noir_04_11,True,,L_10,L_10,1.0,,,,,1,idle,,,,
d_nikke_noir_04_12,d_nikke_noir_04,Speech,noir,noir,Locale_NikkeEpisode:d_nikke_noir_04_12,True,,L_10,L_10,1.0,,,,,1,idle,,,,
d_nikke_noir_04_13,d_nikke_noir_04,Speech,noir,noir,Locale_NikkeEpisode:d_nikke_noir_04_13,True,,L_10,L_10,1.0,,,,,1,idle,,,,
d_nikke_noir_04_14,d_nikke_noir_04,Self,noir,,Locale_NikkeEpisode:d_nikke_noir_04_14,False,,L_10,L_10,1.0,,d_nikke_noir_04_19,,,1,idle,,,,
d_nikke_noir_04_15,d_nikke_noir_04,Speech,noir,noir,Locale_NikkeEpisode:d_nikke_noir_04_15,True,,L_10,L_10,1.0,,,,,1,surprise,,,,
d_nikke_noir_04_16,d_nikke_noir_04,Speech,noir,noir,Locale_NikkeEpisode:d_nikke_noir_04_16,True,,L_10,L_10,1.0,,,,,1,idle,,,,
d_nikke_noir_04_17,d_nikke_noir_04,Speech,noir,noir,Locale_NikkeEpisode:d_nikke_noir_04_17,True,,L_10,L_10,1.0,,,,,1,idle,,,,
