id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id
d_nikke_milk_05_1,d_nikke_milk_05,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_05_1,True,Cafe,S_10,S_10,1.0,bgm_story_whosdumber,,,,milk,1,idle,sugar,13,idle,,frima,15,idle,
d_nikke_milk_05_2,d_nikke_milk_05,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_milk_05_2,True,,S_130,S_130,1.0,,,,,,1,idle,,13,idle,,,15,idle,
d_nikke_milk_05_3,d_nikke_milk_05,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_milk_05_3,True,,150,150,1.0,,,,,,1,idle,,13,idle,,,15,idle,
d_nikke_milk_05_4,d_nikke_milk_05,Monologue,frima,Monologue,Locale_NikkeEpisode:d_nikke_milk_05_4,False,,150,150,1.0,,,,,,1,idle,,13,idle,,,15,idle,
d_nikke_milk_05_5,d_nikke_milk_05,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_05_5,True,,150,S_10,1.0,,,,,,1,angry,,13,idle,,,15,idle,
d_nikke_milk_05_6,d_nikke_milk_05,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_milk_05_6,True,,S_10,1315,1.0,,,,,,1,angry,,13,idle,,,15,idle,
d_nikke_milk_05_7,d_nikke_milk_05,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_milk_05_7,True,,1315,1315,1.0,,,,,,1,angry,,13,idle,,,15,idle,
d_nikke_milk_05_8,d_nikke_milk_05,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_milk_05_8,True,,1315,1315,1.0,,,,,,1,angry,,13,idle,,,15,idle,
d_nikke_milk_05_9,d_nikke_milk_05,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_05_9,True,,1315,1,1.0,,,,,,1,no,,13,idle,,,15,idle,
d_nikke_milk_05_10,d_nikke_milk_05,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_milk_05_10,True,,1,113,1.0,,,,,,1,no,,13,surprise,,,15,idle,
d_nikke_milk_05_11,d_nikke_milk_05,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_05_11,True,,113,113,1.0,,,,,,1,no,,13,surprise,,,15,idle,
d_nikke_milk_05_12,d_nikke_milk_05,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_milk_05_12,True,,113,113,1.0,,,,,,1,no,,13,idle,,,15,idle,
d_nikke_milk_05_13,d_nikke_milk_05,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_milk_05_13,True,,113,1315,1.0,,,,,,1,no,,13,idle,,,15,idle,
d_nikke_milk_05_14,d_nikke_milk_05,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_05_14,True,,1315,S_10,1.0,,,,,,1,idle,,13,idle,,,15,idle,
d_nikke_milk_05_15,d_nikke_milk_05,Narration,milk,Narration,Locale_NikkeEpisode:d_nikke_milk_05_15,False,,S_10,S_30,1.0,,,,,,3,idle,,13,idle,,,15,idle,
d_nikke_milk_05_16,d_nikke_milk_05,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_05_16,True,,S_30,S_30,1.0,,,,,,3,idle,,13,idle,,,15,idle,
d_nikke_milk_05_17,d_nikke_milk_05,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_milk_05_17,True,,S_130,S_130,1.0,,,,,,3,idle,,13,idle,,,15,idle,
d_nikke_milk_05_18,d_nikke_milk_05,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_milk_05_18,True,,150,150,1.0,,,,,,3,idle,,13,idle,,,15,idle,
d_nikke_milk_05_19,d_nikke_milk_05,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_05_19,True,,S_30,S_30,1.0,,,,,,3,idle,,13,idle,,,15,idle,
d_nikke_milk_05_20,d_nikke_milk_05,Narration,milk,Narration,Locale_NikkeEpisode:d_nikke_milk_05_20,False,,S_30,S_30,1.0,none,sfx_scn_phonevibration,,,,3,idle,,13,idle,,,15,idle,
d_nikke_milk_05_21,d_nikke_milk_05,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_milk_05_21,False,,S_30,1315,1.0,,,,,,3,idle,,13,idle,,,15,idle,
d_nikke_milk_05_22,d_nikke_milk_05,Speech,sugar,sugar,Locale_NikkeEpisode:d_nikke_milk_05_22,True,,1315,1315,1.0,,,,,,3,idle,,13,idle,,,15,idle,
d_nikke_milk_05_23,d_nikke_milk_05,Speech,frima,frima,Locale_NikkeEpisode:d_nikke_milk_05_23,True,,1315,1315,1.0,,,,,,3,idle,,13,idle,,,15,idle,
d_nikke_milk_05_24,d_nikke_milk_05,Narration,frima,Narration,Locale_NikkeEpisode:d_nikke_milk_05_24,False,,1315,S_130,1.0,,,,,,3,idle,,13,idle,,,15,idle,
