id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target
d_nikke_k_01_1,d_nikke_k_01,Narration,Locale_NikkeEpisode:d_nikke_k_01_1,False,ShowerRoom,1,1,1.0,sfx_scn_autodooropen,none,,,,,,,
d_nikke_k_01_2,d_nikke_k_01,Narration,Locale_NikkeEpisode:d_nikke_k_01_2,False,,1,1,1.0,,,,,,,,,
d_nikke_k_01_3,d_nikke_k_01,Narration,Locale_NikkeEpisode:d_nikke_k_01_3,False,,1,1,1.0,sfx_scn_clothweak,,,,,,,,
d_nikke_k_01_4,d_nikke_k_01,Narration,Locale_NikkeEpisode:d_nikke_k_01_4,False,,1,1,1.0,sfx_scn_remotesignal,,,,,,,,
d_nikke_k_01_5,d_nikke_k_01,Speech,Locale_NikkeEpisode:d_nikke_k_01_5,False,,1,1,1.0,,,announcer,announcer,,,,,
d_nikke_k_01_6,d_nikke_k_01,Narration,Locale_NikkeEpisode:d_nikke_k_01_6,False,,1,1,1.0,sfx_scn_remotesignal,,,,,,,,
d_nikke_k_01_7,d_nikke_k_01,Speech,Locale_NikkeEpisode:d_nikke_k_01_7,True,,1,1,1.0,,,femaleactor,femaleactor,,,,,
d_nikke_k_01_8,d_nikke_k_01,Speech,Locale_NikkeEpisode:d_nikke_k_01_8,True,,1,1,1.0,,,maleactor,maleactor,,,,,
d_nikke_k_01_9,d_nikke_k_01,Speech,Locale_NikkeEpisode:d_nikke_k_01_9,True,,1,1,1.0,,,femaleactor,femaleactor,,,,,
d_nikke_k_01_10,d_nikke_k_01,Speech,Locale_NikkeEpisode:d_nikke_k_01_10,True,,1,1,1.0,,,femaleactor,femaleactor,,,,,
d_nikke_k_01_11,d_nikke_k_01,Speech,Locale_NikkeEpisode:d_nikke_k_01_11,False,,black,black,1.0,,,k,k,,,,,
d_nikke_k_01_12,d_nikke_k_01,Narration,Locale_NikkeEpisode:d_nikke_k_01_12,False,,black,black,1.0,,,,,,,,,
d_nikke_k_01_13,d_nikke_k_01,Speech,Locale_NikkeEpisode:d_nikke_k_01_13,True,,1,1,1.0,,,femaleactor,femaleactor,,,,,
d_nikke_k_01_14,d_nikke_k_01,Speech,Locale_NikkeEpisode:d_nikke_k_01_14,True,,1,1,1.0,,,femaleactor,femaleactor,,,,,
d_nikke_k_01_15,d_nikke_k_01,Speech,Locale_NikkeEpisode:d_nikke_k_01_15,False,,black,black,1.0,,,k,k,,,,,
d_nikke_k_01_16,d_nikke_k_01,Narration,Locale_NikkeEpisode:d_nikke_k_01_16,False,,black,black,1.0,,,,,,,,,
d_nikke_k_01_17,d_nikke_k_01,Narration,Locale_NikkeEpisode:d_nikke_k_01_17,False,,black,black,1.0,,,,,,,,,
d_nikke_k_01_18,d_nikke_k_01,Narration,Locale_NikkeEpisode:d_nikke_k_01_18,False,,black,black,1.0,,,,,,,,,
d_nikke_k_01_19,d_nikke_k_01,Narration,Locale_NikkeEpisode:d_nikke_k_01_19,False,,black,black,1.0,,,,,,,,,
d_nikke_k_01_20,d_nikke_k_01,Speech,Locale_NikkeEpisode:d_nikke_k_01_20,False,,1,1,1.0,,,k,k,,,,,
d_nikke_k_01_21,d_nikke_k_01,Narration,Locale_NikkeEpisode:d_nikke_k_01_21,False,,1,1,1.0,,,,,,,,,
d_nikke_k_01_22,d_nikke_k_01,Narration,Locale_NikkeEpisode:d_nikke_k_01_22,False,,1,100,1.3,,,,,,,,,
d_nikke_k_01_23,d_nikke_k_01,Monologue,Locale_NikkeEpisode:d_nikke_k_01_23,False,CommanderRoom_n,1,1,1.0,,bgm_story_languor,,,black,,,,
d_nikke_k_01_24,d_nikke_k_01,Speech,Locale_NikkeEpisode:d_nikke_k_01_24,False,,1,S_10,1.3,,,k,k,,k,1,idle,
d_nikke_k_01_25,d_nikke_k_01,Monologue,Locale_NikkeEpisode:d_nikke_k_01_25,False,,S_10,S_10,1.0,,,k,,,,1,idle,
d_nikke_k_01_26,d_nikke_k_01,Choice,Locale_NikkeEpisode:d_nikke_k_01_26,False,,S_10,S_10,1.0,,,k,,,,1,idle,d_nikke_k_01_28
d_nikke_k_01_27,d_nikke_k_01,Choice,Locale_NikkeEpisode:d_nikke_k_01_27,False,,S_10,S_10,1.0,,,k,,,,1,idle,d_nikke_k_01_29
d_nikke_k_01_28,d_nikke_k_01,Speech,Locale_NikkeEpisode:d_nikke_k_01_28,True,,S_10,S_10,1.0,,,k,k,,,1,idle,d_nikke_k_01_30
d_nikke_k_01_29,d_nikke_k_01,Speech,Locale_NikkeEpisode:d_nikke_k_01_29,True,,S_10,S_10,1.0,,,k,k,,,1,idle,d_nikke_k_01_30
d_nikke_k_01_30,d_nikke_k_01,Monologue,Locale_NikkeEpisode:d_nikke_k_01_30,False,,S_10,S_100,1.3,,,k,,,,1,idle,
d_nikke_k_01_31,d_nikke_k_01,Self,Locale_NikkeEpisode:d_nikke_k_01_31,False,,S_100,S_100,1.0,,,k,,,,1,idle,
d_nikke_k_01_32,d_nikke_k_01,Speech,Locale_NikkeEpisode:d_nikke_k_01_32,True,,S_100,S_100,1.0,,,k,k,,,1,idle,
d_nikke_k_01_33,d_nikke_k_01,Choice,Locale_NikkeEpisode:d_nikke_k_01_33,False,,S_100,S_100,1.0,,,k,,,,1,idle,d_nikke_k_01_35
d_nikke_k_01_34,d_nikke_k_01,Choice,Locale_NikkeEpisode:d_nikke_k_01_34,False,,S_100,S_100,1.0,,,k,,,,1,idle,d_nikke_k_01_35
d_nikke_k_01_35,d_nikke_k_01,Speech,Locale_NikkeEpisode:d_nikke_k_01_35,True,,S_100,S_10,1.3,,,k,k,,,1,think,
d_nikke_k_01_36,d_nikke_k_01,Self,Locale_NikkeEpisode:d_nikke_k_01_36,False,,S_10,S_10,1.0,,,k,,,,1,think,
d_nikke_k_01_37,d_nikke_k_01,Speech,Locale_NikkeEpisode:d_nikke_k_01_37,True,,S_10,S_10,1.0,,,k,k,,,1,idle,
d_nikke_k_01_38,d_nikke_k_01,Speech,Locale_NikkeEpisode:d_nikke_k_01_38,True,,S_10,S_10,1.0,,,k,k,,,1,idle,
d_nikke_k_01_39,d_nikke_k_01,Self,Locale_NikkeEpisode:d_nikke_k_01_39,False,,S_10,S_10,1.0,,,k,,,,1,idle,
d_nikke_k_01_40,d_nikke_k_01,Speech,Locale_NikkeEpisode:d_nikke_k_01_40,True,,S_10,S_10,1.0,,,k,k,,,1,idle,
d_nikke_k_01_41,d_nikke_k_01,Self,Locale_NikkeEpisode:d_nikke_k_01_41,False,,S_10,S_10,1.0,,,k,,,,1,idle,
d_nikke_k_01_42,d_nikke_k_01,Monologue,Locale_NikkeEpisode:d_nikke_k_01_42,False,,S_10,S_100,1.3,,,k,,,,1,think,
d_nikke_k_01_43,d_nikke_k_01,Self,Locale_NikkeEpisode:d_nikke_k_01_43,False,,S_100,S_100,1.0,,,k,,,,1,think,
d_nikke_k_01_44,d_nikke_k_01,Speech,Locale_NikkeEpisode:d_nikke_k_01_44,False,,S_100,S_100,1.0,,,k,k,,,1,think,
d_nikke_k_01_45,d_nikke_k_01,Speech,Locale_NikkeEpisode:d_nikke_k_01_45,True,,S_100,S_100,1.0,,,k,k,,,1,think,
d_nikke_k_01_46,d_nikke_k_01,Speech,Locale_NikkeEpisode:d_nikke_k_01_46,True,,S_100,S_100,1.0,,,k,k,,,1,think,
d_nikke_k_01_47,d_nikke_k_01,Speech,Locale_NikkeEpisode:d_nikke_k_01_47,True,,S_100,S_100,1.0,,,k,k,,,1,think,
d_nikke_k_01_48,d_nikke_k_01,Self,Locale_NikkeEpisode:d_nikke_k_01_48,False,,S_100,S_100,1.0,,,k,,,,1,think,
d_nikke_k_01_49,d_nikke_k_01,Speech,Locale_NikkeEpisode:d_nikke_k_01_49,True,,S_100,S_100,1.0,,,k,k,,,1,idle,
d_nikke_k_01_50,d_nikke_k_01,Monologue,Locale_NikkeEpisode:d_nikke_k_01_50,False,,black,black,1.0,,,k,,,,1,idle,
d_nikke_k_01_51,d_nikke_k_01,Self,Locale_NikkeEpisode:d_nikke_k_01_51,False,,S_100,S_100,1.0,,,k,,,,1,think,
d_nikke_k_01_52,d_nikke_k_01,Self,Locale_NikkeEpisode:d_nikke_k_01_52,False,,S_100,S_100,1.0,,,k,,,,1,think,
d_nikke_k_01_53,d_nikke_k_01,Speech,Locale_NikkeEpisode:d_nikke_k_01_53,False,,S_100,S_10,1.3,,,k,k,,,1,idle,
d_nikke_k_01_54,d_nikke_k_01,Self,Locale_NikkeEpisode:d_nikke_k_01_54,False,,S_10,S_10,1.0,,,k,,,,1,idle,
d_nikke_k_01_55,d_nikke_k_01,Speech,Locale_NikkeEpisode:d_nikke_k_01_55,True,,S_10,S_10,1.0,,,k,k,,,1,idle,
d_nikke_k_01_56,d_nikke_k_01,Self,Locale_NikkeEpisode:d_nikke_k_01_56,False,,S_10,S_10,1.0,,,k,,,,1,idle,
d_nikke_k_01_57,d_nikke_k_01,Self,Locale_NikkeEpisode:d_nikke_k_01_57,False,,S_10,S_10,1.0,,,k,,,,1,idle,
d_nikke_k_01_58,d_nikke_k_01,Speech,Locale_NikkeEpisode:d_nikke_k_01_58,True,,S_10,S_10,1.0,,,k,k,,,1,idle,
d_nikke_k_01_59,d_nikke_k_01,Self,Locale_NikkeEpisode:d_nikke_k_01_59,False,,S_10,S_10,1.0,,,k,,,,1,idle,
d_nikke_k_01_60,d_nikke_k_01,Speech,Locale_NikkeEpisode:d_nikke_k_01_60,True,,S_10,S_10,1.0,,,k,k,,,1,idle,
d_nikke_k_01_61,d_nikke_k_01,Speech,Locale_NikkeEpisode:d_nikke_k_01_61,True,,S_10,S_10,1.0,,,k,k,,,1,surprise,
d_nikke_k_01_62,d_nikke_k_01,Self,Locale_NikkeEpisode:d_nikke_k_01_62,False,,S_10,S_10,1.0,,,k,,,,1,surprise,
d_nikke_k_01_63,d_nikke_k_01,Monologue,Locale_NikkeEpisode:d_nikke_k_01_63,False,,S_10,S_10,1.0,,,k,,,,1,surprise,
d_nikke_k_01_64,d_nikke_k_01,Self,Locale_NikkeEpisode:d_nikke_k_01_64,False,,S_10,S_10,1.0,,,k,,,,1,surprise,
d_nikke_k_01_65,d_nikke_k_01,Speech,Locale_NikkeEpisode:d_nikke_k_01_65,True,,S_10,S_10,1.0,,,k,k,,,1,idle,
d_nikke_k_01_66,d_nikke_k_01,Self,Locale_NikkeEpisode:d_nikke_k_01_66,False,,S_10,S_10,1.0,,,k,,,,1,idle,
d_nikke_k_01_67,d_nikke_k_01,Speech,Locale_NikkeEpisode:d_nikke_k_01_67,True,,S_10,S_10,1.0,,,k,k,,,1,idle,
d_nikke_k_01_68,d_nikke_k_01,Self,Locale_NikkeEpisode:d_nikke_k_01_68,False,,S_10,S_10,1.0,,,k,,,,1,idle,
d_nikke_k_01_69,d_nikke_k_01,Self,Locale_NikkeEpisode:d_nikke_k_01_69,False,,S_10,S_10,1.0,,,k,,,,1,idle,
d_nikke_k_01_70,d_nikke_k_01,Speech,Locale_NikkeEpisode:d_nikke_k_01_70,True,,S_10,S_10,1.0,,,k,k,,,1,idle,
d_nikke_k_01_71,d_nikke_k_01,Self,Locale_NikkeEpisode:d_nikke_k_01_71,False,,S_10,S_10,1.0,,,k,,,,1,idle,
d_nikke_k_01_72,d_nikke_k_01,Monologue,Locale_NikkeEpisode:d_nikke_k_01_72,False,,S_10,S_10,1.0,,,k,,,,1,idle,
d_nikke_k_01_73,d_nikke_k_01,Monologue,Locale_NikkeEpisode:d_nikke_k_01_73,False,,S_10,S_10,1.0,,,k,,,,1,idle,
d_nikke_k_01_74,d_nikke_k_01,Self,Locale_NikkeEpisode:d_nikke_k_01_74,False,,S_10,S_10,1.0,,,k,,,,1,idle,
d_nikke_k_01_75,d_nikke_k_01,Speech,Locale_NikkeEpisode:d_nikke_k_01_75,True,,S_10,S_10,1.0,,,k,k,,,1,idle,
d_nikke_k_01_76,d_nikke_k_01,Self,Locale_NikkeEpisode:d_nikke_k_01_76,False,,S_10,S_10,1.0,,,k,,,,1,idle,
d_nikke_k_01_77,d_nikke_k_01,Narration,Locale_NikkeEpisode:d_nikke_k_01_77,False,,S_10,S_100,1.0,,,k,,,,1,idle,
d_nikke_k_01_78,d_nikke_k_01,Speech,Locale_NikkeEpisode:d_nikke_k_01_78,True,,S_100,S_100,1.0,,,k,k,,,1,surprise,
d_nikke_k_01_79,d_nikke_k_01,Self,Locale_NikkeEpisode:d_nikke_k_01_79,False,,S_100,S_100,1.0,,,k,,,,1,surprise,
d_nikke_k_01_80,d_nikke_k_01,Speech,Locale_NikkeEpisode:d_nikke_k_01_80,True,,S_100,S_100,1.0,,,k,k,,,1,surprise,
d_nikke_k_01_81,d_nikke_k_01,Self,Locale_NikkeEpisode:d_nikke_k_01_81,False,,S_100,S_100,1.0,,,k,,,,1,surprise,
