id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/0/hide_char_id,fade,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,set_filter_01,characters/2/hide_char_id,set_camera_shake,jump_target
d_nikke_brid_04_1,d_nikke_brid_04,Narration,brid,Locale_NikkeEpisode:d_nikke_brid_04_1,False,Station,black,black,1.0,sfx_scn_trainstop,none,,,,,,,,,,,,,,,,,
d_nikke_brid_04_2,d_nikke_brid_04,Speech,brid,Locale_NikkeEpisode:d_nikke_brid_04_2,True,,black,black,1.0,,,crewman01,,,,,,,,,,,,,,,,
d_nikke_brid_04_3,d_nikke_brid_04,Speech,brid,Locale_NikkeEpisode:d_nikke_brid_04_3,True,,1,L_10,2.0,,,brid,brid,1,idle,,,,,,,,,,,,,
d_nikke_brid_04_4,d_nikke_brid_04,Narration,brid,Locale_NikkeEpisode:d_nikke_brid_04_4,False,,L_10,L_10,1.0,sfx_scn_tablettouchs,,,,1,idle,,,,,,,,,,,,,
d_nikke_brid_04_5,d_nikke_brid_04,Speech,brid,Locale_NikkeEpisode:d_nikke_brid_04_5,True,,L_10,L_10,1.0,,,brid,,1,idle,,,,,,,,,,,,,
d_nikke_brid_04_6,d_nikke_brid_04,Narration,brid,Locale_NikkeEpisode:d_nikke_brid_04_6,False,,L_10,L_10,1.0,,,,,1,idle,,,,,,,,,,,,,
d_nikke_brid_04_7,d_nikke_brid_04,Speech,brid,Locale_NikkeEpisode:d_nikke_brid_04_7,True,,L_10,L_10,1.0,,,brid,,1,idle,,,,,,,,,,,,,
d_nikke_brid_04_8,d_nikke_brid_04,Speech,brid,Locale_NikkeEpisode:d_nikke_brid_04_8,True,,L_10,L_10,1.0,,,brid,,1,idle,,,,,,,,,,,,,
d_nikke_brid_04_9,d_nikke_brid_04,Narration,brid,Locale_NikkeEpisode:d_nikke_brid_04_9,False,,L_10,L_10,1.0,,,,,1,idle,,,,,,,,,,,,,
d_nikke_brid_04_10,d_nikke_brid_04,Speech,brid,Locale_NikkeEpisode:d_nikke_brid_04_10,False,,L_10,L_100,2.0,,,brid,,1,angry,,,,,,,,,,,,,
