id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_nikke_k_04_1,d_nikke_k_04,Monologue,k,Locale_NikkeEpisode:d_nikke_k_04_1,False,CommanderRoom,S_10,S_10,1.0,bgm_story_cottoncandy,,,k,1,idle
d_nikke_k_04_2,d_nikke_k_04,Monologue,k,Locale_NikkeEpisode:d_nikke_k_04_2,False,,S_10,S_10,1.0,,,,,1,idle
d_nikke_k_04_3,d_nikke_k_04,Self,k,Locale_NikkeEpisode:d_nikke_k_04_3,False,,S_10,S_10,1.0,,,,,1,idle
d_nikke_k_04_4,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_4,True,,S_10,S_10,1.0,,k,,,1,idle
d_nikke_k_04_5,d_nikke_k_04,Self,k,Locale_NikkeEpisode:d_nikke_k_04_5,False,,S_10,S_10,1.0,,,,,1,idle
d_nikke_k_04_6,d_nikke_k_04,Self,k,Locale_NikkeEpisode:d_nikke_k_04_6,False,,S_10,S_10,1.0,,,,,1,idle
d_nikke_k_04_7,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_7,False,,S_10,S_10,1.0,,k,,,1,surprise
d_nikke_k_04_8,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_8,True,,S_10,S_10,1.0,,k,,,1,idle
d_nikke_k_04_9,d_nikke_k_04,Self,k,Locale_NikkeEpisode:d_nikke_k_04_9,False,,S_10,S_10,1.0,,,,,1,idle
d_nikke_k_04_10,d_nikke_k_04,Self,k,Locale_NikkeEpisode:d_nikke_k_04_10,False,,S_10,S_10,1.0,,,,,1,idle
d_nikke_k_04_11,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_11,False,,S_10,S_100,1.3,,k,,,1,idle
d_nikke_k_04_12,d_nikke_k_04,Monologue,k,Locale_NikkeEpisode:d_nikke_k_04_12,False,,black,black,1.0,,,,,1,idle
d_nikke_k_04_13,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_13,False,,S_100,S_10,0.7,,k,,,1,surprise
d_nikke_k_04_14,d_nikke_k_04,Monologue,k,Locale_NikkeEpisode:d_nikke_k_04_14,False,,S_10,S_10,1.0,,,,,1,surprise
d_nikke_k_04_15,d_nikke_k_04,Self,k,Locale_NikkeEpisode:d_nikke_k_04_15,False,,S_10,S_10,1.0,,,,,1,surprise
d_nikke_k_04_16,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_16,False,,S_10,S_100,1.3,,k,,,1,think
d_nikke_k_04_17,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_17,True,,S_100,S_100,1.0,,k,,,1,think
d_nikke_k_04_18,d_nikke_k_04,Monologue,k,Locale_NikkeEpisode:d_nikke_k_04_18,False,,black,black,1.0,,,,,1,think
d_nikke_k_04_19,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_19,True,,S_100,S_10,0.7,,k,,,1,shy
d_nikke_k_04_20,d_nikke_k_04,Monologue,k,Locale_NikkeEpisode:d_nikke_k_04_20,False,,S_10,S_10,1.0,,,,,1,shy
d_nikke_k_04_21,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_21,True,,S_10,S_10,1.0,,k,,,1,shy
d_nikke_k_04_22,d_nikke_k_04,Self,k,Locale_NikkeEpisode:d_nikke_k_04_22,False,,S_10,S_10,1.0,,,,,1,shy
d_nikke_k_04_23,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_23,True,,S_10,S_10,1.0,,k,,,1,idle
d_nikke_k_04_24,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_24,True,,S_10,S_10,1.0,,k,,,1,idle
d_nikke_k_04_25,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_25,True,,S_10,S_10,1.0,,k,,,1,idle
d_nikke_k_04_26,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_26,True,,S_10,S_10,1.0,,k,,,1,idle
d_nikke_k_04_27,d_nikke_k_04,Self,k,Locale_NikkeEpisode:d_nikke_k_04_27,False,,S_10,S_10,1.0,,,,,1,idle
d_nikke_k_04_28,d_nikke_k_04,Monologue,k,Locale_NikkeEpisode:d_nikke_k_04_28,False,,S_10,S_10,1.0,,,,,1,idle
d_nikke_k_04_29,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_29,True,,S_10,S_10,1.0,,k,,,1,idle
d_nikke_k_04_30,d_nikke_k_04,Self,k,Locale_NikkeEpisode:d_nikke_k_04_30,False,,S_10,S_10,1.0,,,,,1,idle
d_nikke_k_04_31,d_nikke_k_04,Narration,k,Locale_NikkeEpisode:d_nikke_k_04_31,False,,S_10,S_10,1.0,,,sfx_scn_snackbite,,1,idle
d_nikke_k_04_32,d_nikke_k_04,Monologue,k,Locale_NikkeEpisode:d_nikke_k_04_32,False,,S_10,S_10,1.0,,,,,1,idle
d_nikke_k_04_33,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_33,True,,S_10,S_10,1.0,,k,,,1,idle
d_nikke_k_04_34,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_34,True,,S_10,S_100,1.3,,k,,,1,idle
d_nikke_k_04_35,d_nikke_k_04,Monologue,k,Locale_NikkeEpisode:d_nikke_k_04_35,False,,black,black,1.0,,,,,1,idle
d_nikke_k_04_36,d_nikke_k_04,Self,k,Locale_NikkeEpisode:d_nikke_k_04_36,False,,S_100,S_100,1.0,,,,,1,idle
d_nikke_k_04_37,d_nikke_k_04,Narration,k,Locale_NikkeEpisode:d_nikke_k_04_37,False,,S_100,S_100,1.0,,,sfx_scn_snackbite,,1,idle
d_nikke_k_04_38,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_38,False,,S_100,S_100,1.0,,k,,,1,surprise
d_nikke_k_04_39,d_nikke_k_04,Self,k,Locale_NikkeEpisode:d_nikke_k_04_39,False,,S_100,S_100,1.0,,,,,1,surprise
d_nikke_k_04_40,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_40,True,,S_100,S_10,1.3,,k,,,1,surprise
d_nikke_k_04_41,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_41,True,,S_10,S_10,1.0,,k,,,1,surprise
d_nikke_k_04_42,d_nikke_k_04,Self,k,Locale_NikkeEpisode:d_nikke_k_04_42,False,,S_10,S_10,1.0,,,,,1,surprise
d_nikke_k_04_43,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_43,False,,S_10,S_10,1.0,,k,,,1,think
d_nikke_k_04_44,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_44,True,,S_10,S_10,1.0,,k,,,1,think
d_nikke_k_04_45,d_nikke_k_04,Self,k,Locale_NikkeEpisode:d_nikke_k_04_45,False,,S_10,S_10,1.0,,,,,1,think
d_nikke_k_04_46,d_nikke_k_04,Narration,k,Locale_NikkeEpisode:d_nikke_k_04_46,False,,S_10,S_10,1.0,,,,,1,think
d_nikke_k_04_47,d_nikke_k_04,Speech,k,Locale_NikkeEpisode:d_nikke_k_04_47,False,,S_10,S_10,1.0,,k,,,1,surprise
d_nikke_k_04_48,d_nikke_k_04,Monologue,k,Locale_NikkeEpisode:d_nikke_k_04_48,False,,S_10,S_100,1.3,,,,,1,surprise
