id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_sound,set_camera_shake
d_nikke_snowwhite_young_03_1,d_nikke_snowwhite_young_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_young_03_1,False,Armory,black,black,1.0,event_bgm_redash_alldownhill,,,,,,,,,
d_nikke_snowwhite_young_03_2,d_nikke_snowwhite_young_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_young_03_2,False,,black,black,1.0,,,,,,,,,,
d_nikke_snowwhite_young_03_3,d_nikke_snowwhite_young_03,Speech,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_03_3,True,,S_120,S_120,1.0,,snowwhite_o,snowwhite_o,12,shy,liliweiss,14,idle,,
d_nikke_snowwhite_young_03_4,d_nikke_snowwhite_young_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_young_03_4,False,,S_120,13,1.0,,,,12,shy,,14,idle,,
d_nikke_snowwhite_young_03_5,d_nikke_snowwhite_young_03,Speech,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_03_5,True,,13,13,1.0,,liliweiss,,12,shy,,14,idle,,
d_nikke_snowwhite_young_03_6,d_nikke_snowwhite_young_03,Speech,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_03_6,True,,13,13,1.0,,snowwhite_o,,12,shy,,14,idle,,
d_nikke_snowwhite_young_03_7,d_nikke_snowwhite_young_03,Speech,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_03_7,True,,13,13,1.0,,snowwhite_o,,12,shy,,14,idle,,
d_nikke_snowwhite_young_03_8,d_nikke_snowwhite_young_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_snowwhite_young_03_8,False,,13,140,1.0,,,,12,shy,,14,idle,sfx_scn_aim,
d_nikke_snowwhite_young_03_9,d_nikke_snowwhite_young_03,Speech,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_03_9,True,,140,140,1.0,,liliweiss,,12,shy,,14,think,,
d_nikke_snowwhite_young_03_10,d_nikke_snowwhite_young_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_young_03_10,False,,140,140,1.0,,,,12,shy,,14,think,,
d_nikke_snowwhite_young_03_11,d_nikke_snowwhite_young_03,Speech,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_03_11,True,,140,140,1.0,,liliweiss,,12,shy,,14,think,,
d_nikke_snowwhite_young_03_12,d_nikke_snowwhite_young_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_young_03_12,False,,140,140,1.0,,,,12,shy,,14,think,,
d_nikke_snowwhite_young_03_13,d_nikke_snowwhite_young_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_snowwhite_young_03_13,False,,140,140,1.0,,,,12,surprise,,14,think,,Low_2
d_nikke_snowwhite_young_03_14,d_nikke_snowwhite_young_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_young_03_14,False,,140,140,1.0,,,,12,surprise,,14,think,,
d_nikke_snowwhite_young_03_15,d_nikke_snowwhite_young_03,Speech,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_03_15,True,,140,140,1.0,,liliweiss,,12,surprise,,14,surprise,,
d_nikke_snowwhite_young_03_16,d_nikke_snowwhite_young_03,Speech,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_03_16,True,,140,S_120,1.0,,snowwhite_o,,12,surprise,,14,surprise,,
d_nikke_snowwhite_young_03_17,d_nikke_snowwhite_young_03,Speech,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_03_17,True,,S_120,S_120,1.0,,snowwhite_o,,12,surprise,,14,surprise,,
d_nikke_snowwhite_young_03_18,d_nikke_snowwhite_young_03,Speech,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_03_18,True,,S_120,S_120,1.0,,snowwhite_o,,12,surprise,,14,surprise,,
d_nikke_snowwhite_young_03_19,d_nikke_snowwhite_young_03,Speech,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_03_19,True,,S_120,S_120,1.0,,snowwhite_o,,12,surprise,,14,surprise,,
d_nikke_snowwhite_young_03_20,d_nikke_snowwhite_young_03,Speech,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_03_20,True,,S_120,13,1.0,,liliweiss,,12,surprise,,14,no,,
d_nikke_snowwhite_young_03_21,d_nikke_snowwhite_young_03,Speech,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_03_21,True,,13,13,1.0,,liliweiss,,12,surprise,,14,no,,
d_nikke_snowwhite_young_03_22,d_nikke_snowwhite_young_03,Speech,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_03_22,True,,13,13,1.0,,liliweiss,,12,surprise,,14,idle,,
d_nikke_snowwhite_young_03_23,d_nikke_snowwhite_young_03,Speech,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_03_23,False,,13,13,1.0,,snowwhite_o,,12,no,,14,idle,,
d_nikke_snowwhite_young_03_24,d_nikke_snowwhite_young_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_young_03_24,False,,black,black,1.0,,,,12,idle,,14,idle,,
d_nikke_snowwhite_young_03_25,d_nikke_snowwhite_young_03,Speech,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_03_25,True,,13,13,1.0,,snowwhite_o,,12,idle,,14,idle,,
d_nikke_snowwhite_young_03_26,d_nikke_snowwhite_young_03,Speech,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_03_26,True,,13,13,1.0,,liliweiss,,12,idle,,14,idle,,
d_nikke_snowwhite_young_03_27,d_nikke_snowwhite_young_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_snowwhite_young_03_27,False,,13,13,1.0,,,,12,surprise,,14,idle,,
d_nikke_snowwhite_young_03_28,d_nikke_snowwhite_young_03,Speech,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_03_28,False,,13,13,1.0,,snowwhite_o,,12,surprise,,14,idle,,
d_nikke_snowwhite_young_03_29,d_nikke_snowwhite_young_03,Speech,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_03_29,True,,13,13,1.0,,liliweiss,,12,surprise,,14,surprise,,
d_nikke_snowwhite_young_03_30,d_nikke_snowwhite_young_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_young_03_30,False,,black,black,1.0,,,,12,sad,,14,idle,,
d_nikke_snowwhite_young_03_31,d_nikke_snowwhite_young_03,Speech,snowwhite_o,Locale_NikkeEpisode:d_nikke_snowwhite_young_03_31,True,,13,13,1.0,,snowwhite_o,,12,sad,,14,idle,,
d_nikke_snowwhite_young_03_32,d_nikke_snowwhite_young_03,Speech,liliweiss,Locale_NikkeEpisode:d_nikke_snowwhite_young_03_32,True,,13,13,1.0,,liliweiss,,12,sad,,14,idle,,
