id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_sound
d_nikke_ce004_04_01_1,d_nikke_ce004_04_01,Speech,ce004_04,ce004_04,Locale_NikkeEpisode:d_nikke_ce004_04_01_1,True,ce004_04,12,surprise,Classroom,12,12,1.0,bgm_story_backtonormal,,,,
d_nikke_ce004_04_01_2,d_nikke_ce004_04_01,Narration,ce004_04,,Locale_NikkeEpisode:d_nikke_ce004_04_01_2,False,,12,surprise,,12,12,1.0,,,,,
d_nikke_ce004_04_01_3,d_nikke_ce004_04_01,Narration,ce004_04,,Locale_NikkeEpisode:d_nikke_ce004_04_01_3,False,,12,surprise,,black,black,1.0,,marciana,2,idle,sfx_scn_slidingdoor
d_nikke_ce004_04_01_4,d_nikke_ce004_04_01,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_ce004_04_01_4,True,,12,idle,,1,1,1.0,,,2,idle,
d_nikke_ce004_04_01_5,d_nikke_ce004_04_01,Speech,ce004_04,ce004_04,Locale_NikkeEpisode:d_nikke_ce004_04_01_5,True,,12,idle,,1,1,1.0,,,2,idle,
d_nikke_ce004_04_01_6,d_nikke_ce004_04_01,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_ce004_04_01_6,True,,12,idle,,1,1,1.0,,,2,idle,
d_nikke_ce004_04_01_7,d_nikke_ce004_04_01,Speech,ce004_04,ce004_04,Locale_NikkeEpisode:d_nikke_ce004_04_01_7,True,,12,idle,,1,1,1.0,,,2,idle,
d_nikke_ce004_04_01_8,d_nikke_ce004_04_01,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_ce004_04_01_8,True,,12,idle,,1,1,1.0,,,2,idle,
d_nikke_ce004_04_01_9,d_nikke_ce004_04_01,Speech,ce004_04,ce004_04,Locale_NikkeEpisode:d_nikke_ce004_04_01_9,True,,12,idle,,1,1,1.0,,,2,idle,
d_nikke_ce004_04_01_10,d_nikke_ce004_04_01,Speech,ce004_04,ce004_04,Locale_NikkeEpisode:d_nikke_ce004_04_01_10,True,,12,idle,,1,1,1.0,,,2,idle,
d_nikke_ce004_04_01_11,d_nikke_ce004_04_01,Speech,ce004_04,ce004_04,Locale_NikkeEpisode:d_nikke_ce004_04_01_11,True,,12,idle,,1,1,1.0,,,2,idle,
d_nikke_ce004_04_01_12,d_nikke_ce004_04_01,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_ce004_04_01_12,True,,12,idle,,1,1,1.0,,,2,idle,
d_nikke_ce004_04_01_13,d_nikke_ce004_04_01,Speech,ce004_04,ce004_04,Locale_NikkeEpisode:d_nikke_ce004_04_01_13,True,,12,idle,,1,120,1.0,,,2,idle,
d_nikke_ce004_04_01_14,d_nikke_ce004_04_01,Speech,ce004_04,ce004_04,Locale_NikkeEpisode:d_nikke_ce004_04_01_14,True,,12,idle,,120,120,1.0,,,2,idle,
d_nikke_ce004_04_01_15,d_nikke_ce004_04_01,Speech,ce004_04,ce004_04,Locale_NikkeEpisode:d_nikke_ce004_04_01_15,True,,12,idle,,120,120,1.0,,,2,idle,
d_nikke_ce004_04_01_16,d_nikke_ce004_04_01,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_ce004_04_01_16,True,,12,idle,,120,1,1.0,,,2,surprise,
d_nikke_ce004_04_01_17,d_nikke_ce004_04_01,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_ce004_04_01_17,True,,12,idle,,1,1,1.0,,,2,surprise,
d_nikke_ce004_04_01_18,d_nikke_ce004_04_01,Speech,ce004_04,ce004_04,Locale_NikkeEpisode:d_nikke_ce004_04_01_18,True,,12,idle,,1,1,1.0,,,2,surprise,
d_nikke_ce004_04_01_19,d_nikke_ce004_04_01,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_ce004_04_01_19,True,,12,idle,,1,1,1.0,,,2,idle,
d_nikke_ce004_04_01_20,d_nikke_ce004_04_01,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_ce004_04_01_20,True,,12,idle,,1,1,1.0,,,2,idle,
d_nikke_ce004_04_01_21,d_nikke_ce004_04_01,Speech,ce004_04,ce004_04,Locale_NikkeEpisode:d_nikke_ce004_04_01_21,True,,12,idle,,1,1,1.0,,,2,idle,
d_nikke_ce004_04_01_22,d_nikke_ce004_04_01,Speech,ce004_04,ce004_04,Locale_NikkeEpisode:d_nikke_ce004_04_01_22,True,,12,idle,,1,1,1.0,,,2,idle,
d_nikke_ce004_04_01_23,d_nikke_ce004_04_01,Speech,ce004_04,ce004_04,Locale_NikkeEpisode:d_nikke_ce004_04_01_23,True,,12,idle,,1,1,1.0,,,2,idle,
d_nikke_ce004_04_01_24,d_nikke_ce004_04_01,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_ce004_04_01_24,True,,12,idle,,1,20,1.0,,,2,idle,
d_nikke_ce004_04_01_25,d_nikke_ce004_04_01,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_ce004_04_01_25,True,,12,idle,,20,20,1.0,,,2,idle,
d_nikke_ce004_04_01_26,d_nikke_ce004_04_01,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_ce004_04_01_26,True,,12,idle,,20,20,1.0,,,2,idle,
d_nikke_ce004_04_01_27,d_nikke_ce004_04_01,Speech,ce004_04,ce004_04,Locale_NikkeEpisode:d_nikke_ce004_04_01_27,True,,12,idle,,20,120,1.0,,,2,idle,
d_nikke_ce004_04_01_28,d_nikke_ce004_04_01,Speech,ce004_04,ce004_04,Locale_NikkeEpisode:d_nikke_ce004_04_01_28,True,,12,idle,,120,120,1.0,,,2,idle,
d_nikke_ce004_04_01_29,d_nikke_ce004_04_01,Speech,ce004_04,ce004_04,Locale_NikkeEpisode:d_nikke_ce004_04_01_29,True,,12,idle,,120,120,1.0,,,2,idle,
d_nikke_ce004_04_01_30,d_nikke_ce004_04_01,Speech,ce004_04,ce004_04,Locale_NikkeEpisode:d_nikke_ce004_04_01_30,True,,12,idle,,120,120,1.0,,,2,idle,
d_nikke_ce004_04_01_31,d_nikke_ce004_04_01,Speech,ce004_04,ce004_04,Locale_NikkeEpisode:d_nikke_ce004_04_01_31,True,,12,idle,,120,120,1.0,,,2,idle,
d_nikke_ce004_04_01_32,d_nikke_ce004_04_01,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_ce004_04_01_32,False,,12,idle,,120,1,1.0,,,2,idle,
d_nikke_ce004_04_01_33,d_nikke_ce004_04_01,Speech,marciana,marciana,Locale_NikkeEpisode:d_nikke_ce004_04_01_33,True,,12,idle,,1,1,1.0,,,2,idle,
d_nikke_ce004_04_01_34,d_nikke_ce004_04_01,Speech,ce004_04,ce004_04,Locale_NikkeEpisode:d_nikke_ce004_04_01_34,True,,12,idle,,1,120,1.0,,,2,idle,
