id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,set_filter_01,set_filter_02,fade,characters/0/hide_char_id,play_sound,jump_target
d_nikke_noir_05_1,d_nikke_noir_05,Monologue,noir,Locale_NikkeEpisode:d_nikke_noir_05_1,False,noir,1,idle,none,1,L_10,1.0,bgm_story_weare,,,,,,,,,,,
d_nikke_noir_05_2,d_nikke_noir_05,Monologue,noir,Locale_NikkeEpisode:d_nikke_noir_05_2,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,
d_nikke_noir_05_3,d_nikke_noir_05,Monologue,noir,Locale_NikkeEpisode:d_nikke_noir_05_3,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,
d_nikke_noir_05_4,d_nikke_noir_05,Monologue,noir,Locale_NikkeEpisode:d_nikke_noir_05_4,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,
d_nikke_noir_05_5,d_nikke_noir_05,Monologue,noir,Locale_NikkeEpisode:d_nikke_noir_05_5,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,
d_nikke_noir_05_6,d_nikke_noir_05,Monologue,noir,Locale_NikkeEpisode:d_nikke_noir_05_6,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,
d_nikke_noir_05_7,d_nikke_noir_05,Monologue,noir,Locale_NikkeEpisode:d_nikke_noir_05_7,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,
d_nikke_noir_05_8,d_nikke_noir_05,Speech,blanc,Locale_NikkeEpisode:d_nikke_noir_05_8,True,,1,idle,NikkeRoom,L_10,12,1.0,,blanc,blanc,13,idle,,,,,,,
d_nikke_noir_05_9,d_nikke_noir_05,Speech,blanc,Locale_NikkeEpisode:d_nikke_noir_05_9,True,,1,idle,,12,12,1.0,,blanc,,13,idle,,,,,,,
d_nikke_noir_05_10,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_10,True,,1,idle,,12,12,1.0,,noir,,13,idle,,,,,,,
d_nikke_noir_05_11,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_11,True,,1,idle,,12,12,1.0,,noir,,13,idle,,,,,,,
d_nikke_noir_05_12,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_12,True,,1,idle,,12,12,1.0,,noir,,13,idle,,,,,,,
d_nikke_noir_05_13,d_nikke_noir_05,Speech,blanc,Locale_NikkeEpisode:d_nikke_noir_05_13,True,,1,idle,,12,12,1.0,,blanc,,13,delight,,,,,,,
d_nikke_noir_05_14,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_14,True,,1,delight,,12,12,1.0,,noir,,13,delight,,,,,,,
d_nikke_noir_05_15,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_15,True,,1,delight,,12,12,1.0,,noir,,13,delight,,,,,,,
d_nikke_noir_05_16,d_nikke_noir_05,Monologue,noir,Locale_NikkeEpisode:d_nikke_noir_05_16,False,,1,idle,,12,L_130,1.0,,,,13,delight,,,,,,,
d_nikke_noir_05_17,d_nikke_noir_05,Monologue,noir,Locale_NikkeEpisode:d_nikke_noir_05_17,False,,1,idle,,L_130,L_130,1.0,,,,13,delight,,,,,,,
d_nikke_noir_05_18,d_nikke_noir_05,Self,noir,Locale_NikkeEpisode:d_nikke_noir_05_18,False,,1,surprise,Park,1,1,1.0,,,,13,delight,blanc,Vignetting,Grey,black,,,
d_nikke_noir_05_19,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_19,True,,1,surprise,,1,1,1.0,,noir,,,,,Vignetting,Grey,,,,
d_nikke_noir_05_20,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_20,True,,1,surprise,,1,1,1.0,,noir,,,,,Vignetting,Grey,,,,
d_nikke_noir_05_21,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_21,True,,1,surprise,,1,1,1.0,,noir,,,,,Vignetting,Grey,,,,
d_nikke_noir_05_22,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_22,True,,1,idle,,1,1,1.0,,noir,,,,,Vignetting,Grey,,,,
d_nikke_noir_05_23,d_nikke_noir_05,Monologue,noir,Locale_NikkeEpisode:d_nikke_noir_05_23,False,,1,idle,,1,L_10,1.0,,,,,,,Vignetting,Grey,,,,
d_nikke_noir_05_24,d_nikke_noir_05,Monologue,noir,Locale_NikkeEpisode:d_nikke_noir_05_24,False,,1,idle,Gym,black,black,1.0,,,,,,,Vignetting,Grey,,,,
d_nikke_noir_05_25,d_nikke_noir_05,Self,noir,Locale_NikkeEpisode:d_nikke_noir_05_25,False,,1,no,,1,1,1.0,,,,,,,Vignetting,Grey,,,,
d_nikke_noir_05_26,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_26,True,,1,surprise,,1,1,1.0,,noir,,,,,Vignetting,Grey,,,,
d_nikke_noir_05_27,d_nikke_noir_05,Self,noir,Locale_NikkeEpisode:d_nikke_noir_05_27,False,,1,surprise,,1,1,1.0,,,,,,,Vignetting,Grey,,,,
d_nikke_noir_05_28,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_28,False,,1,surprise,,1,1,1.0,,noir,,,,,Vignetting,Grey,,,,
d_nikke_noir_05_29,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_29,True,,1,surprise,,1,1,1.0,,noir,,,,,Vignetting,Grey,,,,
d_nikke_noir_05_30,d_nikke_noir_05,Monologue,noir,Locale_NikkeEpisode:d_nikke_noir_05_30,False,,1,surprise,,1,L_10,1.0,,,,,,,Vignetting,Grey,,,,
d_nikke_noir_05_31,d_nikke_noir_05,Monologue,noir,Locale_NikkeEpisode:d_nikke_noir_05_31,False,,1,surprise,,L_10,L_10,1.0,,,,,,,Vignetting,Grey,,,,
d_nikke_noir_05_32,d_nikke_noir_05,Speech,blanc,Locale_NikkeEpisode:d_nikke_noir_05_32,True,,1,idle,NikkeRoom,12,12,1.0,,blanc,blanc,13,idle,,,,black,,,
d_nikke_noir_05_33,d_nikke_noir_05,Speech,blanc,Locale_NikkeEpisode:d_nikke_noir_05_33,True,,1,idle,,12,12,1.0,,blanc,,13,idle,,,,,,,
d_nikke_noir_05_34,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_34,True,,1,idle,,12,12,1.0,,noir,,13,idle,,,,,,,
d_nikke_noir_05_35,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_35,True,,1,idle,,12,12,1.0,,noir,,13,idle,,,,,,,
d_nikke_noir_05_36,d_nikke_noir_05,Speech,blanc,Locale_NikkeEpisode:d_nikke_noir_05_36,True,,1,idle,,12,12,1.0,,blanc,,13,delight,,,,,,,
d_nikke_noir_05_37,d_nikke_noir_05,Monologue,noir,Locale_NikkeEpisode:d_nikke_noir_05_37,False,,1,idle,,12,L_130,1.0,,,,13,delight,,,,,,,
d_nikke_noir_05_38,d_nikke_noir_05,Monologue,noir,Locale_NikkeEpisode:d_nikke_noir_05_38,False,,1,idle,,L_130,L_130,1.0,,,,13,delight,,,,,,,
d_nikke_noir_05_39,d_nikke_noir_05,Monologue,noir,Locale_NikkeEpisode:d_nikke_noir_05_39,False,,1,idle,,L_130,L_130,1.0,,,,13,delight,,,,,,,
d_nikke_noir_05_40,d_nikke_noir_05,Monologue,noir,Locale_NikkeEpisode:d_nikke_noir_05_40,False,,1,idle,none,black,black,1.0,none,,,13,delight,blanc,,,,noir,,
d_nikke_noir_05_41,d_nikke_noir_05,Narration,noir,Locale_NikkeEpisode:d_nikke_noir_05_41,False,,,,CommanderRoom_n,1,1,1.0,,,,,,,,,,,sfx_scn_autodooropen,
d_nikke_noir_05_42,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_42,True,noir,1,idle,,1,1,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_43,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_43,True,,1,idle,,1,1,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_44,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_44,True,,1,idle,,1,1,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_45,d_nikke_noir_05,Self,noir,Locale_NikkeEpisode:d_nikke_noir_05_45,False,,1,idle,,1,1,1.0,,,,,,,,,,,,
d_nikke_noir_05_46,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_46,False,,1,idle,,1,1,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_47,d_nikke_noir_05,Monologue,noir,Locale_NikkeEpisode:d_nikke_noir_05_47,False,,1,idle,,1,L_10,1.0,bgm_story_cosmos,,,,,,,,,,,
d_nikke_noir_05_48,d_nikke_noir_05,Monologue,noir,Locale_NikkeEpisode:d_nikke_noir_05_48,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,
d_nikke_noir_05_49,d_nikke_noir_05,Self,noir,Locale_NikkeEpisode:d_nikke_noir_05_49,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,,
d_nikke_noir_05_50,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_50,True,,1,surprise,,L_10,L_10,1.0,,noir,,,,,,,,,,
d_nikke_noir_05_51,d_nikke_noir_05,Speech,noir,Locale_NikkeEpisode:d_nikke_noir_05_51,True,,1,surprise,,L_10,L_10,1.0,,noir,,,,,,,,,,
