id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,play_sound,jump_target,set_camera_shake,fade,characters/0/hide_char_id
d_nikke_bay_04_1,d_nikke_bay_04,Narration,bay,Locale_NikkeEpisode:d_nikke_bay_04_1,False,bay,5,idle,City_d,50,50,1.0,bgm_story_orangepop,,,,,,
d_nikke_bay_04_2,d_nikke_bay_04,Speech,bay,Locale_NikkeEpisode:d_nikke_bay_04_2,True,,5,idle,,50,50,1.0,,bay,,,,,
d_nikke_bay_04_3,d_nikke_bay_04,Speech,bay,Locale_NikkeEpisode:d_nikke_bay_04_3,True,,5,idle,,50,50,1.0,,bay,,,,,
d_nikke_bay_04_4,d_nikke_bay_04,Self,bay,Locale_NikkeEpisode:d_nikke_bay_04_4,False,,5,idle,,50,50,1.0,,,,,,,
d_nikke_bay_04_5,d_nikke_bay_04,Speech,bay,Locale_NikkeEpisode:d_nikke_bay_04_5,True,,5,surprise,,50,500,1.0,,bay,,,,,
d_nikke_bay_04_6,d_nikke_bay_04,Speech,bay,Locale_NikkeEpisode:d_nikke_bay_04_6,True,,5,surprise,,500,500,1.0,,bay,,,,,
d_nikke_bay_04_7,d_nikke_bay_04,Speech,bay,Locale_NikkeEpisode:d_nikke_bay_04_7,True,,5,surprise,,500,500,1.0,,bay,,,,,
d_nikke_bay_04_8,d_nikke_bay_04,Self,bay,Locale_NikkeEpisode:d_nikke_bay_04_8,False,,5,surprise,,500,500,1.0,,,,,,,
d_nikke_bay_04_9,d_nikke_bay_04,Narration,bay,Locale_NikkeEpisode:d_nikke_bay_04_9,False,,1,idle,ToyShop,500,10,1.0,none,,sfx_scn_toyshopbell,,,,
d_nikke_bay_04_10,d_nikke_bay_04,Monologue,bay,Locale_NikkeEpisode:d_nikke_bay_04_10,False,,1,idle,,10,10,1.0,bgm_story_orangepop,,,,,,
d_nikke_bay_04_11,d_nikke_bay_04,Speech,bay,Locale_NikkeEpisode:d_nikke_bay_04_11,True,,1,idle,,10,10,1.0,,bay,,,,,
d_nikke_bay_04_12,d_nikke_bay_04,Self,bay,Locale_NikkeEpisode:d_nikke_bay_04_12,False,,1,idle,,10,10,1.0,,,,,,,
d_nikke_bay_04_13,d_nikke_bay_04,Self,bay,Locale_NikkeEpisode:d_nikke_bay_04_13,False,,1,idle,,10,10,1.0,,,,,,,
d_nikke_bay_04_14,d_nikke_bay_04,Narration,bay,Locale_NikkeEpisode:d_nikke_bay_04_14,False,,1,idle,,black,black,1.0,,,sfx_scn_windowsopen,,,,
d_nikke_bay_04_15,d_nikke_bay_04,Narration,bay,Locale_NikkeEpisode:d_nikke_bay_04_15,False,,1,idle,,black,black,1.0,,,sfx_scn_slidingdoor,,,,
d_nikke_bay_04_16,d_nikke_bay_04,Monologue,bay,Locale_NikkeEpisode:d_nikke_bay_04_16,False,,1,idle,,black,black,1.0,,,,,,,
d_nikke_bay_04_17,d_nikke_bay_04,Speech,bay,Locale_NikkeEpisode:d_nikke_bay_04_17,True,,1,idle,,10,10,1.0,,bay,,,,,
d_nikke_bay_04_18,d_nikke_bay_04,Speech,bay,Locale_NikkeEpisode:d_nikke_bay_04_18,True,,1,idle,,10,10,1.0,,bay,,,,,
d_nikke_bay_04_19,d_nikke_bay_04,Self,bay,Locale_NikkeEpisode:d_nikke_bay_04_19,False,,1,idle,,10,10,1.0,,,,,,,
d_nikke_bay_04_20,d_nikke_bay_04,Self,bay,Locale_NikkeEpisode:d_nikke_bay_04_20,False,,1,idle,,10,10,1.0,,,,,,,
d_nikke_bay_04_21,d_nikke_bay_04,Speech,bay,Locale_NikkeEpisode:d_nikke_bay_04_21,True,,1,surprise,,10,10,1.0,,bay,,,,,
d_nikke_bay_04_22,d_nikke_bay_04,Speech,bay,Locale_NikkeEpisode:d_nikke_bay_04_22,True,,1,surprise,,10,10,1.0,,bay,,,,,
d_nikke_bay_04_23,d_nikke_bay_04,Self,bay,Locale_NikkeEpisode:d_nikke_bay_04_23,False,,1,surprise,,10,10,1.0,,,,,,,
d_nikke_bay_04_24,d_nikke_bay_04,Narration,bay,Locale_NikkeEpisode:d_nikke_bay_04_24,False,,1,surprise,,10,5,1.0,,,sfx_scn_remotesignal,,,,
d_nikke_bay_04_25,d_nikke_bay_04,Speech,bay,Locale_NikkeEpisode:d_nikke_bay_04_25,False,,1,surprise,,5,5,1.0,,dancedoll,,,,,
