id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,play_sound,fade,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id
d_nikke_helm_04_1,d_nikke_helm_04,Speech,helm,helm,Locale_NikkeEpisode:d_nikke_helm_04_1,True,helm,1,idle,MachineRoom,19,1,3.0,bgm_story_orangepop,,,,,,,,,,,,
d_nikke_helm_04_2,d_nikke_helm_04,Speech,helm,helm,Locale_NikkeEpisode:d_nikke_helm_04_2,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,
d_nikke_helm_04_3,d_nikke_helm_04,Self,helm,,Locale_NikkeEpisode:d_nikke_helm_04_3,False,,1,idle,,1,1,1.0,,,,,,,,,,,,,
d_nikke_helm_04_4,d_nikke_helm_04,Speech,helm,helm,Locale_NikkeEpisode:d_nikke_helm_04_4,True,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_helm_04_5,d_nikke_helm_04,Speech,helm,helm,Locale_NikkeEpisode:d_nikke_helm_04_5,True,,1,no,,1,10,1.0,,,,,,,,,,,,,
d_nikke_helm_04_6,d_nikke_helm_04,Self,helm,,Locale_NikkeEpisode:d_nikke_helm_04_6,False,,1,no,,10,10,1.0,,,,,,,,,,,,,
d_nikke_helm_04_7,d_nikke_helm_04,Speech,helm,helm,Locale_NikkeEpisode:d_nikke_helm_04_7,False,,1,idle,,10,10,1.0,,,,,,,,,,,,,
d_nikke_helm_04_8,d_nikke_helm_04,Choice,helm,,Locale_NikkeEpisode:d_nikke_helm_04_8,False,,1,idle,,10,10,1.0,,d_nikke_helm_04_10,,,,,,,,,,,
d_nikke_helm_04_9,d_nikke_helm_04,Choice,helm,,Locale_NikkeEpisode:d_nikke_helm_04_9,False,,1,idle,,10,10,1.0,,d_nikke_helm_04_10,,,,,,,,,,,
d_nikke_helm_04_10,d_nikke_helm_04,Speech,helm,helm,Locale_NikkeEpisode:d_nikke_helm_04_10,True,,1,idle,,10,100,1.0,,,,,,,,,,,,,
d_nikke_helm_04_11,d_nikke_helm_04,Monologue,helm,,Locale_NikkeEpisode:d_nikke_helm_04_11,False,,1,idle,,100,1,0.5,,,,,,,,,,,,,
d_nikke_helm_04_12,d_nikke_helm_04,Speech,helm,helm,Locale_NikkeEpisode:d_nikke_helm_04_12,False,,1,idle,,1,1,1.0,,,,,,,,,,,,,
d_nikke_helm_04_13,d_nikke_helm_04,Monologue,helm,,Locale_NikkeEpisode:d_nikke_helm_04_13,False,,1,idle,,1,1,1.0,none,,,,,,,,,,,,
d_nikke_helm_04_14,d_nikke_helm_04,Narration,helm,,Locale_NikkeEpisode:d_nikke_helm_04_14,False,,1,idle,,1,1,1.0,,,sfx_scn_hitcan,,,,,,,,,,
d_nikke_helm_04_15,d_nikke_helm_04,Speech,helm,helm,Locale_NikkeEpisode:d_nikke_helm_04_15,True,,1,angry,,1,10,0.2,bgm_story_fairytalesend_a,,,,,,,,,,,,
d_nikke_helm_04_16,d_nikke_helm_04,Speech,helm,helm,Locale_NikkeEpisode:d_nikke_helm_04_16,True,,1,angry,,10,10,1.0,,,,,,,,,,,,,
d_nikke_helm_04_17,d_nikke_helm_04,Speech,helm,helm,Locale_NikkeEpisode:d_nikke_helm_04_17,True,,1,angry,,10,10,1.0,,,,,,,,,,,,,
d_nikke_helm_04_18,d_nikke_helm_04,Choice,helm,,Locale_NikkeEpisode:d_nikke_helm_04_18,False,,1,angry,,10,10,1.0,,d_nikke_helm_04_20,,,,,,,,,,,
d_nikke_helm_04_19,d_nikke_helm_04,Choice,helm,,Locale_NikkeEpisode:d_nikke_helm_04_19,False,,1,angry,,10,10,1.0,,d_nikke_helm_04_20,,,,,,,,,,,
d_nikke_helm_04_20,d_nikke_helm_04,Speech,helm,helm,Locale_NikkeEpisode:d_nikke_helm_04_20,True,,1,angry,,10,10,1.0,,,,,,,,,,,,,
d_nikke_helm_04_21,d_nikke_helm_04,Speech,helm,helm,Locale_NikkeEpisode:d_nikke_helm_04_21,True,,1,angry,,10,100,0.2,,,,,,,,,,,,,
d_nikke_helm_04_22,d_nikke_helm_04,Narration,helm,,Locale_NikkeEpisode:d_nikke_helm_04_22,False,,1,angry,,100,1,3.0,none,,sfx_scn_fly,,,,,,,,,,
d_nikke_helm_04_23,d_nikke_helm_04,Speech,helm,helm,Locale_NikkeEpisode:d_nikke_helm_04_23,False,,1,angry,,1,1,1.0,,,,,,,,,,,,,
d_nikke_helm_04_24,d_nikke_helm_04,Choice,helm,,Locale_NikkeEpisode:d_nikke_helm_04_24,False,,1,angry,,1,1,1.0,,d_nikke_helm_04_26,,,,,,,,,,,
d_nikke_helm_04_25,d_nikke_helm_04,Choice,helm,,Locale_NikkeEpisode:d_nikke_helm_04_25,False,,1,angry,,1,1,1.0,,d_nikke_helm_04_26,,,,,,,,,,,
d_nikke_helm_04_26,d_nikke_helm_04,Speech,helm,helm,Locale_NikkeEpisode:d_nikke_helm_04_26,False,,1,angry,,1,1,1.0,,,,,,,,,,,,,
d_nikke_helm_04_27,d_nikke_helm_04,Choice,helm,,Locale_NikkeEpisode:d_nikke_helm_04_27,False,,1,angry,,1,1,1.0,,d_nikke_helm_04_29,,,,,,,,,,,
d_nikke_helm_04_28,d_nikke_helm_04,Choice,helm,,Locale_NikkeEpisode:d_nikke_helm_04_28,False,,1,angry,,1,1,1.0,,d_nikke_helm_04_29,,,,,,,,,,,
d_nikke_helm_04_29,d_nikke_helm_04,Speech,helm,helm,Locale_NikkeEpisode:d_nikke_helm_04_29,True,,1,shy,,1,10,3.0,,,,,,,,,,,,,
d_nikke_helm_04_30,d_nikke_helm_04,Self,helm,,Locale_NikkeEpisode:d_nikke_helm_04_30,False,,1,idle,Restaurant,1,1,1.0,bgm_story_orangepop,,,black,,,,,,,,,
d_nikke_helm_04_31,d_nikke_helm_04,Speech,helm,helm,Locale_NikkeEpisode:d_nikke_helm_04_31,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,
d_nikke_helm_04_32,d_nikke_helm_04,Self,helm,,Locale_NikkeEpisode:d_nikke_helm_04_32,False,,1,idle,,1,1,1.0,,,,,,,,,,,,,
d_nikke_helm_04_33,d_nikke_helm_04,Speech,helm,helm,Locale_NikkeEpisode:d_nikke_helm_04_33,True,,1,no,,1,1,1.0,,,,,,,,,,,,,
d_nikke_helm_04_34,d_nikke_helm_04,Speech,helm,helm,Locale_NikkeEpisode:d_nikke_helm_04_34,True,,1,idle,,1,1,1.0,,,,black,,,,,,,,,
d_nikke_helm_04_35,d_nikke_helm_04,Self,helm,,Locale_NikkeEpisode:d_nikke_helm_04_35,False,,1,idle,,1,1,1.0,,,,,,,,,,,,,
d_nikke_helm_04_36,d_nikke_helm_04,Speech,helm,helm,Locale_NikkeEpisode:d_nikke_helm_04_36,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,
d_nikke_helm_04_37,d_nikke_helm_04,Self,helm,,Locale_NikkeEpisode:d_nikke_helm_04_37,False,,1,idle,,1,1,1.0,,,,,,,,,,,,,
d_nikke_helm_04_38,d_nikke_helm_04,Speech,helm,helm,Locale_NikkeEpisode:d_nikke_helm_04_38,True,,1,idle,,1,1,1.0,,,,,,,,,,,,,
d_nikke_helm_04_39,d_nikke_helm_04,Speech,helm,helm,Locale_NikkeEpisode:d_nikke_helm_04_39,True,,1,idle,,1,10,1.0,,,,,,,,,,,,,
