id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,speaker,characters/4/hide_char_id,jump_target
d_nikke_crown_01_1,d_nikke_crown_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_crown_01_1,False,CommanderRoom,1,1,1.0,none,,,,,,,,,,,,,,,,,,,
d_nikke_crown_01_2,d_nikke_crown_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_crown_01_2,False,,1,1,1.0,bgm_story_breakaway,,,,,,,,,,,,,,,,,,,
d_nikke_crown_01_3,d_nikke_crown_01,Narration,Narration,Locale_NikkeEpisode:d_nikke_crown_01_3,False,,1,10,1.0,,sfx_scn_metalpartsassemble,,,,,,,,,,,,,,,,,,
d_nikke_crown_01_4,d_nikke_crown_01,Self,Self,Locale_NikkeEpisode:d_nikke_crown_01_4,False,,10,10,1.0,,,,,,,,,,,,,,,,,,,,
d_nikke_crown_01_5,d_nikke_crown_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_crown_01_5,False,,10,10,1.0,,,,,,,,,,,,,,,,,,,,
d_nikke_crown_01_6,d_nikke_crown_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_crown_01_6,False,,10,10,1.0,,,,,,,,,,,,,,,,,,,,
d_nikke_crown_01_7,d_nikke_crown_01,Self,Self,Locale_NikkeEpisode:d_nikke_crown_01_7,False,,10,10,1.0,,,,,,,,,,,,,,,,,,,,
d_nikke_crown_01_8,d_nikke_crown_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_crown_01_8,False,,10,1,1.0,,,,,,,,,,,,,,,,,,,,
d_nikke_crown_01_9,d_nikke_crown_01,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_crown_01_9,False,,1,1,1.0,,,,,,,,,,,,,,,,,,,,
d_nikke_crown_01_10,d_nikke_crown_01,Narration,Narration,Locale_NikkeEpisode:d_nikke_crown_01_10,False,Desert_02,black,black,1.0,none,sfx_scn_metaldoorclose,anis,7,void,neon,5,idle,chime,3,idle,crown,1,idle,redhood,9,idle,,,
