id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,jump_target
d_nikke_arcana_01_1,d_nikke_arcana_01,Monologue,arcana,Locale_NikkeEpisode:d_nikke_arcana_01_1,False,NikkeRoom,L_1400,L_1400,1.0,none,,,,,,
d_nikke_arcana_01_2,d_nikke_arcana_01,Monologue,arcana,Locale_NikkeEpisode:d_nikke_arcana_01_2,False,,L_1400,L_1400,1.0,,,,,,,
d_nikke_arcana_01_3,d_nikke_arcana_01,Monologue,arcana,Locale_NikkeEpisode:d_nikke_arcana_01_3,False,,L_1400,L_1400,1.0,,,,,,,
d_nikke_arcana_01_4,d_nikke_arcana_01,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_01_4,True,,L_1400,L_1400,1.0,,arcana,arcana,1,special,,
d_nikke_arcana_01_5,d_nikke_arcana_01,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_01_5,False,,L_1400,L_100,1.75,bgm_story_tepidappleade,,,1,special,,
d_nikke_arcana_01_6,d_nikke_arcana_01,Monologue,arcana,Locale_NikkeEpisode:d_nikke_arcana_01_6,False,,L_100,L_100,1.0,,,,1,special,,
d_nikke_arcana_01_7,d_nikke_arcana_01,Monologue,arcana,Locale_NikkeEpisode:d_nikke_arcana_01_7,False,,L_100,L_100,1.0,,,,1,special,,
d_nikke_arcana_01_8,d_nikke_arcana_01,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_01_8,False,,L_100,L_100,1.0,,,,1,special,,
d_nikke_arcana_01_9,d_nikke_arcana_01,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_01_9,True,,L_100,L_100,1.0,,arcana,,1,special,,
d_nikke_arcana_01_10,d_nikke_arcana_01,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_01_10,False,,L_100,L_100,1.0,,,,1,special,,
d_nikke_arcana_01_11,d_nikke_arcana_01,Monologue,arcana,Locale_NikkeEpisode:d_nikke_arcana_01_11,False,,L_100,L_100,1.0,,,,1,special,,
d_nikke_arcana_01_12,d_nikke_arcana_01,Narration,arcana,Locale_NikkeEpisode:d_nikke_arcana_01_12,False,,black,black,1.0,,,,1,special,sfx_scn_tablehit,
d_nikke_arcana_01_13,d_nikke_arcana_01,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_01_13,True,,L_100,L_10,0.7,,arcana,,1,surprise,,
d_nikke_arcana_01_14,d_nikke_arcana_01,Monologue,arcana,Locale_NikkeEpisode:d_nikke_arcana_01_14,False,,L_10,L_10,1.0,,,,1,surprise,,
d_nikke_arcana_01_15,d_nikke_arcana_01,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_01_15,False,,L_10,L_10,1.0,,,,1,surprise,,
d_nikke_arcana_01_16,d_nikke_arcana_01,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_01_16,False,,L_10,L_10,1.0,,arcana,,1,surprise,,
d_nikke_arcana_01_17,d_nikke_arcana_01,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_01_17,True,,L_10,L_100,1.3,,arcana,,1,delight,,
d_nikke_arcana_01_18,d_nikke_arcana_01,Narration,arcana,Locale_NikkeEpisode:d_nikke_arcana_01_18,False,,black,black,1.0,,,,1,delight,sfx_scn_write,
d_nikke_arcana_01_19,d_nikke_arcana_01,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_01_19,False,,L_100,L_100,1.0,,,,1,delight,,
d_nikke_arcana_01_20,d_nikke_arcana_01,Monologue,arcana,Locale_NikkeEpisode:d_nikke_arcana_01_20,False,,L_100,L_100,1.0,,,,1,delight,,
d_nikke_arcana_01_21,d_nikke_arcana_01,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_01_21,True,,L_100,L_10,1.3,,arcana,,1,delight,,
d_nikke_arcana_01_22,d_nikke_arcana_01,Monologue,arcana,Locale_NikkeEpisode:d_nikke_arcana_01_22,False,,L_10,L_10,1.0,,,,1,delight,,
d_nikke_arcana_01_23,d_nikke_arcana_01,Self,arcana,Locale_NikkeEpisode:d_nikke_arcana_01_23,False,,L_10,L_10,1.0,,,,1,delight,,
d_nikke_arcana_01_24,d_nikke_arcana_01,Speech,arcana,Locale_NikkeEpisode:d_nikke_arcana_01_24,True,,L_10,L_10,1.3,,arcana,,1,sad,,
d_nikke_arcana_01_25,d_nikke_arcana_01,Monologue,arcana,Locale_NikkeEpisode:d_nikke_arcana_01_25,False,,black,black,1.0,,,,1,angry,,
