id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_camera_shake,fade
d_nikke_milk_03_1,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_1,False,milk,1,shy,NikkeCorridor,1,1,1.0,bgm_story_fairytalesend_if,,
d_nikke_milk_03_2,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_2,False,,1,shy,,1,1,1.0,,,
d_nikke_milk_03_3,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_3,False,,1,shy,,1,1,1.0,,,
d_nikke_milk_03_4,d_nikke_milk_03,Self,milk,Self,Locale_NikkeEpisode:d_nikke_milk_03_4,False,,1,shy,,1,1,1.0,,,
d_nikke_milk_03_5,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_5,False,,1,shy,,1,1,1.0,,,
d_nikke_milk_03_6,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_6,True,,1,surprise,,1,S_10,0.5,,,
d_nikke_milk_03_7,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_7,True,,1,surprise,,S_10,S_10,1.0,,,
d_nikke_milk_03_8,d_nikke_milk_03,Self,milk,Self,Locale_NikkeEpisode:d_nikke_milk_03_8,False,,1,surprise,,S_10,S_10,1.0,,,
d_nikke_milk_03_9,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_9,True,,1,surprise,,S_10,S_10,1.0,,,
d_nikke_milk_03_10,d_nikke_milk_03,Self,milk,Self,Locale_NikkeEpisode:d_nikke_milk_03_10,False,,1,surprise,,S_10,S_10,1.0,,,
d_nikke_milk_03_11,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_11,True,,1,shy,,S_10,1,1.0,,,
d_nikke_milk_03_12,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_12,True,,1,shy,,1,1,1.0,,,
d_nikke_milk_03_13,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_13,False,,1,shy,,1,1,1.0,,,
d_nikke_milk_03_14,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_14,True,,1,idle,,1,S_100,1.0,,,
d_nikke_milk_03_15,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_15,True,,1,idle,,S_100,S_100,1.0,,,
d_nikke_milk_03_16,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_16,True,,1,idle,,S_100,S_100,1.0,,,
d_nikke_milk_03_17,d_nikke_milk_03,Self,milk,Self,Locale_NikkeEpisode:d_nikke_milk_03_17,False,,1,idle,,S_100,S_100,1.0,,,
d_nikke_milk_03_18,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_18,True,,1,idle,,S_100,S_100,1.0,,,
d_nikke_milk_03_19,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_19,True,,1,idle,,S_100,S_100,1.0,,,
d_nikke_milk_03_20,d_nikke_milk_03,Self,milk,Self,Locale_NikkeEpisode:d_nikke_milk_03_20,False,,1,idle,,S_100,S_100,1.0,,,
d_nikke_milk_03_21,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_21,True,,1,idle,,S_100,S_100,1.0,,,
d_nikke_milk_03_22,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_22,True,,1,idle,,S_100,S_100,1.0,,,
d_nikke_milk_03_23,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_23,True,,1,idle,,S_100,S_100,1.0,,,
d_nikke_milk_03_24,d_nikke_milk_03,Self,milk,Self,Locale_NikkeEpisode:d_nikke_milk_03_24,False,,1,idle,,S_100,S_100,1.0,,,
d_nikke_milk_03_25,d_nikke_milk_03,Self,milk,Self,Locale_NikkeEpisode:d_nikke_milk_03_25,False,,1,idle,,S_100,S_100,1.0,,,
d_nikke_milk_03_26,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_26,True,,1,idle,,S_100,S_10,1.0,,,
d_nikke_milk_03_27,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_27,True,,1,idle,,S_10,S_10,1.0,,,
d_nikke_milk_03_28,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_28,True,,1,idle,,S_10,S_10,1.0,,,
d_nikke_milk_03_29,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_29,True,,1,idle,,S_10,S_10,1.0,,,
d_nikke_milk_03_30,d_nikke_milk_03,Self,milk,Self,Locale_NikkeEpisode:d_nikke_milk_03_30,False,,1,idle,,S_10,S_10,1.0,,,
d_nikke_milk_03_31,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_31,True,,1,idle,,S_10,S_10,1.0,,,
d_nikke_milk_03_32,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_32,True,,1,idle,,S_10,S_10,1.0,,,
d_nikke_milk_03_33,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_33,True,,1,idle,,S_10,S_100,0.5,,,
d_nikke_milk_03_34,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_34,True,,1,idle,,S_100,S_100,1.0,,,
d_nikke_milk_03_35,d_nikke_milk_03,Self,milk,Self,Locale_NikkeEpisode:d_nikke_milk_03_35,False,,1,idle,,S_100,S_100,1.0,,,
d_nikke_milk_03_36,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_36,True,,1,no,,S_100,S_100,0.5,,,
d_nikke_milk_03_37,d_nikke_milk_03,Self,milk,Self,Locale_NikkeEpisode:d_nikke_milk_03_37,False,,1,no,,S_100,S_100,1.0,,,
d_nikke_milk_03_38,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_38,True,,1,no,,S_100,S_100,1.0,,,
d_nikke_milk_03_39,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_39,True,,1,no,,S_100,S_10,0.5,,,
d_nikke_milk_03_40,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_40,True,,1,no,,S_10,S_10,1.0,,,
d_nikke_milk_03_41,d_nikke_milk_03,Speech,milk,milk,Locale_NikkeEpisode:d_nikke_milk_03_41,True,,1,no,,S_10,S_10,1.0,,,
d_nikke_milk_03_42,d_nikke_milk_03,Self,milk,Self,Locale_NikkeEpisode:d_nikke_milk_03_42,False,,1,no,,S_10,S_10,1.0,,,
