id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/4/show_char_id,characters/4/set_char_position,characters/4/set_char_anim,characters/4/hide_char_id,characters/5/show_char_id,characters/5/set_char_position,characters/5/set_char_anim,characters/5/hide_char_id
d_nikke_littlemermaid_04_1,d_nikke_littlemermaid_04,Narration,Locale_NikkeEpisode:d_nikke_littlemermaid_04_1,False,Desert_02,black,black,1.0,sfx_scn_autodooropen,none,,,hansel,5,idle,gretel,3,idle,redshoes,1,surprise,,cinderella,13,surprise_blue,littlemermaid,15,idle,,,,,
d_nikke_littlemermaid_04_2,d_nikke_littlemermaid_04,Speech,Locale_NikkeEpisode:d_nikke_littlemermaid_04_2,True,,12,12,1.0,,,cinderella,cinderella,,5,idle,,3,idle,,1,surprise,,,13,surprise_blue,,15,idle,,,,,
d_nikke_littlemermaid_04_3,d_nikke_littlemermaid_04,Speech,Locale_NikkeEpisode:d_nikke_littlemermaid_04_3,True,,12,12,1.0,,,abe_op,abe_op,,5,idle,,3,idle,,1,surprise,,,13,surprise_blue,,15,idle,,abe_op,OP_leftup,worry,
d_nikke_littlemermaid_04_4,d_nikke_littlemermaid_04,Speech,Locale_NikkeEpisode:d_nikke_littlemermaid_04_4,True,,12,12,1.0,,,abe_op,abe_op,,5,idle,,3,idle,,1,surprise,,,13,surprise_blue,,15,idle,,,OP_leftup,worry,
d_nikke_littlemermaid_04_5,d_nikke_littlemermaid_04,Speech,Locale_NikkeEpisode:d_nikke_littlemermaid_04_5,True,,12,12,1.0,,,abe_op,abe_op,,5,idle,,3,idle,,1,surprise,,,13,surprise_blue,,15,idle,,,OP_leftup,worry,
d_nikke_littlemermaid_04_6,d_nikke_littlemermaid_04,Speech,Locale_NikkeEpisode:d_nikke_littlemermaid_04_6,True,,12,12,1.0,,,redshoes,redshoes,,5,idle,,3,idle,,1,surprise,,,13,surprise_blue,,15,idle,,,OP_leftup,worry,
d_nikke_littlemermaid_04_7,d_nikke_littlemermaid_04,Speech,Locale_NikkeEpisode:d_nikke_littlemermaid_04_7,True,,12,12,1.0,,,redshoes,redshoes,,5,idle,,3,idle,,1,surprise,,,13,surprise_blue,,15,idle,,,OP_leftup,worry,
d_nikke_littlemermaid_04_8,d_nikke_littlemermaid_04,Speech,Locale_NikkeEpisode:d_nikke_littlemermaid_04_8,True,,12,14,1.3,,,littlemermaid,littlemermaid,,5,idle,,3,idle,,1,surprise,,,13,surprise_blue,,15,idle,,,OP_leftup,worry,
d_nikke_littlemermaid_04_9,d_nikke_littlemermaid_04,Speech,Locale_NikkeEpisode:d_nikke_littlemermaid_04_9,True,,4,4,1.0,,,hansel,hansel,,5,idle,,3,idle,,1,surprise,,,13,surprise_blue,,15,idle,,,OP_leftup,worry,
d_nikke_littlemermaid_04_10,d_nikke_littlemermaid_04,Speech,Locale_NikkeEpisode:d_nikke_littlemermaid_04_10,True,,4,4,1.0,,,abe_op,abe_op,,5,idle,,3,idle,,1,surprise,,,13,surprise_blue,,15,idle,,,OP_leftup,idle,
