id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,fade,play_sound,jump_target,set_camera_shake,characters/0/hide_char_id
d_nikke_nero_03_1,d_nikke_nero_03,Monologue,Locale_NikkeEpisode:d_nikke_nero_03_1,False,CommanderRoom,1,1,1.0,bgm_story_breakaway,,,,,,,,,,
d_nikke_nero_03_2,d_nikke_nero_03,Monologue,Locale_NikkeEpisode:d_nikke_nero_03_2,False,,1,1,1.0,,,,,,,,,,,
d_nikke_nero_03_3,d_nikke_nero_03,Self,Locale_NikkeEpisode:d_nikke_nero_03_3,False,,1,10,1.0,,,,,,,,,,,
d_nikke_nero_03_4,d_nikke_nero_03,Self,Locale_NikkeEpisode:d_nikke_nero_03_4,False,,10,10,1.0,,,,,,,,,,,
d_nikke_nero_03_5,d_nikke_nero_03,Monologue,Locale_NikkeEpisode:d_nikke_nero_03_5,False,,10,10,1.0,,,,,,,,,,,
d_nikke_nero_03_6,d_nikke_nero_03,Monologue,Locale_NikkeEpisode:d_nikke_nero_03_6,False,,10,130,1.0,,,,,,,,,,,
d_nikke_nero_03_7,d_nikke_nero_03,Monologue,Locale_NikkeEpisode:d_nikke_nero_03_7,False,,130,130,1.0,none,,,,,,,,,,
d_nikke_nero_03_8,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_8,True,OutpostOut,L_10,L_10,1.0,,nero,nero,nero,1,sad,black,,,,
d_nikke_nero_03_9,d_nikke_nero_03,Monologue,Locale_NikkeEpisode:d_nikke_nero_03_9,False,,L_10,L_10,1.0,bgm_story_leisuretime,,,,1,sad,,,,,
d_nikke_nero_03_10,d_nikke_nero_03,Self,Locale_NikkeEpisode:d_nikke_nero_03_10,False,,L_10,L_10,1.0,,,,,1,sad,,,,,
d_nikke_nero_03_11,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_11,True,,L_10,L_10,1.0,,nero,nero,,1,sad,,,,,
d_nikke_nero_03_12,d_nikke_nero_03,Monologue,Locale_NikkeEpisode:d_nikke_nero_03_12,False,,L_10,L_10,1.0,,,,,1,sad,,,,,
d_nikke_nero_03_13,d_nikke_nero_03,Self,Locale_NikkeEpisode:d_nikke_nero_03_13,False,,L_10,L_10,1.0,,,,,1,sad,,,,,
d_nikke_nero_03_14,d_nikke_nero_03,Self,Locale_NikkeEpisode:d_nikke_nero_03_14,False,,L_10,L_10,1.0,,,,,1,sad,,,,,
d_nikke_nero_03_15,d_nikke_nero_03,Self,Locale_NikkeEpisode:d_nikke_nero_03_15,False,,L_10,L_10,1.0,,,,,1,sad,,,,,
d_nikke_nero_03_16,d_nikke_nero_03,Speech,Locale_NikkeEpisode:d_nikke_nero_03_16,True,,L_10,1,1.0,,nero,nero,,1,sad,,,,,
d_nikke_nero_03_17,d_nikke_nero_03,Self,Locale_NikkeEpisode:d_nikke_nero_03_17,False,,1,1,1.0,,,,,1,sad,,,,,
d_nikke_nero_03_18,d_nikke_nero_03,Self,Locale_NikkeEpisode:d_nikke_nero_03_18,False,,1,1,1.0,,,,,1,sad,,,,,
d_nikke_nero_03_19,d_nikke_nero_03,Narration,Locale_NikkeEpisode:d_nikke_nero_03_19,False,,1,1,1.0,,,,,1,sad,,,,,
