id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,jump_target,set_filter_01,set_filter_02,characters/0/hide_char_id,set_object,set_object_position
treasurestory_diesel_06_1,treasurestory_diesel_06,Self,Locale_NikkeEpisode:treasurestory_diesel_06_1,False,Station,3,1,2.0,bgm_story_inwonderland,,,,,,,,,,,,
treasurestory_diesel_06_2,treasurestory_diesel_06,Speech,Locale_NikkeEpisode:treasurestory_diesel_06_2,True,,1,10,1.0,,diesel,diesel,diesel,1,delight,,,,,,,
treasurestory_diesel_06_3,treasurestory_diesel_06,Speech,Locale_NikkeEpisode:treasurestory_diesel_06_3,True,,10,10,1.0,,diesel,diesel,,1,idle,,,,,,,
treasurestory_diesel_06_4,treasurestory_diesel_06,Speech,Locale_NikkeEpisode:treasurestory_diesel_06_4,True,,10,10,1.0,,diesel,diesel,,1,idle,,,,,,,
treasurestory_diesel_06_5,treasurestory_diesel_06,Speech,Locale_NikkeEpisode:treasurestory_diesel_06_5,True,,10,10,1.0,,diesel,diesel,,1,idle,,,,,,,
treasurestory_diesel_06_6,treasurestory_diesel_06,Self,Locale_NikkeEpisode:treasurestory_diesel_06_6,False,,10,10,1.0,,diesel,,,1,idle,,,,,,,
treasurestory_diesel_06_7,treasurestory_diesel_06,Speech,Locale_NikkeEpisode:treasurestory_diesel_06_7,True,,10,10,1.0,,diesel,diesel,,1,delight,,,,,,,
treasurestory_diesel_06_8,treasurestory_diesel_06,Speech,Locale_NikkeEpisode:treasurestory_diesel_06_8,True,,10,10,1.0,,diesel,diesel,,1,delight,,,,,,,
treasurestory_diesel_06_9,treasurestory_diesel_06,Monologue,Locale_NikkeEpisode:treasurestory_diesel_06_9,False,,10,10,1.0,,diesel,,,1,idle,,,,,,,
treasurestory_diesel_06_10,treasurestory_diesel_06,Narration,Locale_NikkeEpisode:treasurestory_diesel_06_10,False,,10,10,1.0,,diesel,,,1,idle,sfx_scn_boxopen,,,,,,
treasurestory_diesel_06_11,treasurestory_diesel_06,Speech,Locale_NikkeEpisode:treasurestory_diesel_06_11,True,,10,10,1.0,,diesel,diesel,,1,idle,,,,,,,
treasurestory_diesel_06_12,treasurestory_diesel_06,Monologue,Locale_NikkeEpisode:treasurestory_diesel_06_12,False,,10,100,1.0,,diesel,,,1,idle,,,,,,,
treasurestory_diesel_06_13,treasurestory_diesel_06,Self,Locale_NikkeEpisode:treasurestory_diesel_06_13,False,,100,100,1.0,,diesel,,,1,idle,,,,,,,
treasurestory_diesel_06_14,treasurestory_diesel_06,Speech,Locale_NikkeEpisode:treasurestory_diesel_06_14,True,,100,100,1.0,,diesel,diesel,,1,delight,,,,,,,
treasurestory_diesel_06_15,treasurestory_diesel_06,Speech,Locale_NikkeEpisode:treasurestory_diesel_06_15,True,,100,100,1.0,,diesel,diesel,,1,idle,,,,,,,
treasurestory_diesel_06_16,treasurestory_diesel_06,Speech,Locale_NikkeEpisode:treasurestory_diesel_06_16,True,,100,100,1.0,,diesel,diesel,,1,idle,,,,,,,
treasurestory_diesel_06_17,treasurestory_diesel_06,Speech,Locale_NikkeEpisode:treasurestory_diesel_06_17,True,,100,100,1.0,,diesel,diesel,,1,idle,,,,,,,
treasurestory_diesel_06_18,treasurestory_diesel_06,Speech,Locale_NikkeEpisode:treasurestory_diesel_06_18,True,,100,100,1.0,,diesel,diesel,,1,idle,,,,,,,
treasurestory_diesel_06_19,treasurestory_diesel_06,Self,Locale_NikkeEpisode:treasurestory_diesel_06_19,False,,100,100,1.0,,diesel,,,1,idle,,,,,,,
treasurestory_diesel_06_20,treasurestory_diesel_06,Speech,Locale_NikkeEpisode:treasurestory_diesel_06_20,True,,100,100,1.0,,diesel,diesel,,1,idle,,,,,,,
treasurestory_diesel_06_21,treasurestory_diesel_06,Monologue,Locale_NikkeEpisode:treasurestory_diesel_06_21,False,,100,10,1.0,,diesel,,,1,idle,,,,,,,
treasurestory_diesel_06_22,treasurestory_diesel_06,Narration,Locale_NikkeEpisode:treasurestory_diesel_06_22,False,,black,black,1.0,,diesel,,,1,idle,,,,,,,
treasurestory_diesel_06_23,treasurestory_diesel_06,Self,Locale_NikkeEpisode:treasurestory_diesel_06_23,False,,10,10,1.0,,diesel,,,1,idle,,,,,,,
treasurestory_diesel_06_24,treasurestory_diesel_06,Speech,Locale_NikkeEpisode:treasurestory_diesel_06_24,True,,10,10,1.0,,diesel,diesel,,1,idle,,,,,,,
treasurestory_diesel_06_25,treasurestory_diesel_06,Speech,Locale_NikkeEpisode:treasurestory_diesel_06_25,True,,10,10,1.0,,diesel,diesel,,1,idle,,,,,,,
treasurestory_diesel_06_26,treasurestory_diesel_06,Speech,Locale_NikkeEpisode:treasurestory_diesel_06_26,True,,10,10,1.0,,diesel,diesel,,1,idle,,,,,,,
treasurestory_diesel_06_27,treasurestory_diesel_06,Speech,Locale_NikkeEpisode:treasurestory_diesel_06_27,True,,10,10,1.0,,diesel,diesel,,1,idle,,,,,,,
treasurestory_diesel_06_28,treasurestory_diesel_06,Choice,Locale_NikkeEpisode:treasurestory_diesel_06_28,False,,10,10,1.0,,diesel,,,1,idle,,treasurestory_diesel_06_30,,,,,
treasurestory_diesel_06_29,treasurestory_diesel_06,Choice,Locale_NikkeEpisode:treasurestory_diesel_06_29,False,,10,10,1.0,,diesel,,,1,idle,,treasurestory_diesel_06_31,,,,,
treasurestory_diesel_06_30,treasurestory_diesel_06,Speech,Locale_NikkeEpisode:treasurestory_diesel_06_30,True,,10,10,1.0,,diesel,diesel,,1,delight,,treasurestory_diesel_06_33,,,,,
treasurestory_diesel_06_31,treasurestory_diesel_06,Speech,Locale_NikkeEpisode:treasurestory_diesel_06_31,True,,10,10,1.0,,diesel,diesel,,1,delight,,,,,,,
treasurestory_diesel_06_32,treasurestory_diesel_06,Speech,Locale_NikkeEpisode:treasurestory_diesel_06_32,True,,10,10,1.0,,diesel,diesel,,1,idle,,treasurestory_diesel_06_33,,,,,
treasurestory_diesel_06_33,treasurestory_diesel_06,Speech,Locale_NikkeEpisode:treasurestory_diesel_06_33,True,,10,10,1.0,,diesel,diesel,,1,idle,,,,,,,
treasurestory_diesel_06_34,treasurestory_diesel_06,Self,Locale_NikkeEpisode:treasurestory_diesel_06_34,False,,10,10,1.0,,diesel,,,1,idle,,,,,,,
treasurestory_diesel_06_35,treasurestory_diesel_06,Monologue,Locale_NikkeEpisode:treasurestory_diesel_06_35,False,,10,10,1.0,,diesel,,,1,idle,,,,,,,
treasurestory_diesel_06_36,treasurestory_diesel_06,Speech,Locale_NikkeEpisode:treasurestory_diesel_06_36,True,,10,10,1.0,,diesel,diesel,,1,idle,,,,,,,
treasurestory_diesel_06_37,treasurestory_diesel_06,Speech,Locale_NikkeEpisode:treasurestory_diesel_06_37,True,,10,10,1.0,,diesel,diesel,,1,idle,,,,,,,
treasurestory_diesel_06_38,treasurestory_diesel_06,Monologue,Locale_NikkeEpisode:treasurestory_diesel_06_38,False,,black,black,1.0,,diesel,,,1,idle,,,,,,,
treasurestory_diesel_06_39,treasurestory_diesel_06,Speech,Locale_NikkeEpisode:treasurestory_diesel_06_39,True,,10,10,1.0,,diesel,diesel,,1,delight,,,,,,,
