id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,set_filter_01,set_filter_02
d_nikke_dorothy_05_1,d_nikke_dorothy_05,Monologue,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_05_1,False,dorothy,1,think,EdenLobby,10,1,2.0,bgm_story_promise,,,
d_nikke_dorothy_05_2,d_nikke_dorothy_05,Monologue,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_05_2,False,,1,think,,1,1,1.0,,,,
d_nikke_dorothy_05_3,d_nikke_dorothy_05,Monologue,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_05_3,False,,1,think,,1,1,1.0,,,,
d_nikke_dorothy_05_4,d_nikke_dorothy_05,Speech,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_05_4,True,,1,think,,1,1,1.0,,dorothy,,
d_nikke_dorothy_05_5,d_nikke_dorothy_05,Monologue,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_05_5,False,,1,think,,1,1,1.0,,,,
d_nikke_dorothy_05_6,d_nikke_dorothy_05,Monologue,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_05_6,False,,1,think,,1,1,1.0,,,,
d_nikke_dorothy_05_7,d_nikke_dorothy_05,Monologue,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_05_7,False,,1,think,,1,1,1.0,,,,
d_nikke_dorothy_05_8,d_nikke_dorothy_05,Monologue,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_05_8,False,,1,think,,black,black,1.0,,,,
d_nikke_dorothy_05_9,d_nikke_dorothy_05,Monologue,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_05_9,False,,1,think,,1,100,2.0,,,,
d_nikke_dorothy_05_10,d_nikke_dorothy_05,Speech,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_05_10,True,,1,think,,100,100,1.0,,dorothy,,
d_nikke_dorothy_05_11,d_nikke_dorothy_05,Monologue,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_05_11,False,,1,think,Desert_05,black,black,1.0,,,Vignetting,Grey
d_nikke_dorothy_05_12,d_nikke_dorothy_05,Monologue,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_05_12,False,,1,think,,100,100,1.0,,,Vignetting,Grey
d_nikke_dorothy_05_13,d_nikke_dorothy_05,Monologue,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_05_13,False,,1,think,,100,100,1.0,,,Vignetting,Grey
d_nikke_dorothy_05_14,d_nikke_dorothy_05,Monologue,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_05_14,False,,1,think,,100,10,2.0,,,Vignetting,Grey
d_nikke_dorothy_05_15,d_nikke_dorothy_05,Monologue,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_05_15,False,,1,think,,10,10,1.0,,,Vignetting,Grey
d_nikke_dorothy_05_16,d_nikke_dorothy_05,Monologue,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_05_16,False,,1,think,,10,10,1.0,,,Vignetting,Grey
d_nikke_dorothy_05_17,d_nikke_dorothy_05,Monologue,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_05_17,False,,1,think,,10,1,2.0,,,Vignetting,Grey
d_nikke_dorothy_05_18,d_nikke_dorothy_05,Monologue,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_05_18,False,,1,think,EdenLobby,black,black,1.0,,,Vignetting,Grey
d_nikke_dorothy_05_19,d_nikke_dorothy_05,Narration,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_05_19,False,,1,think,,100,10,1.0,,,,
d_nikke_dorothy_05_20,d_nikke_dorothy_05,Self,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_05_20,False,,1,think,,10,10,1.0,,,,
d_nikke_dorothy_05_21,d_nikke_dorothy_05,Speech,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_05_21,True,,1,think,,10,10,1.0,,dorothy,,
d_nikke_dorothy_05_22,d_nikke_dorothy_05,Self,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_05_22,False,,1,think,,10,10,1.0,,,,
d_nikke_dorothy_05_23,d_nikke_dorothy_05,Self,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_05_23,False,,1,think,,10,10,1.0,,,,
d_nikke_dorothy_05_24,d_nikke_dorothy_05,Speech,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_05_24,True,,1,think,,10,10,1.0,,dorothy,,
d_nikke_dorothy_05_25,d_nikke_dorothy_05,Self,dorothy,Locale_NikkeEpisode:d_nikke_dorothy_05_25,False,,1,think,,10,10,1.0,,,,
