id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,highlight,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_nikke_flora_04_1,d_nikke_flora_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_flora_04_1,False,SecretGarden,17,17,1.0,sfx_scn_autodooropen,none,,flora,3,delight
d_nikke_flora_04_2,d_nikke_flora_04,Self,Self,Locale_NikkeEpisode:d_nikke_flora_04_2,False,,17,17,1.0,,bgm_story_orangepop,,,3,delight
d_nikke_flora_04_3,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_3,True,,17,3,1.5,,,flora,,3,delight
d_nikke_flora_04_4,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_4,True,,3,3,1.0,,,flora,,3,delight
d_nikke_flora_04_5,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_5,True,,3,3,1.0,,,flora,,3,delight
d_nikke_flora_04_6,d_nikke_flora_04,Self,Self,Locale_NikkeEpisode:d_nikke_flora_04_6,False,,3,3,1.0,,,,,3,delight
d_nikke_flora_04_7,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_7,True,,3,3,1.0,,,flora,,3,shy
d_nikke_flora_04_8,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_8,True,,3,3,1.0,,,flora,,3,idle
d_nikke_flora_04_9,d_nikke_flora_04,Self,Self,Locale_NikkeEpisode:d_nikke_flora_04_9,False,,3,3,1.0,,,,,3,idle
d_nikke_flora_04_10,d_nikke_flora_04,Self,Self,Locale_NikkeEpisode:d_nikke_flora_04_10,False,,3,3,1.0,,,,,3,idle
d_nikke_flora_04_11,d_nikke_flora_04,Self,Self,Locale_NikkeEpisode:d_nikke_flora_04_11,False,,3,3,1.0,,,,,3,idle
d_nikke_flora_04_12,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_12,True,,3,3,1.0,,,flora,,3,idle
d_nikke_flora_04_13,d_nikke_flora_04,Self,Self,Locale_NikkeEpisode:d_nikke_flora_04_13,False,,3,3,1.0,,,,,3,idle
d_nikke_flora_04_14,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_14,True,,3,30,1.0,,,flora,,3,surprise
d_nikke_flora_04_15,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_15,True,,30,30,1.0,,,flora,,3,surprise
d_nikke_flora_04_16,d_nikke_flora_04,Self,Self,Locale_NikkeEpisode:d_nikke_flora_04_16,False,,30,30,1.0,,,,,3,surprise
d_nikke_flora_04_17,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_17,False,,30,30,1.0,,,flora,,3,surprise
d_nikke_flora_04_18,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_18,True,,30,30,1.0,,,flora,,3,delight
d_nikke_flora_04_19,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_19,True,,30,30,1.0,,none,flora,,3,idle
d_nikke_flora_04_20,d_nikke_flora_04,Speech,flora,Locale_NikkeEpisode:d_nikke_flora_04_20,True,,30,30,1.0,,,flora,,3,sad
d_nikke_flora_04_21,d_nikke_flora_04,Self,Self,Locale_NikkeEpisode:d_nikke_flora_04_21,False,,30,30,1.0,,bgm_frostpillar,,,3,sad
