id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,highlight,characters/1/hide_char_id,jump_target
d_nikke_aria_04_1,d_nikke_aria_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_aria_04_1,False,aria,1,idle,barmaster,13,idle,Backstreet_n,black,black,1.0,none,,,,
d_nikke_aria_04_2,d_nikke_aria_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_aria_04_2,False,,1,idle,,13,idle,,black,black,1.0,,sfx_scn_chimebell,,,
d_nikke_aria_04_3,d_nikke_aria_04,Speech,barmaster,Locale_NikkeEpisode:d_nikke_aria_04_3,True,,1,idle,,13,idle,Bar,black,black,1.0,bgm_story_fairytalesend_if,,barmaster,,
d_nikke_aria_04_4,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_4,True,,1,idle,,13,idle,,10,10,1.0,,,aria,,
d_nikke_aria_04_5,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_5,True,,1,idle,,13,idle,,10,10,1.0,,,aria,,
d_nikke_aria_04_6,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_6,True,,1,idle,,13,idle,,10,10,1.0,,,aria,,
d_nikke_aria_04_7,d_nikke_aria_04,Speech,barmaster,Locale_NikkeEpisode:d_nikke_aria_04_7,False,,1,idle,,13,idle,,10,113,1.0,,,barmaster,,
d_nikke_aria_04_8,d_nikke_aria_04,Speech,barmaster,Locale_NikkeEpisode:d_nikke_aria_04_8,True,,1,idle,,13,idle,,113,113,1.0,,,barmaster,,
d_nikke_aria_04_9,d_nikke_aria_04,Speech,barmaster,Locale_NikkeEpisode:d_nikke_aria_04_9,True,,1,idle,,13,idle,,113,113,1.0,,,barmaster,,
d_nikke_aria_04_10,d_nikke_aria_04,Speech,barmaster,Locale_NikkeEpisode:d_nikke_aria_04_10,True,,1,idle,,13,idle,,113,113,1.0,,,barmaster,,
d_nikke_aria_04_11,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_11,True,,1,idle,,13,idle,,113,113,1.0,,,aria,,
d_nikke_aria_04_12,d_nikke_aria_04,Speech,barmaster,Locale_NikkeEpisode:d_nikke_aria_04_12,True,,1,idle,,13,idle,,113,113,1.0,,,barmaster,,
d_nikke_aria_04_13,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_13,False,,1,idle,,13,idle,,113,113,1.0,,,aria,,
d_nikke_aria_04_14,d_nikke_aria_04,Self,Self,Locale_NikkeEpisode:d_nikke_aria_04_14,False,,1,idle,,13,idle,,113,113,1.0,,,,,
d_nikke_aria_04_15,d_nikke_aria_04,Speech,barmaster,Locale_NikkeEpisode:d_nikke_aria_04_15,True,,1,idle,,13,idle,,113,113,1.0,,,barmaster,,
d_nikke_aria_04_16,d_nikke_aria_04,Speech,barmaster,Locale_NikkeEpisode:d_nikke_aria_04_16,True,,1,idle,,13,idle,,113,113,1.0,,,barmaster,,
d_nikke_aria_04_17,d_nikke_aria_04,Speech,barmaster,Locale_NikkeEpisode:d_nikke_aria_04_17,True,,1,idle,,13,idle,,113,113,1.0,,,barmaster,,
d_nikke_aria_04_18,d_nikke_aria_04,Speech,barmaster,Locale_NikkeEpisode:d_nikke_aria_04_18,True,,1,idle,,13,idle,,113,113,1.0,,,barmaster,,
d_nikke_aria_04_19,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_19,False,,1,idle,,13,idle,,113,113,1.0,,,aria,,
d_nikke_aria_04_20,d_nikke_aria_04,Speech,barmaster,Locale_NikkeEpisode:d_nikke_aria_04_20,True,,1,idle,,13,idle,,113,113,1.0,,,barmaster,,
d_nikke_aria_04_21,d_nikke_aria_04,Self,Self,Locale_NikkeEpisode:d_nikke_aria_04_21,False,,1,idle,,13,idle,,113,113,1.0,,,,,
d_nikke_aria_04_22,d_nikke_aria_04,Speech,barmaster,Locale_NikkeEpisode:d_nikke_aria_04_22,True,,1,idle,,13,idle,,113,113,1.0,,,barmaster,,
d_nikke_aria_04_23,d_nikke_aria_04,Narration,Narration,Locale_NikkeEpisode:d_nikke_aria_04_23,False,,1,idle,,13,idle,,black,black,1.0,,,,barmaster,
d_nikke_aria_04_24,d_nikke_aria_04,Speech,drunkenwoman,Locale_NikkeEpisode:d_nikke_aria_04_24,False,,1,idle,,,,,15,15,1.0,,,drunkenwoman,,
d_nikke_aria_04_25,d_nikke_aria_04,Speech,dirtyman,Locale_NikkeEpisode:d_nikke_aria_04_25,False,,1,idle,,,,,15,15,1.0,,,dirtyman,,
d_nikke_aria_04_26,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_26,True,,1,idle,,,,,15,1,1.0,,,aria,,
d_nikke_aria_04_27,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_27,True,,1,idle,,,,,1,1,1.0,,,aria,,
d_nikke_aria_04_28,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_28,True,,1,idle,,,,,1,1,1.0,,,aria,,
d_nikke_aria_04_29,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_29,True,,1,idle,,,,,1,1,1.0,,,aria,,
d_nikke_aria_04_30,d_nikke_aria_04,Self,Self,Locale_NikkeEpisode:d_nikke_aria_04_30,False,,1,idle,,,,,1,1,1.0,,,,,
d_nikke_aria_04_31,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_31,True,,1,idle,,,,,1,1,1.0,,,aria,,
d_nikke_aria_04_32,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_32,True,,,idle,,,,,1,1,1.0,,,aria,,
d_nikke_aria_04_33,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_33,True,,1,idle,,,,,1,1,1.0,,,aria,,
d_nikke_aria_04_34,d_nikke_aria_04,Choice,,Locale_NikkeEpisode:d_nikke_aria_04_34,False,,1,idle,,,,,1,1,1.0,,,,,d_nikke_aria_04_36
d_nikke_aria_04_35,d_nikke_aria_04,Choice,,Locale_NikkeEpisode:d_nikke_aria_04_35,False,,1,idle,,,,,1,1,1.0,,,,,d_nikke_aria_04_39
d_nikke_aria_04_36,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_36,True,,1,idle,,,,,1,1,1.0,,,aria,,
d_nikke_aria_04_37,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_37,True,,1,idle,,,,,1,1,1.0,,,aria,,
d_nikke_aria_04_38,d_nikke_aria_04,Self,Self,Locale_NikkeEpisode:d_nikke_aria_04_38,False,,1,idle,,,,,1,1,1.0,,,,,d_nikke_aria_04_39
d_nikke_aria_04_39,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_39,True,,1,idle,,,,,1,10,1.0,,,aria,,
d_nikke_aria_04_40,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_40,True,,1,idle,,,,,10,10,1.0,,,aria,,
d_nikke_aria_04_41,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_41,True,,1,think,,,,,10,10,1.0,,,aria,,
d_nikke_aria_04_42,d_nikke_aria_04,Self,Self,Locale_NikkeEpisode:d_nikke_aria_04_42,False,,1,think,,,,,10,10,1.0,,,,,
d_nikke_aria_04_43,d_nikke_aria_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_aria_04_43,False,,1,think,,,,,10,100,1.0,none,,,,
d_nikke_aria_04_44,d_nikke_aria_04,Speech,drunkenguests,Locale_NikkeEpisode:d_nikke_aria_04_44,False,,1,think,,,,,100,100,1.0,,,drunkenguests,,
d_nikke_aria_04_45,d_nikke_aria_04,Speech,drunkenguests,Locale_NikkeEpisode:d_nikke_aria_04_45,False,,1,think,,,,,100,100,1.0,,,drunkenguests,,
d_nikke_aria_04_46,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_46,False,,1,"expression_0,idle",,,,,100,100,1.0,bgm_story_tragedy,,aria,,
d_nikke_aria_04_47,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_47,True,,1,idle,,,,,100,100,1.0,,,aria,,
d_nikke_aria_04_48,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_48,True,,1,idle,,,,,100,100,1.0,,,aria,,
d_nikke_aria_04_49,d_nikke_aria_04,Speech,drunkenguests,Locale_NikkeEpisode:d_nikke_aria_04_49,False,,1,idle,,,,,100,100,1.0,,,drunkenguests,,
d_nikke_aria_04_50,d_nikke_aria_04,Speech,drunkenguests,Locale_NikkeEpisode:d_nikke_aria_04_50,False,,1,idle,,,,,100,100,1.0,,,drunkenguests,,
d_nikke_aria_04_51,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_51,True,,1,idle,,,,,100,100,1.0,,,aria,,
d_nikke_aria_04_52,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_52,True,,1,idle,,,,,100,100,1.0,,,aria,,
d_nikke_aria_04_53,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_53,True,,1,idle,,,,,100,100,1.0,,,aria,,
d_nikke_aria_04_54,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_54,True,,1,idle,,,,,100,100,1.0,,,aria,,
d_nikke_aria_04_55,d_nikke_aria_04,Speech,drunkenguests,Locale_NikkeEpisode:d_nikke_aria_04_55,False,,1,idle,,,,,100,100,1.0,,,drunkenguests,,
d_nikke_aria_04_56,d_nikke_aria_04,Speech,drunkenguests,Locale_NikkeEpisode:d_nikke_aria_04_56,False,,1,idle,,,,,100,100,1.0,,,drunkenguests,,
d_nikke_aria_04_57,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_57,False,,1,"expression_0,idle",,,,,100,100,1.0,,,aria,,
d_nikke_aria_04_58,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_58,True,,1,idle,,,,,100,100,1.0,,,aria,,
d_nikke_aria_04_59,d_nikke_aria_04,Speech,drunkenguests,Locale_NikkeEpisode:d_nikke_aria_04_59,False,,1,idle,,,,,100,1,1.0,,,drunkenguests,,
d_nikke_aria_04_60,d_nikke_aria_04,Speech,drunkenguests,Locale_NikkeEpisode:d_nikke_aria_04_60,False,,1,idle,,,,,1,1,1.0,,,drunkenguests,,
d_nikke_aria_04_61,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_61,True,,1,idle,,,,,1,1,1.0,,,aria,,
d_nikke_aria_04_62,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_62,True,,1,idle,,,,,1,1,1.0,,,aria,,
d_nikke_aria_04_63,d_nikke_aria_04,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_aria_04_63,False,,1,idle,,,,,1,1,1.0,,,,,
d_nikke_aria_04_64,d_nikke_aria_04,Self,Self,Locale_NikkeEpisode:d_nikke_aria_04_64,False,,1,idle,,,,,1,1,1.0,none,,,,
d_nikke_aria_04_65,d_nikke_aria_04,Speech,barmaster,Locale_NikkeEpisode:d_nikke_aria_04_65,True,,1,idle,barmaster,13,idle,,black,black,1.0,,,barmaster,,
d_nikke_aria_04_66,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_66,True,,1,idle,,13,idle,,10,10,1.0,bgm_story_backtonormal,,aria,,
d_nikke_aria_04_67,d_nikke_aria_04,Speech,barmaster,Locale_NikkeEpisode:d_nikke_aria_04_67,True,,1,idle,,13,idle,,10,113,1.0,,,barmaster,,
d_nikke_aria_04_68,d_nikke_aria_04,Speech,aria,Locale_NikkeEpisode:d_nikke_aria_04_68,True,,1,idle,,13,idle,,113,113,1.0,,,aria,,
