id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,fade,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,jump_target,characters/1/hide_char_id,set_filter_01,set_filter_02
d_nikke_admi_05_01,d_nikke_admi_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_admi_05_01,True,yulha,1,angry,Office,1,1,1.0,bgm_story_backtonormal,,,,,,,,,,
d_nikke_admi_05_02,d_nikke_admi_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_admi_05_02,True,,1,angry,,1,1,1.0,,,,,,,,,,,
d_nikke_admi_05_03,d_nikke_admi_05,Self,yulha,Self,Locale_NikkeEpisode:d_nikke_admi_05_03,False,,1,angry,,1,1,1.0,,,,,,,,,,,
d_nikke_admi_05_04,d_nikke_admi_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_admi_05_04,True,,1,angry,,1,L_10,1.0,,,,,,,,,,,
d_nikke_admi_05_05,d_nikke_admi_05,Self,yulha,Self,Locale_NikkeEpisode:d_nikke_admi_05_05,False,,1,angry,,L_10,L_10,1.0,,,,,,,,,,,
d_nikke_admi_05_06,d_nikke_admi_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_admi_05_06,True,,1,angry,,L_10,L_10,1.0,,,,,,,,,,,
d_nikke_admi_05_07,d_nikke_admi_05,Self,yulha,Self,Locale_NikkeEpisode:d_nikke_admi_05_07,False,,1,angry,,L_10,L_10,1.0,,,,,,,,,,,
d_nikke_admi_05_08,d_nikke_admi_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_admi_05_08,True,,1,idle,,L_10,1,0.8,,,,,,,,,,,
d_nikke_admi_05_09,d_nikke_admi_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_admi_05_09,True,,1,sad,,1,1,1.0,,,,,,,,,,,
d_nikke_admi_05_10,d_nikke_admi_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_admi_05_10,False,,1,sad,,1,1,1.0,,,,,,,,,,,
d_nikke_admi_05_11,d_nikke_admi_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_admi_05_11,True,,1,idle,,1,L_10,1.0,,,,,,,,,,,
d_nikke_admi_05_12,d_nikke_admi_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_admi_05_12,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,
d_nikke_admi_05_13,d_nikke_admi_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_admi_05_13,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,
d_nikke_admi_05_14,d_nikke_admi_05,Self,yulha,Self,Locale_NikkeEpisode:d_nikke_admi_05_14,False,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,
d_nikke_admi_05_15,d_nikke_admi_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_admi_05_15,True,,1,angry,,L_10,L_10,1.0,,,,,,,,,,,
d_nikke_admi_05_16,d_nikke_admi_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_admi_05_16,False,,1,sad,,L_10,L_10,1.0,,,,,,,,,,,
d_nikke_admi_05_17,d_nikke_admi_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_admi_05_17,True,,1,idle,,L_10,L_100,1.0,,,,,,,,,,,
d_nikke_admi_05_18,d_nikke_admi_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_admi_05_18,True,,1,idle,,L_100,L_100,1.0,,,,,,,,,,,
d_nikke_admi_05_19,d_nikke_admi_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_admi_05_19,True,,1,idle,,L_100,L_100,1.0,,,,,,,,,,,
d_nikke_admi_05_20,d_nikke_admi_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_admi_05_20,True,,1,idle,,L_100,L_100,1.0,,,,,,,,,,,
d_nikke_admi_05_21,d_nikke_admi_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_admi_05_21,True,,1,idle,,L_100,L_100,1.0,,,,,,,,,,,
d_nikke_admi_05_22,d_nikke_admi_05,Self,yulha,Self,Locale_NikkeEpisode:d_nikke_admi_05_22,False,,1,idle,,L_100,L_100,1.0,,,,,,,,,,,
d_nikke_admi_05_23,d_nikke_admi_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_admi_05_23,True,,1,idle,,L_100,L_10,1.0,,,,,,,,,,,
d_nikke_admi_05_24,d_nikke_admi_05,Speech,yulha,yulha,Locale_NikkeEpisode:d_nikke_admi_05_24,True,,1,idle,,L_10,L_10,1.0,,,,,,,,,,,
d_nikke_admi_05_25,d_nikke_admi_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_admi_05_25,False,,1,idle,,L_10,L_10,1.0,,yulha,,,,,,,,,
d_nikke_admi_05_26,d_nikke_admi_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_admi_05_26,False,,,,Backstreet_n,9,9,1.0,,,black,,,,,,,,
d_nikke_admi_05_27,d_nikke_admi_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_admi_05_27,False,,,,,9,9,1.0,,,,,,,,,,,
d_nikke_admi_05_28,d_nikke_admi_05,Narration,,Narration,Locale_NikkeEpisode:d_nikke_admi_05_28,False,,,,,9,9,1.0,,,,sfx_scn_hungry,,,,,,,
