id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_nikke_mihara_bondingchain_04_1,d_nikke_mihara_bondingchain_04,Speech,mihara_b,mihara_b,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_04_1,True,TreeOfWater,10,1,1.0,bgm_frostpillar,,,mihara_b,1,surprise,littlemermaid,3,idle,,,,,,,,,
d_nikke_mihara_bondingchain_04_2,d_nikke_mihara_bondingchain_04,Speech,littlemermaid,littlemermaid,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_04_2,True,,1,31,1.0,,,,,1,surprise,,3,idle,,,,,,,,,
d_nikke_mihara_bondingchain_04_3,d_nikke_mihara_bondingchain_04,Speech,littlemermaid,littlemermaid,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_04_3,True,,31,31,1.0,,,,,1,surprise,,3,idle,,,,,,,,,
d_nikke_mihara_bondingchain_04_4,d_nikke_mihara_bondingchain_04,Speech,littlemermaid,littlemermaid,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_04_4,True,,31,31,1.0,,,,,1,surprise,,3,idle,,,,,,,,,
d_nikke_mihara_bondingchain_04_5,d_nikke_mihara_bondingchain_04,Speech,mihara_b,mihara_b,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_04_5,True,,31,31,1.0,,,,,1,surprise,,3,idle,,,,,,,,,
d_nikke_mihara_bondingchain_04_6,d_nikke_mihara_bondingchain_04,Speech,littlemermaid,littlemermaid,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_04_6,True,,31,31,1.0,,,,,1,surprise,,3,idle,,,,,,,,,
d_nikke_mihara_bondingchain_04_7,d_nikke_mihara_bondingchain_04,Speech,littlemermaid,littlemermaid,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_04_7,True,,31,31,1.0,,,,,1,surprise,,3,idle,,,,,,,,,
d_nikke_mihara_bondingchain_04_8,d_nikke_mihara_bondingchain_04,Speech,littlemermaid,littlemermaid,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_04_8,True,,31,31,1.0,,,,,1,surprise,,3,idle,,,,,,,,,
d_nikke_mihara_bondingchain_04_9,d_nikke_mihara_bondingchain_04,Speech,mihara_b,mihara_b,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_04_9,True,,31,31,1.0,,,,,1,idle,,3,idle,,,,,,,,,
d_nikke_mihara_bondingchain_04_10,d_nikke_mihara_bondingchain_04,Speech,littlemermaid,littlemermaid,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_04_10,True,,31,31,1.0,,,,,1,idle,,3,idle,,,,,,,,,
d_nikke_mihara_bondingchain_04_11,d_nikke_mihara_bondingchain_04,Speech,littlemermaid,littlemermaid,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_04_11,True,,31,31,1.0,,,,,1,idle,,3,idle,,,,,,,,,
d_nikke_mihara_bondingchain_04_12,d_nikke_mihara_bondingchain_04,Speech,mihara_b,mihara_b,Locale_NikkeEpisode:d_nikke_mihara_bondingchain_04_12,True,,31,31,1.0,,,,,1,idle,,3,idle,,,,,,,,,
