id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,highlight,characters/0/hide_char_id,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/2/hide_char_id,fade
d_nikke_guillotine_winterslayer_05_1,d_nikke_guillotine_winterslayer_05,Speech,laplace,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_05_1,False,EventScene_icedragonsaga_02_1,EventScene_icedragonsaga_02_1_1,EventScene_icedragonsaga_02_1_1,1.0,event_bgm_icedragonsaga_curious,,,,,,,,,,,,,,
d_nikke_guillotine_winterslayer_05_2,d_nikke_guillotine_winterslayer_05,Speech,guillotine_w,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_05_2,False,,EventScene_icedragonsaga_02_1_1,EventScene_icedragonsaga_02_1_1,1.0,,,,,,,,,,,,,,,
d_nikke_guillotine_winterslayer_05_3,d_nikke_guillotine_winterslayer_05,Speech,laplace,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_05_3,False,,EventScene_icedragonsaga_02_1_1,EventScene_icedragonsaga_02_1_1,1.0,,,,,,,,,,,,,,,
d_nikke_guillotine_winterslayer_05_4,d_nikke_guillotine_winterslayer_05,Speech,laplace,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_05_4,False,,EventScene_icedragonsaga_02_1_1,EventScene_icedragonsaga_02_1_1,1.0,,,,,,,,,,,,,,,
d_nikke_guillotine_winterslayer_05_5,d_nikke_guillotine_winterslayer_05,Speech,guillotine_w,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_05_5,False,,EventScene_icedragonsaga_02_1_1,EventScene_icedragonsaga_02_1_1,1.0,,,,,,,,,,,,,,,
d_nikke_guillotine_winterslayer_05_6,d_nikke_guillotine_winterslayer_05,Speech,guillotine_w,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_05_6,False,SnowTown_d,black,black,1.0,,laplace,2,sad,guillotine_w,12,idle,,,,,,,,
d_nikke_guillotine_winterslayer_05_7,d_nikke_guillotine_winterslayer_05,Speech,laplace,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_05_7,True,,S_20,S_20,1.0,,,2,sad,,12,idle,laplace,,,,,,,
d_nikke_guillotine_winterslayer_05_8,d_nikke_guillotine_winterslayer_05,Speech,laplace,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_05_8,True,,S_20,S_20,1.0,,,2,sad,,12,idle,laplace,,,,,,,
d_nikke_guillotine_winterslayer_05_9,d_nikke_guillotine_winterslayer_05,Speech,laplace,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_05_9,True,,S_20,S_20,1.0,,,2,sad,,12,idle,laplace,,,,,,,
d_nikke_guillotine_winterslayer_05_10,d_nikke_guillotine_winterslayer_05,Speech,laplace,Locale_NikkeEpisode:d_nikke_guillotine_winterslayer_05_10,True,,S_20,S_20,1.0,,,2,sad,,12,idle,laplace,,,,,,,
