id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,play_sound,conversation_id,jump_target,fade,set_camera_shake,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,effects/0/play_effect_id,effects/0/set_effect_position,effects/0/is_effect_movable,effects/0/stop_effect_id
d_nikke_rupee_wintershopper_04_1,d_nikke_rupee_wintershopper_04,Monologue,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_04_1,False,Restaurant,7,1,3.0,bgm_story_leisuretime,,,,,,,,rupee_w,1,idle_02,,,,,
d_nikke_rupee_wintershopper_04_2,d_nikke_rupee_wintershopper_04,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_04_2,True,,1,1,1.0,,rupee_w,rupee,,,,,,,1,idle_02,,,,,
d_nikke_rupee_wintershopper_04_3,d_nikke_rupee_wintershopper_04,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_04_3,True,,1,1,1.0,,rupee_w,rupee,,,,,,,1,idle_02,,,,,
d_nikke_rupee_wintershopper_04_4,d_nikke_rupee_wintershopper_04,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_04_4,False,,1,1,1.0,,rupee_w,rupee,,,,,,,1,special,,,,,
d_nikke_rupee_wintershopper_04_5,d_nikke_rupee_wintershopper_04,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_04_5,True,,1,1,1.0,,rupee_w,rupee,,,,,,,1,surprise,,,,,
d_nikke_rupee_wintershopper_04_6,d_nikke_rupee_wintershopper_04,Narration,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_04_6,False,,1,1,1.0,,rupee_w,,sfx_scn_phonevibration,,,,,,1,idle_02,,,,,
d_nikke_rupee_wintershopper_04_7,d_nikke_rupee_wintershopper_04,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_04_7,True,,1,1,1.0,,rupee_w,rupee,,,,,,,1,idle_02,,,,,
d_nikke_rupee_wintershopper_04_8,d_nikke_rupee_wintershopper_04,Narration,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_04_8,False,,1,1,1.0,,rupee_w,,sfx_scn_phonevibration,,,,,,1,idle_02,,,,,
d_nikke_rupee_wintershopper_04_9,d_nikke_rupee_wintershopper_04,Speech,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_04_9,True,,1,1,1.0,,rupee_w,rupee,,,,,,,1,surprise,,,,,
d_nikke_rupee_wintershopper_04_10,d_nikke_rupee_wintershopper_04,Monologue,Locale_NikkeEpisode:d_nikke_rupee_wintershopper_04_10,False,,1,1,1.0,,rupee_w,,,,,,,,1,surprise,,,,,
