id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,set_filter_01,set_filter_02,set_camera_shake,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id
d_nikke_snowwhite_03_1,d_nikke_snowwhite_03,Self,snowwhite,Self,Locale_NikkeEpisode:d_nikke_snowwhite_03_1,False,WasteLand_01,1,1,1.0,bgm_mystery,Blur_High,Vignetting,,,snowwhite,1,idle,
d_nikke_snowwhite_03_2,d_nikke_snowwhite_03,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_03_2,True,,1,1,1.0,,Blur_High,Vignetting,,,,1,idle,
d_nikke_snowwhite_03_3,d_nikke_snowwhite_03,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_03_3,True,,1,1,1.0,,Blur_High,Vignetting,,,,1,idle,
d_nikke_snowwhite_03_4,d_nikke_snowwhite_03,Self,snowwhite,Self,Locale_NikkeEpisode:d_nikke_snowwhite_03_4,False,,1,1,1.0,,Blur_High,Vignetting,,,,1,idle,
d_nikke_snowwhite_03_5,d_nikke_snowwhite_03,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_03_5,True,,1,L_10,0.6,,Blur_High,Vignetting,,,,1,angry,
d_nikke_snowwhite_03_6,d_nikke_snowwhite_03,Self,snowwhite,Self,Locale_NikkeEpisode:d_nikke_snowwhite_03_6,False,,L_10,L_10,1.0,,Blur_Low,,,,,1,angry,
d_nikke_snowwhite_03_7,d_nikke_snowwhite_03,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_03_7,True,,L_10,L_10,1.0,,Blur_Low,,,,,1,angry,
d_nikke_snowwhite_03_8,d_nikke_snowwhite_03,Self,snowwhite,Self,Locale_NikkeEpisode:d_nikke_snowwhite_03_8,False,,L_10,L_10,1.0,,Blur_Low,,,,,1,angry,
d_nikke_snowwhite_03_9,d_nikke_snowwhite_03,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_03_9,False,,L_10,L_10,1.0,,Blur_Low,,,,,1,idle,
d_nikke_snowwhite_03_10,d_nikke_snowwhite_03,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_03_10,True,,L_10,L_10,1.0,,Blur_Low,,,,,1,idle,
d_nikke_snowwhite_03_11,d_nikke_snowwhite_03,Self,snowwhite,Self,Locale_NikkeEpisode:d_nikke_snowwhite_03_11,False,,L_10,L_100,1.0,,Blur_Low,,,,,1,idle,
d_nikke_snowwhite_03_12,d_nikke_snowwhite_03,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_03_12,False,,L_100,L_100,1.0,,Blur_Low,,,,,1,idle,
d_nikke_snowwhite_03_13,d_nikke_snowwhite_03,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_03_13,True,,L_100,L_100,1.0,,Blur_Low,,,,,1,idle,
d_nikke_snowwhite_03_14,d_nikke_snowwhite_03,Self,snowwhite,Self,Locale_NikkeEpisode:d_nikke_snowwhite_03_14,False,,L_100,L_100,1.0,,Blur_Middle,,,,,1,idle,
d_nikke_snowwhite_03_15,d_nikke_snowwhite_03,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_03_15,False,,L_100,L_100,1.0,,Blur_High,Vignetting,,,,1,idle,
d_nikke_snowwhite_03_16,d_nikke_snowwhite_03,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_03_16,True,,black,black,1.0,,,,,,,1,idle,
d_nikke_snowwhite_03_17,d_nikke_snowwhite_03,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_03_17,True,,black,black,1.0,,,,,,,1,angry,
d_nikke_snowwhite_03_18,d_nikke_snowwhite_03,Self,snowwhite,Self,Locale_NikkeEpisode:d_nikke_snowwhite_03_18,False,,L_100,L_100,1.0,,None,,Low_2,,,1,angry,
d_nikke_snowwhite_03_19,d_nikke_snowwhite_03,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_03_19,False,,L_100,L_10,1.0,,,,,,,1,pain,
d_nikke_snowwhite_03_20,d_nikke_snowwhite_03,Monologue,snowwhite,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_03_20,False,,L_10,L_10,1.0,,,,,,,1,idle,
d_nikke_snowwhite_03_21,d_nikke_snowwhite_03,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_03_21,True,,L_10,L_10,1.0,,,,,,,1,idle,
d_nikke_snowwhite_03_22,d_nikke_snowwhite_03,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_03_22,True,,L_10,L_10,1.0,none,,,,,,14,idle,snowwhite
d_nikke_snowwhite_03_23,d_nikke_snowwhite_03,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_03_23,True,,black,black,1.0,,,,,,snowwhite,1,idle,snowwhite
d_nikke_snowwhite_03_24,d_nikke_snowwhite_03,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_03_24,True,WasteLand_02,L_10,L_10,1.0,,,,,black,snowwhite,1,idle,
d_nikke_snowwhite_03_25,d_nikke_snowwhite_03,Monologue,snowwhite,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_03_25,False,,L_10,XS_90,1.0,bgm_distress,,,,,,1,idle,
d_nikke_snowwhite_03_26,d_nikke_snowwhite_03,Monologue,snowwhite,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_03_26,False,,XS_90,XS_90,1.0,,,,,,,1,idle,
d_nikke_snowwhite_03_27,d_nikke_snowwhite_03,Monologue,snowwhite,Monologue,Locale_NikkeEpisode:d_nikke_snowwhite_03_27,False,,XS_90,XS_90,1.0,,,,,,,1,idle,
d_nikke_snowwhite_03_28,d_nikke_snowwhite_03,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_03_28,True,,XS_90,L_10,1.0,,,,,,,1,idle,
d_nikke_snowwhite_03_29,d_nikke_snowwhite_03,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_03_29,True,,L_10,L_10,1.0,,,,,,,1,idle,
d_nikke_snowwhite_03_30,d_nikke_snowwhite_03,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_03_30,True,,L_10,L_10,1.0,,,,,,,1,idle,
d_nikke_snowwhite_03_31,d_nikke_snowwhite_03,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_03_31,True,,L_10,L_10,1.0,,,,,,,1,idle,
d_nikke_snowwhite_03_32,d_nikke_snowwhite_03,Self,snowwhite,Self,Locale_NikkeEpisode:d_nikke_snowwhite_03_32,False,,L_10,L_10,1.0,,,,,,,1,idle,
d_nikke_snowwhite_03_33,d_nikke_snowwhite_03,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_03_33,True,,L_10,L_10,1.0,,,,,,,1,idle,
d_nikke_snowwhite_03_34,d_nikke_snowwhite_03,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_03_34,True,,L_10,L_10,1.0,,,,,,,1,idle,
d_nikke_snowwhite_03_35,d_nikke_snowwhite_03,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_03_35,True,,L_10,L_10,1.0,,,,,,,1,idle,
d_nikke_snowwhite_03_36,d_nikke_snowwhite_03,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_03_36,True,,L_10,L_10,1.0,,,,,,,1,idle,
d_nikke_snowwhite_03_37,d_nikke_snowwhite_03,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_03_37,True,,L_10,L_10,1.0,,,,,,,1,idle,
d_nikke_snowwhite_03_38,d_nikke_snowwhite_03,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_03_38,True,,L_10,L_10,1.0,,,,,,,1,idle,
d_nikke_snowwhite_03_39,d_nikke_snowwhite_03,Self,snowwhite,Self,Locale_NikkeEpisode:d_nikke_snowwhite_03_39,False,,L_10,L_10,1.0,,,,,,,1,idle,
d_nikke_snowwhite_03_40,d_nikke_snowwhite_03,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_03_40,True,,L_10,L_10,1.0,,,,,,,1,idle,
d_nikke_snowwhite_03_41,d_nikke_snowwhite_03,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_03_41,True,,L_10,L_10,1.0,,,,,,,1,idle,
d_nikke_snowwhite_03_42,d_nikke_snowwhite_03,Self,snowwhite,Self,Locale_NikkeEpisode:d_nikke_snowwhite_03_42,False,,L_10,L_10,1.0,,,,,,,1,idle,
d_nikke_snowwhite_03_43,d_nikke_snowwhite_03,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_03_43,True,,L_10,L_10,1.0,,,,,,,1,pain,
d_nikke_snowwhite_03_44,d_nikke_snowwhite_03,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_03_44,True,,L_10,L_10,1.0,,,,,,,1,pain,
d_nikke_snowwhite_03_45,d_nikke_snowwhite_03,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_03_45,True,,L_10,L_10,1.0,,,,,,,1,pain,
d_nikke_snowwhite_03_46,d_nikke_snowwhite_03,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_03_46,True,,L_10,L_10,1.0,,,,,,,1,pain,
d_nikke_snowwhite_03_47,d_nikke_snowwhite_03,Speech,snowwhite,snowwhite,Locale_NikkeEpisode:d_nikke_snowwhite_03_47,True,,L_10,L_10,1.0,,,,,,,1,idle,
