id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/1/hide_char_id,characters/2/hide_char_id,characters/3/hide_char_id,fade,set_filter_01,play_sound,set_camera_shake
d_nikke_privaty_02_1,d_nikke_privaty_02,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_02_1,True,CommanderRoom,black,black,1.0,bgm_story_tomboyprincess,,,,,,,,,,,,,,,,,,,
d_nikke_privaty_02_2,d_nikke_privaty_02,Self,privaty,,Locale_NikkeEpisode:d_nikke_privaty_02_2,,,S_10,S_10,1.0,,privaty,1,idle,rapi,14,idle,neon,18,idle,anis,16,idle,,,,,,,
d_nikke_privaty_02_3,d_nikke_privaty_02,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_02_3,True,,S_10,S_10,1.0,,,1,idle,,14,idle,,18,idle,,16,idle,,,,,,,
d_nikke_privaty_02_4,d_nikke_privaty_02,Self,privaty,,Locale_NikkeEpisode:d_nikke_privaty_02_4,,,S_10,S_10,1.0,,,1,idle,,14,idle,,18,idle,,16,idle,,,,,,,
d_nikke_privaty_02_5,d_nikke_privaty_02,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_02_5,True,,S_10,S_100,0.5,,,1,angry,,14,idle,,18,idle,,16,idle,,,,,,,
d_nikke_privaty_02_6,d_nikke_privaty_02,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_02_6,True,,S_100,S_100,1.0,,,1,angry,,14,idle,,18,idle,,16,idle,,,,,,,
d_nikke_privaty_02_7,d_nikke_privaty_02,Speech,privaty,privaty,Locale_NikkeEpisode:d_nikke_privaty_02_7,True,,S_100,S_10,2.0,,,1,delight,,14,idle,,18,idle,,16,idle,,,,,,,
d_nikke_privaty_02_8,d_nikke_privaty_02,Self,privaty,,Locale_NikkeEpisode:d_nikke_privaty_02_8,False,,17,17,1.0,,,1,delight,,14,idle,,18,idle,,16,no,,,,,,,
d_nikke_privaty_02_9,d_nikke_privaty_02,Speech,neon,neon,Locale_NikkeEpisode:d_nikke_privaty_02_9,True,,17,17,2.0,,,1,idle,,14,idle,,18,idle,,16,no,,,,,,,
d_nikke_privaty_02_10,d_nikke_privaty_02,Speech,anis,anis,Locale_NikkeEpisode:d_nikke_privaty_02_10,True,,17,160,2.0,,,1,idle,,14,idle,,18,idle,,16,no,,,,,,,
