id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim,fade,characters/3/show_char_id,characters/3/set_char_position,characters/3/set_char_anim,characters/3/hide_char_id
d_nikke_quiry_05_1,d_nikke_quiry_05,Narration,Narration,Narration,Locale_NikkeEpisode:d_nikke_quiry_05_1,True,Police,7,31,2.0,sfx_scn_autodooropen,bgm_story_orangepop,,,,,,,,,,,,,,
d_nikke_quiry_05_2,d_nikke_quiry_05,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_quiry_05_2,True,,31,31,1.0,,,quiry,5,sad,poli,3,idle,miranda,1,idle,,,,,
d_nikke_quiry_05_3,d_nikke_quiry_05,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_quiry_05_3,True,,31,31,1.0,,,,5,sad,,3,idle,,1,idle,,,,,
d_nikke_quiry_05_4,d_nikke_quiry_05,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_quiry_05_4,True,,31,31,1.0,,,,5,sad,,3,idle,,1,idle,,,,,
d_nikke_quiry_05_5,d_nikke_quiry_05,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_05_5,True,,31,5,1.0,,,,5,sad,,3,idle,,1,idle,,,,,
d_nikke_quiry_05_6,d_nikke_quiry_05,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_05_6,True,,5,S_50,1.0,,,,5,sad,,3,idle,,1,idle,,,,,
d_nikke_quiry_05_7,d_nikke_quiry_05,Self,Self,Self,Locale_NikkeEpisode:d_nikke_quiry_05_7,False,,S_50,S_50,1.0,,,,5,sad,,3,idle,,1,idle,,,,,
d_nikke_quiry_05_8,d_nikke_quiry_05,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_05_8,True,,S_50,S_50,1.0,,,,5,surprise,,3,idle,,1,idle,,,,,
d_nikke_quiry_05_9,d_nikke_quiry_05,Self,Self,Self,Locale_NikkeEpisode:d_nikke_quiry_05_9,False,,S_50,S_50,1.0,,,,5,surprise,,3,idle,,1,idle,,,,,
d_nikke_quiry_05_10,d_nikke_quiry_05,Self,Self,Self,Locale_NikkeEpisode:d_nikke_quiry_05_10,False,,S_50,S_50,1.0,,,,5,surprise,,3,idle,,1,idle,,,,,
d_nikke_quiry_05_11,d_nikke_quiry_05,Speech,poli,poli,Locale_NikkeEpisode:d_nikke_quiry_05_11,True,,XS_30,XS_30,1.0,,,,5,surprise,,3,delight,,1,idle,,,,,
d_nikke_quiry_05_12,d_nikke_quiry_05,Speech,miranda,miranda,Locale_NikkeEpisode:d_nikke_quiry_05_12,True,,S_10,S_10,1.0,,,,5,surprise,,3,delight,,1,idle,,,,,
d_nikke_quiry_05_13,d_nikke_quiry_05,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_05_13,True,,S_50,S_50,1.0,,,,5,surprise,,3,delight,,1,idle,,,,,
d_nikke_quiry_05_14,d_nikke_quiry_05,Speech,quiry,quiry,Locale_NikkeEpisode:d_nikke_quiry_05_14,True,,S_50,S_50,1.0,,,,5,surprise,,3,delight,,1,idle,,,,,
