id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/hide_char_id,set_filter_01,fade,jump_target
d_nikke_rapunzel_03_1,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_1,False,rapunzel,1,no,Desert_02,1,1,1.0,ambient_scn_wind,,,,
d_nikke_rapunzel_03_2,d_nikke_rapunzel_03,Monologue,rapunzel,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_03_2,False,,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_3,d_nikke_rapunzel_03,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_03_3,False,,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_4,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_4,True,,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_5,d_nikke_rapunzel_03,Monologue,rapunzel,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_03_5,False,,1,no,,1,1,1.0,,rapunzel,,,
d_nikke_rapunzel_03_6,d_nikke_rapunzel_03,Monologue,rapunzel,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_03_6,False,,,,,1,1,1.0,,,,,
d_nikke_rapunzel_03_7,d_nikke_rapunzel_03,Monologue,rapunzel,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_03_7,False,,,,,1,3,2.0,,,Blur_Low,,
d_nikke_rapunzel_03_8,d_nikke_rapunzel_03,Monologue,rapunzel,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_03_8,False,,,,,3,3,1.0,,,Blur_Middle,,
d_nikke_rapunzel_03_9,d_nikke_rapunzel_03,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_03_9,False,rapunzel,1,no,,3,1,1.0,,,Blur_Middle,,
d_nikke_rapunzel_03_10,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_10,False,,1,no,,1,1,1.0,,,Blur_Low,,
d_nikke_rapunzel_03_11,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_11,True,,1,no,Desert_04,5,1,2.0,bgm_story_thepilgrim,,,black,
d_nikke_rapunzel_03_12,d_nikke_rapunzel_03,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_03_12,False,,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_13,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_13,True,,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_14,d_nikke_rapunzel_03,Monologue,rapunzel,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_03_14,False,,1,no,,1,16,2.0,,,,,
d_nikke_rapunzel_03_15,d_nikke_rapunzel_03,Monologue,rapunzel,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_03_15,False,,1,no,,16,16,1.0,,,,,
d_nikke_rapunzel_03_16,d_nikke_rapunzel_03,Monologue,rapunzel,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_03_16,False,,1,no,,16,16,1.0,,,,,
d_nikke_rapunzel_03_17,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_17,True,,1,no,,16,1,1.0,,,,,
d_nikke_rapunzel_03_18,d_nikke_rapunzel_03,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_03_18,False,,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_19,d_nikke_rapunzel_03,Monologue,rapunzel,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_03_19,False,,1,no,,black,black,1.0,,,,,
d_nikke_rapunzel_03_20,d_nikke_rapunzel_03,Narration,rapunzel,Narration,Locale_NikkeEpisode:d_nikke_rapunzel_03_20,False,,1,no,,black,black,1.0,,,,,
d_nikke_rapunzel_03_21,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_21,True,,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_22,d_nikke_rapunzel_03,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_03_22,False,,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_23,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_23,True,,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_24,d_nikke_rapunzel_03,Monologue,rapunzel,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_03_24,False,,1,no,,1,1,1.0,,rapunzel,,,
d_nikke_rapunzel_03_25,d_nikke_rapunzel_03,Monologue,rapunzel,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_03_25,False,,,,,1,1,1.0,,,,,
d_nikke_rapunzel_03_26,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_26,True,rapunzel,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_27,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_27,True,,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_28,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_28,True,,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_29,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_29,True,,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_30,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_30,True,,1,no,,1,10,2.0,,,,,
d_nikke_rapunzel_03_31,d_nikke_rapunzel_03,Monologue,rapunzel,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_03_31,False,,1,no,,black,black,1.0,,,,,
d_nikke_rapunzel_03_32,d_nikke_rapunzel_03,Monologue,rapunzel,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_03_32,False,,1,no,,black,black,1.0,,,,,
d_nikke_rapunzel_03_33,d_nikke_rapunzel_03,Monologue,rapunzel,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_03_33,False,,1,no,,black,black,1.0,,,,,
d_nikke_rapunzel_03_34,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_34,False,,1,no,,10,1,2.0,,,,,
d_nikke_rapunzel_03_35,d_nikke_rapunzel_03,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_03_35,False,,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_36,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_36,True,,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_37,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_37,True,,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_38,d_nikke_rapunzel_03,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_03_38,False,,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_39,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_39,True,,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_40,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_40,True,,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_41,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_41,True,,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_42,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_42,True,,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_43,d_nikke_rapunzel_03,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_03_43,False,,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_44,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_44,True,,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_45,d_nikke_rapunzel_03,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_03_45,False,,1,no,,1,1,1.0,,rapunzel,,,
d_nikke_rapunzel_03_46,d_nikke_rapunzel_03,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_03_46,False,,,,,1,14,2.0,,,,,
d_nikke_rapunzel_03_47,d_nikke_rapunzel_03,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_03_47,False,,,,,14,14,1.0,,,,,
d_nikke_rapunzel_03_48,d_nikke_rapunzel_03,Choice,,,Locale_NikkeEpisode:d_nikke_rapunzel_03_48,False,,,,,14,14,1.0,,,,,d_nikke_rapunzel_03_50
d_nikke_rapunzel_03_49,d_nikke_rapunzel_03,Choice,,,Locale_NikkeEpisode:d_nikke_rapunzel_03_49,False,,,,,14,14,1.0,,,,,d_nikke_rapunzel_03_50
d_nikke_rapunzel_03_50,d_nikke_rapunzel_03,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_03_50,False,rapunzel,1,no,,14,1,2.0,,,,,
d_nikke_rapunzel_03_51,d_nikke_rapunzel_03,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_03_51,False,,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_52,d_nikke_rapunzel_03,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_03_52,False,,1,no,,1,10,2.0,,,,,
d_nikke_rapunzel_03_53,d_nikke_rapunzel_03,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_03_53,False,,1,no,,10,10,1.0,,,,,
d_nikke_rapunzel_03_54,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_54,True,,1,idle,,10,10,1.0,,,,,
d_nikke_rapunzel_03_55,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_55,True,,1,idle,,10,10,1.0,,,,,
d_nikke_rapunzel_03_56,d_nikke_rapunzel_03,Monologue,rapunzel,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_03_56,False,,1,idle,RuinIndoor,5,1,2.0,none,rapunzel,,black,
d_nikke_rapunzel_03_57,d_nikke_rapunzel_03,Monologue,rapunzel,Monologue,Locale_NikkeEpisode:d_nikke_rapunzel_03_57,False,rapunzel,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_58,d_nikke_rapunzel_03,Self,rapunzel,Self,Locale_NikkeEpisode:d_nikke_rapunzel_03_58,False,,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_59,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_59,True,,1,idle,,1,1,1.0,,,,,
d_nikke_rapunzel_03_60,d_nikke_rapunzel_03,Choice,rapunzel,,Locale_NikkeEpisode:d_nikke_rapunzel_03_60,False,,1,idle,,1,1,1.0,,,,,d_nikke_rapunzel_03_62
d_nikke_rapunzel_03_61,d_nikke_rapunzel_03,Choice,rapunzel,,Locale_NikkeEpisode:d_nikke_rapunzel_03_61,False,,1,idle,,1,1,1.0,,,,,d_nikke_rapunzel_03_62
d_nikke_rapunzel_03_62,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_62,True,,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_63,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_63,False,,1,no,,1,1,1.0,,,,,
d_nikke_rapunzel_03_64,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_64,True,,1,no,,1,10,2.0,bgm_distress,,,,
d_nikke_rapunzel_03_65,d_nikke_rapunzel_03,Speech,rapunzel,rapunzel,Locale_NikkeEpisode:d_nikke_rapunzel_03_65,True,,1,no,,10,10,1.0,,,,,
