id,group_id,speech_window,scenario_localkey,play_lipSync,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_filter_01,set_filter_02,characters/0/hide_char_id,jump_target,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,fade
d_nikke_ludmilla_01_1,d_nikke_ludmilla_01,Monologue,Locale_NikkeEpisode:d_nikke_ludmilla_01_1,False,black,black,1.0,none,,,,,,,,,,,,,,,
d_nikke_ludmilla_01_2,d_nikke_ludmilla_01,Monologue,Locale_NikkeEpisode:d_nikke_ludmilla_01_2,False,black,black,1.0,,,,,,,,,,,,,,,,
d_nikke_ludmilla_01_3,d_nikke_ludmilla_01,Monologue,Locale_NikkeEpisode:d_nikke_ludmilla_01_3,False,black,black,1.0,,,,,,,,,,,,,,,,
d_nikke_ludmilla_01_4,d_nikke_ludmilla_01,Monologue,Locale_NikkeEpisode:d_nikke_ludmilla_01_4,False,black,black,1.0,,,,,,,,,,,,,,,,
d_nikke_ludmilla_01_5,d_nikke_ludmilla_01,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_01_5,True,black,black,1.0,,ludmilla,unknown,ludmilla,1,idle,IceLand_01,,,,,,,,,
d_nikke_ludmilla_01_6,d_nikke_ludmilla_01,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_01_6,True,black,black,1.0,,ludmilla,unknown,,1,idle,,,,,,,,,,
d_nikke_ludmilla_01_7,d_nikke_ludmilla_01,Monologue,Locale_NikkeEpisode:d_nikke_ludmilla_01_7,False,black,black,1.0,,ludmilla,,,1,idle,,,,,,,,,,
d_nikke_ludmilla_01_8,d_nikke_ludmilla_01,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_01_8,True,black,black,1.0,,ludmilla,unknown,,1,idle,,,,,,,,,,
d_nikke_ludmilla_01_9,d_nikke_ludmilla_01,Monologue,Locale_NikkeEpisode:d_nikke_ludmilla_01_9,False,black,black,1.0,,ludmilla,,,1,idle,,,,,,,,,,
d_nikke_ludmilla_01_10,d_nikke_ludmilla_01,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_01_10,True,100,100,1.0,,ludmilla,unknown,,1,idle,,Blur_High,Vignetting,,,,,,,
d_nikke_ludmilla_01_11,d_nikke_ludmilla_01,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_01_11,True,100,100,1.0,,ludmilla,unknown,,1,idle,,Blur_High,Vignetting,,,,,,,
d_nikke_ludmilla_01_12,d_nikke_ludmilla_01,Monologue,Locale_NikkeEpisode:d_nikke_ludmilla_01_12,False,black,black,1.0,,ludmilla,,,1,idle,none,,,ludmilla,,,,,,
d_nikke_ludmilla_01_13,d_nikke_ludmilla_01,Monologue,Locale_NikkeEpisode:d_nikke_ludmilla_01_13,False,black,black,1.0,,ludmilla,,,1,idle,,,,,,,,,,
d_nikke_ludmilla_01_14,d_nikke_ludmilla_01,Self,Locale_NikkeEpisode:d_nikke_ludmilla_01_14,False,black,black,1.0,,ludmilla,,,1,idle,BriefingRoom,,,,,,,,,
d_nikke_ludmilla_01_15,d_nikke_ludmilla_01,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_01_15,True,black,black,0.5,bgm_story_backtonormal,ludmilla,unknown,ludmilla,1,idle,,,,,,,,,,
d_nikke_ludmilla_01_16,d_nikke_ludmilla_01,Self,Locale_NikkeEpisode:d_nikke_ludmilla_01_16,False,1,1,1.0,,ludmilla,,,1,idle,,,,,,,,,,
d_nikke_ludmilla_01_17,d_nikke_ludmilla_01,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_01_17,True,1,10,1.0,,ludmilla,ludmilla,,1,idle,,,,,,,,,,
d_nikke_ludmilla_01_18,d_nikke_ludmilla_01,Speech,Locale_NikkeEpisode:d_nikke_ludmilla_01_18,True,10,10,1.0,,ludmilla,ludmilla,,1,idle,,,,,,,,,,
