id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,fade,play_sound,set_camera_shake,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_centi_04_1,d_nikke_centi_04,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_04_1,True,RoyalRoad,1,L_10,2.0,bgm_story_girlstalk,,,,,,centi,1,delight,,,,,
d_nikke_centi_04_2,d_nikke_centi_04,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_04_2,True,,L_10,L_10,1.0,,,,,,,,1,delight,,,,,
d_nikke_centi_04_3,d_nikke_centi_04,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_04_3,True,,L_10,L_10,1.0,,,,,,,,1,delight,,,,,
d_nikke_centi_04_4,d_nikke_centi_04,Choice,centi,,Locale_NikkeEpisode:d_nikke_centi_04_4,False,,L_10,L_10,1.0,,d_nikke_centi_04_6,,,,,,1,delight,,,,,
d_nikke_centi_04_5,d_nikke_centi_04,Choice,centi,,Locale_NikkeEpisode:d_nikke_centi_04_5,False,,L_10,L_10,1.0,,d_nikke_centi_04_8,,,,,,1,delight,,,,,
d_nikke_centi_04_6,d_nikke_centi_04,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_04_6,True,,L_10,L_10,1.0,,,,,,,,1,idle,,,,,
d_nikke_centi_04_7,d_nikke_centi_04,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_04_7,True,,L_10,L_10,1.0,,d_nikke_centi_04_11,,,,,,1,idle,,,,,
d_nikke_centi_04_8,d_nikke_centi_04,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_04_8,True,,L_10,L_10,1.0,,,,,,,,1,idle,,,,,
d_nikke_centi_04_9,d_nikke_centi_04,Self,centi,Self,Locale_NikkeEpisode:d_nikke_centi_04_9,False,,L_10,L_10,1.0,,,,,,,,1,idle,,,,,
d_nikke_centi_04_10,d_nikke_centi_04,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_04_10,True,,L_10,L_10,1.0,,,,,,,,1,idle,,,,,
d_nikke_centi_04_11,d_nikke_centi_04,Speech,centi,centi,Locale_NikkeEpisode:d_nikke_centi_04_11,True,,L_10,L_10,1.0,,,,,,,,1,idle,,,,,
