id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,jump_target,play_sound,set_camera_shake,conversation_id
d_nikke_guillotine_03_1,d_nikke_guillotine_03,Monologue,guillotine,Locale_NikkeEpisode:d_nikke_guillotine_03_1,False,Cafe,15,1,1.0,bgm_story_fairytalesend_if,,,,,,,,
d_nikke_guillotine_03_2,d_nikke_guillotine_03,Monologue,guillotine,Locale_NikkeEpisode:d_nikke_guillotine_03_2,False,,1,1,1.0,,,,,,,,,
d_nikke_guillotine_03_3,d_nikke_guillotine_03,Speech,guillotine,Locale_NikkeEpisode:d_nikke_guillotine_03_3,True,,1,1,1.0,,guillotine,guillotine,1,idle,,,,
d_nikke_guillotine_03_4,d_nikke_guillotine_03,Speech,guillotine,Locale_NikkeEpisode:d_nikke_guillotine_03_4,True,,1,1,1.0,,guillotine,,1,idle,,,,
d_nikke_guillotine_03_5,d_nikke_guillotine_03,Speech,guillotine,Locale_NikkeEpisode:d_nikke_guillotine_03_5,True,,1,1,1.0,,guillotine,,1,idle,,,,
d_nikke_guillotine_03_6,d_nikke_guillotine_03,Speech,guillotine,Locale_NikkeEpisode:d_nikke_guillotine_03_6,True,,1,S_10,1.0,,guillotine,,1,idle,,,,
d_nikke_guillotine_03_7,d_nikke_guillotine_03,Speech,guillotine,Locale_NikkeEpisode:d_nikke_guillotine_03_7,True,,S_10,S_10,1.0,,guillotine,,1,idle,,,,
d_nikke_guillotine_03_8,d_nikke_guillotine_03,Speech,guillotine,Locale_NikkeEpisode:d_nikke_guillotine_03_8,True,,S_10,S_10,1.0,,guillotine,,1,delight,,,,
d_nikke_guillotine_03_9,d_nikke_guillotine_03,Self,guillotine,Locale_NikkeEpisode:d_nikke_guillotine_03_9,False,,S_10,S_10,1.0,,,,1,delight,,,,
d_nikke_guillotine_03_10,d_nikke_guillotine_03,Speech,guillotine,Locale_NikkeEpisode:d_nikke_guillotine_03_10,False,,S_10,1,1.0,,guillotine,,1,idle,,,,
d_nikke_guillotine_03_11,d_nikke_guillotine_03,Narration,guillotine,Locale_NikkeEpisode:d_nikke_guillotine_03_11,False,,1,1,1.0,,,,1,idle,,,,
d_nikke_guillotine_03_12,d_nikke_guillotine_03,Narration,guillotine,Locale_NikkeEpisode:d_nikke_guillotine_03_12,False,,1,1,1.0,,,,1,idle,,,,
d_nikke_guillotine_03_13,d_nikke_guillotine_03,Self,guillotine,Locale_NikkeEpisode:d_nikke_guillotine_03_13,False,,1,1,1.0,,,,1,idle,,,,
d_nikke_guillotine_03_14,d_nikke_guillotine_03,Speech,guillotine,Locale_NikkeEpisode:d_nikke_guillotine_03_14,True,,1,1,1.0,,guillotine,,1,no,,,,
