id,group_id,speech_window,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,highlight,speaker,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,play_sound,fade,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,set_camera_shake
d_nikke_trony_02_1,d_nikke_trony_02,Narration,Locale_NikkeEpisode:d_nikke_trony_02_1,False,NikkeRoom,black,black,1.0,none,,,,,,,,,,,,
d_nikke_trony_02_2,d_nikke_trony_02,Speech,Locale_NikkeEpisode:d_nikke_trony_02_2,True,,10,10,1.0,bgm_story_breakaway,trony,trony,trony,1,shy,,,,,,,
d_nikke_trony_02_3,d_nikke_trony_02,Narration,Locale_NikkeEpisode:d_nikke_trony_02_3,False,,10,10,1.0,,,,,1,shy,sfx_scn_bookclose,,,,,,
d_nikke_trony_02_4,d_nikke_trony_02,Narration,Locale_NikkeEpisode:d_nikke_trony_02_4,False,,10,10,1.0,,,,,1,shy,,,,,,,
d_nikke_trony_02_5,d_nikke_trony_02,Speech,Locale_NikkeEpisode:d_nikke_trony_02_5,True,,10,10,1.0,,trony,trony,,1,no,,,,,,,
d_nikke_trony_02_6,d_nikke_trony_02,Speech,Locale_NikkeEpisode:d_nikke_trony_02_6,True,,10,10,1.0,,trony,trony,,1,no,,,,,,,
d_nikke_trony_02_7,d_nikke_trony_02,Speech,Locale_NikkeEpisode:d_nikke_trony_02_7,True,,10,10,1.0,,trony,trony,,1,idle,,,,,,,
d_nikke_trony_02_8,d_nikke_trony_02,Speech,Locale_NikkeEpisode:d_nikke_trony_02_8,True,,10,10,1.0,,trony,trony,,1,idle,,,,,,,
d_nikke_trony_02_9,d_nikke_trony_02,Speech,Locale_NikkeEpisode:d_nikke_trony_02_9,False,,10,10,1.0,,trony,trony,,1,idle,,,,,,,
d_nikke_trony_02_10,d_nikke_trony_02,Speech,Locale_NikkeEpisode:d_nikke_trony_02_10,True,,10,100,0.7,,trony,trony,,1,sad,,,,,,,
d_nikke_trony_02_11,d_nikke_trony_02,Speech,Locale_NikkeEpisode:d_nikke_trony_02_11,True,,100,100,1.0,,trony,trony,,1,surprise,,,,,,,
d_nikke_trony_02_12,d_nikke_trony_02,Self,Locale_NikkeEpisode:d_nikke_trony_02_12,False,CommanderRoom,1,1,1.0,none,,,,1,sad,,black,,,,,
d_nikke_trony_02_13,d_nikke_trony_02,Self,Locale_NikkeEpisode:d_nikke_trony_02_13,False,,1,1,1.0,,,,,1,sad,,,,,,,
d_nikke_trony_02_14,d_nikke_trony_02,Speech,Locale_NikkeEpisode:d_nikke_trony_02_14,True,,1,1,1.0,bgm_story_leisuretime,trony,trony,,1,sad,,,,,,,
d_nikke_trony_02_15,d_nikke_trony_02,Self,Locale_NikkeEpisode:d_nikke_trony_02_15,False,,1,1,1.0,,,,,1,sad,,,,,,,
