id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,fade
d_nikke_rapi_03_1,d_nikke_rapi_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_03_1,True,rapi,1,idle,ShoppingMall,1,1,1.0,bgm_story_orangepop,,,,,,
d_nikke_rapi_03_2,d_nikke_rapi_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_03_2,True,,1,idle,,1,1,1.0,,,,,,,
d_nikke_rapi_03_3,d_nikke_rapi_03,Monologue,rapi,Monologue,Locale_NikkeEpisode:d_nikke_rapi_03_3,False,,1,idle,,1,10,1.0,,,,,,,
d_nikke_rapi_03_4,d_nikke_rapi_03,Monologue,rapi,Monologue,Locale_NikkeEpisode:d_nikke_rapi_03_4,False,,1,idle,,10,10,1.0,,,,,,,
d_nikke_rapi_03_5,d_nikke_rapi_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_03_5,True,,1,idle,,10,10,1.0,,,,,,,
d_nikke_rapi_03_6,d_nikke_rapi_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_03_6,True,,1,idle,,10,10,1.0,,,,,,,
d_nikke_rapi_03_7,d_nikke_rapi_03,Self,rapi,Self,Locale_NikkeEpisode:d_nikke_rapi_03_7,False,,1,idle,,10,10,1.0,,,,,,,
d_nikke_rapi_03_8,d_nikke_rapi_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_03_8,True,,1,idle,,10,10,1.0,,,,,,,
d_nikke_rapi_03_9,d_nikke_rapi_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_03_9,True,,1,think,,10,10,1.0,,,,,,,
d_nikke_rapi_03_10,d_nikke_rapi_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_03_10,True,,1,think,,10,10,1.0,,,,,,,
d_nikke_rapi_03_11,d_nikke_rapi_03,Monologue,rapi,Monologue,Locale_NikkeEpisode:d_nikke_rapi_03_11,False,,1,think,,10,10,1.0,,,,,,,
d_nikke_rapi_03_12,d_nikke_rapi_03,Monologue,rapi,Monologue,Locale_NikkeEpisode:d_nikke_rapi_03_12,False,,1,think,,10,10,1.0,,,,,,,
d_nikke_rapi_03_13,d_nikke_rapi_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_03_13,True,,1,idle,,10,10,1.0,,,,,,,
d_nikke_rapi_03_14,d_nikke_rapi_03,Self,rapi,Self,Locale_NikkeEpisode:d_nikke_rapi_03_14,False,,1,idle,,10,10,1.0,,,,,,,
d_nikke_rapi_03_15,d_nikke_rapi_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_03_15,True,,1,idle,,10,10,1.0,,,,,,,
d_nikke_rapi_03_16,d_nikke_rapi_03,Self,rapi,Self,Locale_NikkeEpisode:d_nikke_rapi_03_16,False,,1,idle,,10,10,1.0,,,,,,,
d_nikke_rapi_03_17,d_nikke_rapi_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_03_17,False,,1,worry,,10,10,1.0,,,,,,,
d_nikke_rapi_03_18,d_nikke_rapi_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_03_18,True,,1,delight,,10,10,1.0,,,,,,,
d_nikke_rapi_03_19,d_nikke_rapi_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_03_19,True,,1,think,,10,10,1.0,,,,,,,
d_nikke_rapi_03_20,d_nikke_rapi_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_03_20,True,,1,think,,10,10,1.0,,,,,,,
d_nikke_rapi_03_21,d_nikke_rapi_03,Self,rapi,Self,Locale_NikkeEpisode:d_nikke_rapi_03_21,False,,1,think,,10,10,1.0,,,,,,,
d_nikke_rapi_03_22,d_nikke_rapi_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_03_22,True,,1,idle,,10,10,1.0,,,,,,,
d_nikke_rapi_03_23,d_nikke_rapi_03,Narration,rapi,Narration,Locale_NikkeEpisode:d_nikke_rapi_03_23,False,,9,idle,,black,black,1.0,,,,,,,
d_nikke_rapi_03_24,d_nikke_rapi_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_03_24,True,,9,idle,,9,9,2.0,,,,,,,
d_nikke_rapi_03_25,d_nikke_rapi_03,Self,rapi,Self,Locale_NikkeEpisode:d_nikke_rapi_03_25,False,,9,idle,,9,9,1.0,,,,,,,
d_nikke_rapi_03_26,d_nikke_rapi_03,Speech,rapi,rapi,Locale_NikkeEpisode:d_nikke_rapi_03_26,True,,9,idle,,9,9,1.0,,,,,,,
d_nikke_rapi_03_27,d_nikke_rapi_03,Narration,,Narration,Locale_NikkeEpisode:d_nikke_rapi_03_27,False,,1,idle,Cafe,black,black,1.0,,sfx_scn_autodooropen,,,,,
d_nikke_rapi_03_28,d_nikke_rapi_03,Speech,fancyclerk,fancyclerk,Locale_NikkeEpisode:d_nikke_rapi_03_28,True,,1,idle,,15,15,1.0,,,fancyclerk,15,idle,,
d_nikke_rapi_03_29,d_nikke_rapi_03,Speech,fancyclerk,fancyclerk,Locale_NikkeEpisode:d_nikke_rapi_03_29,False,,1,idle,,15,1,1.0,,,,15,idle,,
d_nikke_rapi_03_30,d_nikke_rapi_03,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_rapi_03_30,False,,1,idle,,1,10,2.0,,,,15,idle,,
d_nikke_rapi_03_31,d_nikke_rapi_03,Speech,fancyclerk,fancyclerk,Locale_NikkeEpisode:d_nikke_rapi_03_31,True,,1,idle,,15,15,1.0,,,,15,idle,,
d_nikke_rapi_03_32,d_nikke_rapi_03,Self,fancyclerk,Self,Locale_NikkeEpisode:d_nikke_rapi_03_32,False,,1,idle,,15,15,1.0,,,,15,idle,,
d_nikke_rapi_03_33,d_nikke_rapi_03,Speech,fancyclerk,fancyclerk,Locale_NikkeEpisode:d_nikke_rapi_03_33,True,,1,idle,,15,15,1.0,,,,15,idle,,
d_nikke_rapi_03_34,d_nikke_rapi_03,Self,fancyclerk,Self,Locale_NikkeEpisode:d_nikke_rapi_03_34,False,,1,idle,,15,15,1.0,,,,15,idle,,
d_nikke_rapi_03_35,d_nikke_rapi_03,Speech,fancyclerk,fancyclerk,Locale_NikkeEpisode:d_nikke_rapi_03_35,False,,1,idle,,15,15,1.0,none,,,15,idle,,
d_nikke_rapi_03_36,d_nikke_rapi_03,Speech,fancyclerk,fancyclerk,Locale_NikkeEpisode:d_nikke_rapi_03_36,True,,1,idle,,15,15,1.0,bgm_story_crawlinganxiety,,,15,idle,,
d_nikke_rapi_03_37,d_nikke_rapi_03,Self,fancyclerk,Self,Locale_NikkeEpisode:d_nikke_rapi_03_37,False,,1,idle,,15,15,1.0,,,,15,idle,,
d_nikke_rapi_03_38,d_nikke_rapi_03,Speech,fancyclerk,fancyclerk,Locale_NikkeEpisode:d_nikke_rapi_03_38,True,,1,idle,,15,15,1.0,,,,15,idle,,
d_nikke_rapi_03_39,d_nikke_rapi_03,Self,fancyclerk,Self,Locale_NikkeEpisode:d_nikke_rapi_03_39,False,,1,idle,,15,15,1.0,,,,15,idle,,
d_nikke_rapi_03_40,d_nikke_rapi_03,Speech,fancyclerk,fancyclerk,Locale_NikkeEpisode:d_nikke_rapi_03_40,True,,1,idle,,15,15,1.0,,,,15,idle,,
