id,group_id,speech_window,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,play_sound,highlight
d_nikke_ce_02_02_03_1,d_nikke_ce_02_02_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_03_1,False,Factory,15,15,1.0,event_bgm_ce002_story_3,,,,,,,,
d_nikke_ce_02_02_03_2,d_nikke_ce_02_02_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_03_2,False,,15,15,1.0,,,,,,,,,
d_nikke_ce_02_02_03_3,d_nikke_ce_02_02_03,Narration,Narration,Locale_NikkeEpisode:d_nikke_ce_02_02_03_3,False,,15,2,0.5,,p12,1,idle,ce_02_02,3,idle,sfx_scn_bird,
d_nikke_ce_02_02_03_4,d_nikke_ce_02_02_03,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_03_4,True,,2,2,1.0,,,1,idle,,3,idle,,p12
d_nikke_ce_02_02_03_5,d_nikke_ce_02_02_03,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_03_5,True,,2,2,1.0,,,1,idle,,3,idle,,p12
d_nikke_ce_02_02_03_6,d_nikke_ce_02_02_03,Speech,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_03_6,True,,2,2,1.0,,,1,idle,,3,idle,,ce_02_02
d_nikke_ce_02_02_03_7,d_nikke_ce_02_02_03,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_03_7,True,,2,2,1.0,,,1,idle,,3,idle,,p12
d_nikke_ce_02_02_03_8,d_nikke_ce_02_02_03,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_03_8,True,,2,2,1.0,,,1,idle,,3,idle,,p12
d_nikke_ce_02_02_03_9,d_nikke_ce_02_02_03,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_03_9,True,,2,2,1.0,,,1,idle,,3,idle,,p12
d_nikke_ce_02_02_03_10,d_nikke_ce_02_02_03,Speech,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_03_10,True,,2,3,0.7,,,1,idle,,3,think,,ce_02_02
d_nikke_ce_02_02_03_11,d_nikke_ce_02_02_03,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_03_11,True,,3,10,0.7,,,1,idle,,3,think,,p12
d_nikke_ce_02_02_03_12,d_nikke_ce_02_02_03,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_03_12,True,,10,10,1.0,,,1,idle,,3,think,,p12
d_nikke_ce_02_02_03_13,d_nikke_ce_02_02_03,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_03_13,True,,10,10,1.0,,,1,idle,,3,think,,p12
d_nikke_ce_02_02_03_14,d_nikke_ce_02_02_03,Speech,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_03_14,False,,10,30,0.7,,,1,idle,,3,think,,ce_02_02
d_nikke_ce_02_02_03_15,d_nikke_ce_02_02_03,Speech,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_03_15,True,,30,30,1.0,,,1,idle,,3,think,,ce_02_02
d_nikke_ce_02_02_03_16,d_nikke_ce_02_02_03,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_03_16,True,,30,10,1.0,,,1,idle,,3,think,,p12
d_nikke_ce_02_02_03_17,d_nikke_ce_02_02_03,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_03_17,True,,10,10,1.0,,,1,idle,,3,idle,,p12
d_nikke_ce_02_02_03_18,d_nikke_ce_02_02_03,Monologue,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_03_18,False,,10,10,1.0,,,1,idle,,3,idle,,
d_nikke_ce_02_02_03_19,d_nikke_ce_02_02_03,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_03_19,True,,10,10,1.0,,,1,idle,,3,idle,,p12
d_nikke_ce_02_02_03_20,d_nikke_ce_02_02_03,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_03_20,True,,10,100,0.5,,,1,idle,,3,idle,,p12
d_nikke_ce_02_02_03_21,d_nikke_ce_02_02_03,Speech,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_03_21,True,,100,100,1.0,,,1,idle,,3,idle,,p12
