id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
treasurestory_bay_02_1,treasurestory_bay_02,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_02_1,True,CommanderRoom,1,1,1.0,none,,,bay,1,surprise
treasurestory_bay_02_2,treasurestory_bay_02,Self,bay,,Locale_NikkeEpisode:treasurestory_bay_02_2,False,,1,1,1.0,,,,,1,surprise
treasurestory_bay_02_3,treasurestory_bay_02,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_02_3,True,,1,1,1.0,,,,,1,surprise
treasurestory_bay_02_4,treasurestory_bay_02,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_02_4,True,,1,1,1.0,,,,,1,surprise
treasurestory_bay_02_5,treasurestory_bay_02,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_02_5,True,,1,1,1.0,,,,,1,surprise
treasurestory_bay_02_6,treasurestory_bay_02,Self,bay,,Locale_NikkeEpisode:treasurestory_bay_02_6,False,,1,1,1.0,,,,,1,surprise
treasurestory_bay_02_7,treasurestory_bay_02,Monologue,bay,,Locale_NikkeEpisode:treasurestory_bay_02_7,False,,black,black,1.0,,,,,1,surprise
treasurestory_bay_02_8,treasurestory_bay_02,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_02_8,False,,1,1,1.0,,,,,1,surprise
treasurestory_bay_02_9,treasurestory_bay_02,Monologue,bay,,Locale_NikkeEpisode:treasurestory_bay_02_9,False,,1,10,1.3,,,,,1,surprise
treasurestory_bay_02_10,treasurestory_bay_02,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_02_10,True,,10,10,1.0,,,,,1,surprise
treasurestory_bay_02_11,treasurestory_bay_02,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_02_11,True,,10,10,1.0,bgm_story_tepidappleade,,,,1,worry_02
treasurestory_bay_02_12,treasurestory_bay_02,Self,bay,,Locale_NikkeEpisode:treasurestory_bay_02_12,False,,10,10,1.0,,,,,1,worry_02
treasurestory_bay_02_13,treasurestory_bay_02,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_02_13,True,,10,10,1.0,,,,,1,worry
treasurestory_bay_02_14,treasurestory_bay_02,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_02_14,True,,10,100,1.3,,,,,1,surprise
treasurestory_bay_02_15,treasurestory_bay_02,Narration,bay,,Locale_NikkeEpisode:treasurestory_bay_02_15,False,,black,black,1.0,,sfx_scn_showerlever,,,1,surprise
treasurestory_bay_02_16,treasurestory_bay_02,Narration,bay,,Locale_NikkeEpisode:treasurestory_bay_02_16,False,,black,black,1.0,,sfx_scn_shower,,,1,surprise
treasurestory_bay_02_17,treasurestory_bay_02,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_02_17,False,,100,10,1.3,,,,,1,surprise
treasurestory_bay_02_18,treasurestory_bay_02,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_02_18,True,,10,10,1.0,,,,,1,surprise
treasurestory_bay_02_19,treasurestory_bay_02,Self,bay,,Locale_NikkeEpisode:treasurestory_bay_02_19,False,,10,10,1.0,,,,,1,surprise
treasurestory_bay_02_20,treasurestory_bay_02,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_02_20,True,,10,10,1.0,,,,,1,surprise
treasurestory_bay_02_21,treasurestory_bay_02,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_02_21,True,,10,10,1.0,,,,,1,surprise
treasurestory_bay_02_22,treasurestory_bay_02,Self,bay,,Locale_NikkeEpisode:treasurestory_bay_02_22,False,,10,10,1.0,,,,,1,surprise
treasurestory_bay_02_23,treasurestory_bay_02,Self,bay,,Locale_NikkeEpisode:treasurestory_bay_02_23,False,,10,10,1.0,,,,,1,surprise
treasurestory_bay_02_24,treasurestory_bay_02,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_02_24,True,,10,10,1.0,,,,,1,idle
treasurestory_bay_02_25,treasurestory_bay_02,Self,bay,,Locale_NikkeEpisode:treasurestory_bay_02_25,False,,10,10,1.0,,,,,1,idle
treasurestory_bay_02_26,treasurestory_bay_02,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_02_26,True,,10,10,1.0,,,,,1,idle
treasurestory_bay_02_27,treasurestory_bay_02,Self,bay,,Locale_NikkeEpisode:treasurestory_bay_02_27,False,,10,10,1.0,,,,,1,idle
treasurestory_bay_02_28,treasurestory_bay_02,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_02_28,False,,10,10,1.0,,,,,1,idle
treasurestory_bay_02_29,treasurestory_bay_02,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_02_29,True,,10,10,1.0,,,,,1,idle
treasurestory_bay_02_30,treasurestory_bay_02,Speech,bay,bay,Locale_NikkeEpisode:treasurestory_bay_02_30,True,,10,10,1.0,,,,,1,idle
