id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,play_sound,fade,set_filter_01,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/0/hide_char_id,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id
d_nikke_ce_02_02_05_1,d_nikke_ce_02_02_05,Speech,p12,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_05_1,True,Factory,2,2,1.0,event_bgm_ce002_story_3,,,,p12,1,idle,,ce_02_02,3,idle,
d_nikke_ce_02_02_05_2,d_nikke_ce_02_02_05,Speech,p12,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_05_2,True,,2,2,1.0,,,,,,1,idle,,,3,idle,
d_nikke_ce_02_02_05_3,d_nikke_ce_02_02_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_05_3,False,,2,2,1.0,,,,,,1,idle,,,3,idle,
d_nikke_ce_02_02_05_4,d_nikke_ce_02_02_05,Narration,,Narration,Locale_NikkeEpisode:d_nikke_ce_02_02_05_4,False,,2,2,1.0,,sfx_scn_bird,,,,1,idle,,,3,idle,
d_nikke_ce_02_02_05_5,d_nikke_ce_02_02_05,Speech,p12,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_05_5,False,,2,2,1.0,,,,,,1,idle,,,3,idle,
d_nikke_ce_02_02_05_6,d_nikke_ce_02_02_05,Speech,ce_02_02,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_05_6,False,,2,2,1.0,,,,,,1,idle,,,3,think,
d_nikke_ce_02_02_05_7,d_nikke_ce_02_02_05,Monologue,,Monologue,Locale_NikkeEpisode:d_nikke_ce_02_02_05_7,False,,black,black,1.0,,,,,,1,idle,,,3,think,
d_nikke_ce_02_02_05_8,d_nikke_ce_02_02_05,Speech,p12,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_05_8,True,,1,10,0.5,,,,,,1,idle,,,3,think,
d_nikke_ce_02_02_05_9,d_nikke_ce_02_02_05,Speech,p12,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_05_9,True,,10,10,1.0,,,,,,1,idle,,,3,think,
d_nikke_ce_02_02_05_10,d_nikke_ce_02_02_05,Speech,p12,p12,Locale_NikkeEpisode:d_nikke_ce_02_02_05_10,True,,10,10,1.0,,,,,,1,idle,,,3,think,
d_nikke_ce_02_02_05_11,d_nikke_ce_02_02_05,Speech,ce_02_02,ce_02_02,Locale_NikkeEpisode:d_nikke_ce_02_02_05_11,True,,3,30,0.7,,,,,,1,idle,,,3,angry,
