id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,speaker,fade,play_sound,set_camera_shake,jump_target,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim
d_nikke_mast_romanticmaid_03_1,d_nikke_mast_romanticmaid_03,Monologue,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_03_1,False,CommanderRoom,black,black,1.0,bgm_story_languor,,,,,,mast_m,1,idle2
d_nikke_mast_romanticmaid_03_2,d_nikke_mast_romanticmaid_03,Self,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_03_2,False,,S_100,S_100,1.0,,,,,,,,1,idle2
d_nikke_mast_romanticmaid_03_3,d_nikke_mast_romanticmaid_03,Speech,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_03_3,True,,S_100,S_10,1.0,,mast_m,,,,,,1,idle2
d_nikke_mast_romanticmaid_03_4,d_nikke_mast_romanticmaid_03,Monologue,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_03_4,False,,S_10,S_10,1.0,,,,,,,,1,idle2
d_nikke_mast_romanticmaid_03_5,d_nikke_mast_romanticmaid_03,Self,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_03_5,False,,S_10,S_10,1.0,,,,,,,,1,idle2
d_nikke_mast_romanticmaid_03_6,d_nikke_mast_romanticmaid_03,Self,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_03_6,False,,S_10,S_10,1.0,,,,,,,,1,idle2
d_nikke_mast_romanticmaid_03_7,d_nikke_mast_romanticmaid_03,Speech,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_03_7,True,,S_10,S_10,1.0,,mast_m,,,,,,1,idle2
d_nikke_mast_romanticmaid_03_8,d_nikke_mast_romanticmaid_03,Self,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_03_8,False,,S_10,S_10,1.0,,,,,,,,1,idle2
d_nikke_mast_romanticmaid_03_9,d_nikke_mast_romanticmaid_03,Self,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_03_9,False,,S_10,S_10,1.0,,,,,,,,1,idle2
d_nikke_mast_romanticmaid_03_10,d_nikke_mast_romanticmaid_03,Speech,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_03_10,True,,S_10,S_10,1.0,,mast_m,,,,,,1,surprise
d_nikke_mast_romanticmaid_03_11,d_nikke_mast_romanticmaid_03,Self,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_03_11,False,,S_10,S_10,1.0,,,,,,,,1,surprise
d_nikke_mast_romanticmaid_03_12,d_nikke_mast_romanticmaid_03,Speech,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_03_12,True,,S_10,S_10,1.0,,mast_m,,,,,,1,idle2
d_nikke_mast_romanticmaid_03_13,d_nikke_mast_romanticmaid_03,Speech,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_03_13,True,,S_10,S_10,1.0,,mast_m,,,,,,1,idle2
d_nikke_mast_romanticmaid_03_14,d_nikke_mast_romanticmaid_03,Speech,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_03_14,True,,S_10,S_10,1.0,,mast_m,,,,,,1,idle2
d_nikke_mast_romanticmaid_03_15,d_nikke_mast_romanticmaid_03,Monologue,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_03_15,False,,S_10,S_10,1.0,,,,,,,,1,idle2
d_nikke_mast_romanticmaid_03_16,d_nikke_mast_romanticmaid_03,Self,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_03_16,False,,S_10,S_10,1.0,,,,,,,,1,idle2
d_nikke_mast_romanticmaid_03_17,d_nikke_mast_romanticmaid_03,Speech,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_03_17,True,,S_10,S_100,1.0,,mast_m,,,,,,1,idle
d_nikke_mast_romanticmaid_03_18,d_nikke_mast_romanticmaid_03,Monologue,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_03_18,False,AmusementPark,S_100,S_100,1.0,,,black,,,,,1,idle
d_nikke_mast_romanticmaid_03_19,d_nikke_mast_romanticmaid_03,Speech,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_03_19,True,,S_100,S_100,1.0,,mast_m,,,,,,1,delight
d_nikke_mast_romanticmaid_03_20,d_nikke_mast_romanticmaid_03,Monologue,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_03_20,False,,S_100,S_100,1.0,,,,,,,,1,delight
d_nikke_mast_romanticmaid_03_21,d_nikke_mast_romanticmaid_03,Monologue,mast_m,Locale_NikkeEpisode:d_nikke_mast_romanticmaid_03_21,False,,S_100,S_100,1.0,,,,,,,,1,delight
