id,group_id,speech_window,highlight,speaker,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,jump_target,fade,play_sound,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim,characters/1/hide_char_id,characters/2/show_char_id,characters/2/set_char_position,characters/2/set_char_anim
d_nikke_rei_02_1,d_nikke_rei_02,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_rei_02_1,True,SchoolCorridor,XS_10,XS_10,1.0,bgm_story_whosdumber,,,,rei,1,cry,,,,,,,
d_nikke_rei_02_2,d_nikke_rei_02,Narration,rei,,Locale_NikkeEpisode:d_nikke_rei_02_2,False,,XS_10,XS_10,1.0,,,,,,1,cry,,,,,,,
d_nikke_rei_02_3,d_nikke_rei_02,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_rei_02_3,True,,XS_10,XS_10,1.0,,,,,,1,cry,,,,,,,
d_nikke_rei_02_4,d_nikke_rei_02,Narration,rei,,Locale_NikkeEpisode:d_nikke_rei_02_4,False,,XS_10,XS_10,1.0,,,,,,1,cry,,,,,,,
d_nikke_rei_02_5,d_nikke_rei_02,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_rei_02_5,True,,XS_10,XS_10,1.0,,,,,,1,cry,,,,,,,
d_nikke_rei_02_6,d_nikke_rei_02,Narration,rei,,Locale_NikkeEpisode:d_nikke_rei_02_6,False,,XS_10,XS_10,1.0,,,,,,1,cry,,,,,,,
d_nikke_rei_02_7,d_nikke_rei_02,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_rei_02_7,True,,XS_10,XS_10,1.0,,,,,,1,cry,,,,,,,
d_nikke_rei_02_8,d_nikke_rei_02,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_rei_02_8,True,,XS_10,1,1.0,,,,,,1,cry,,,,,,,
d_nikke_rei_02_9,d_nikke_rei_02,Self,rei,,Locale_NikkeEpisode:d_nikke_rei_02_9,False,,1,1,1.0,,,,,,1,cry,,,,,,,
d_nikke_rei_02_10,d_nikke_rei_02,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_rei_02_10,True,,1,1,1.0,,,,,,1,cry,,,,,,,
d_nikke_rei_02_11,d_nikke_rei_02,Self,rei,,Locale_NikkeEpisode:d_nikke_rei_02_11,False,,1,1,1.0,,,,,,1,cry,,,,,,,
d_nikke_rei_02_12,d_nikke_rei_02,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_rei_02_12,True,,1,1,1.0,,,,,,1,cry,,,,,,,
d_nikke_rei_02_13,d_nikke_rei_02,Choice,rei,,Locale_NikkeEpisode:d_nikke_rei_02_13,False,,1,1,1.0,,d_nikke_rei_02_15,,,,1,cry,,,,,,,
d_nikke_rei_02_14,d_nikke_rei_02,Choice,rei,,Locale_NikkeEpisode:d_nikke_rei_02_14,False,,1,1,1.0,,d_nikke_rei_02_16,,,,1,cry,,,,,,,
d_nikke_rei_02_15,d_nikke_rei_02,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_rei_02_15,True,,1,1,1.0,,d_nikke_rei_02_17,,,,1,cry,,,,,,,
d_nikke_rei_02_16,d_nikke_rei_02,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_rei_02_16,True,,1,1,1.0,,d_nikke_rei_02_17,,,,1,cry,,,,,,,
d_nikke_rei_02_17,d_nikke_rei_02,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_rei_02_17,True,,1,XS_10,1.0,,,,,,1,cry,,,,,,,
d_nikke_rei_02_18,d_nikke_rei_02,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_rei_02_18,True,,XS_10,XS_10,1.0,,,,,,1,cry,,,,,,,
d_nikke_rei_02_19,d_nikke_rei_02,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_rei_02_19,True,,XS_10,XS_10,1.0,,,,,,1,cry,,,,,,,
d_nikke_rei_02_20,d_nikke_rei_02,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_rei_02_20,True,,XS_10,XS_10,1.0,,,,,,1,cry,,,,,,,
d_nikke_rei_02_21,d_nikke_rei_02,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_rei_02_21,True,,XS_10,XS_10,1.0,,,,,,1,cry,,,,,,,
d_nikke_rei_02_22,d_nikke_rei_02,Self,rei,,Locale_NikkeEpisode:d_nikke_rei_02_22,False,,XS_10,XS_10,1.0,,,,,,1,cry,,,,,,,
d_nikke_rei_02_23,d_nikke_rei_02,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_rei_02_23,True,,XS_10,XS_100,1.0,,,,,,1,cry,,,,,,,
d_nikke_rei_02_24,d_nikke_rei_02,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_rei_02_24,True,Classroom,2,2,1.0,,,black,,,1,cry,ein,3,idle,,,,
d_nikke_rei_02_25,d_nikke_rei_02,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_rei_02_25,True,,2,2,1.0,,,,,,1,angry,,3,idle,,,,
d_nikke_rei_02_26,d_nikke_rei_02,Speech,ein,ein,Locale_NikkeEpisode:d_nikke_rei_02_26,True,,2,2,1.0,,,,,,1,angry,,3,idle,,,,
d_nikke_rei_02_27,d_nikke_rei_02,Speech,rei,rei,Locale_NikkeEpisode:d_nikke_rei_02_27,False,,2,2,1.0,,,,,,1,angry,,3,idle,,,,
