id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_sound,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,speaker,characters/1/show_char_id,characters/1/set_char_position,characters/1/set_char_anim
d_nikke_ce006_02_03_1,d_nikke_ce006_02_03,Narration,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_1,False,Desert_03,black,black,1.0,sfx_scn_hugestonelift,bgm_distress,,,,,,,
d_nikke_ce006_02_03_2,d_nikke_ce006_02_03,Narration,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_2,False,,black,black,1.0,sfx_scn_movingrobot,,,,,,,,
d_nikke_ce006_02_03_3,d_nikke_ce006_02_03,Narration,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_3,False,,black,black,1.0,sfx_scn_fragment,,,,,,,,
d_nikke_ce006_02_03_4,d_nikke_ce006_02_03,Narration,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_4,False,,black,black,1.0,,,ce006_02,2,no,,,,
d_nikke_ce006_02_03_5,d_nikke_ce006_02_03,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_5,True,,20,20,1.0,,,,2,no,ce006_02,,,
d_nikke_ce006_02_03_6,d_nikke_ce006_02_03,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_6,True,,20,20,1.0,,,,2,no,ce006_02,,,
d_nikke_ce006_02_03_7,d_nikke_ce006_02_03,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_03_7,True,,20,1,1.3,,,,2,no,com,com,12,idle
d_nikke_ce006_02_03_8,d_nikke_ce006_02_03,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_03_8,True,,1,1,1.0,,,,2,no,com,,12,idle
d_nikke_ce006_02_03_9,d_nikke_ce006_02_03,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_9,True,,1,1,1.0,,,,2,surprise,ce006_02,,12,idle
d_nikke_ce006_02_03_10,d_nikke_ce006_02_03,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_10,True,,1,1,1.0,,,,2,surprise,ce006_02,,12,idle
d_nikke_ce006_02_03_11,d_nikke_ce006_02_03,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_03_11,True,,1,1,1.0,,,,2,surprise,com,,12,idle
d_nikke_ce006_02_03_12,d_nikke_ce006_02_03,Speech,com,Locale_NikkeEpisode:d_nikke_ce006_02_03_12,True,,1,1,1.0,,,,2,surprise,com,,12,idle
d_nikke_ce006_02_03_13,d_nikke_ce006_02_03,Speech,ce006_02,Locale_NikkeEpisode:d_nikke_ce006_02_03_13,False,,1,1,1.0,,,,2,no,ce006_02,,12,idle
