id,group_id,speech_window,highlight,scenario_localkey,play_lipSync,set_background,set_start_camera,set_end_camera,set_camera_duration,play_bgm,characters/0/show_char_id,characters/0/set_char_position,characters/0/set_char_anim,speaker,jump_target,characters/0/hide_char_id,play_sound,fade
treasurestory_tove_05_1,treasurestory_tove_05,Monologue,tove,Locale_NikkeEpisode:treasurestory_tove_05_1,False,CityForest_03,1,1,1.0,bgm_frostpillar,,,,,,,,
treasurestory_tove_05_2,treasurestory_tove_05,Monologue,tove,Locale_NikkeEpisode:treasurestory_tove_05_2,False,,1,S_10,1.3,,tove,1,idle,,,,,
treasurestory_tove_05_3,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_3,True,,S_10,S_10,1.0,,,1,idle,tove,,,,
treasurestory_tove_05_4,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_4,True,,S_10,S_10,1.0,,,1,idle,tove,,,,
treasurestory_tove_05_5,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_5,True,,S_10,S_10,1.0,,,1,idle,tove,,,,
treasurestory_tove_05_6,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_6,True,,S_10,S_10,1.0,,,1,idle,tove,,,,
treasurestory_tove_05_7,treasurestory_tove_05,Self,tove,Locale_NikkeEpisode:treasurestory_tove_05_7,False,,S_10,S_10,1.0,,,1,idle,,,,,
treasurestory_tove_05_8,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_8,True,,S_10,S_10,1.0,,,1,delight,tove,,,,
treasurestory_tove_05_9,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_9,True,,S_10,S_10,1.0,,,1,delight,tove,,,,
treasurestory_tove_05_10,treasurestory_tove_05,Self,tove,Locale_NikkeEpisode:treasurestory_tove_05_10,False,,S_10,S_10,1.0,,,1,delight,,,,,
treasurestory_tove_05_11,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_11,True,,S_10,S_10,1.0,,,1,idle,tove,,,,
treasurestory_tove_05_12,treasurestory_tove_05,Self,tove,Locale_NikkeEpisode:treasurestory_tove_05_12,False,,S_10,S_10,1.0,,,1,idle,,,,,
treasurestory_tove_05_13,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_13,True,,S_10,S_10,1.0,,,1,think,tove,,,,
treasurestory_tove_05_14,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_14,True,,S_10,S_10,1.0,,,1,idle,tove,,,,
treasurestory_tove_05_15,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_15,True,,S_10,S_10,1.0,,,1,idle,tove,,,,
treasurestory_tove_05_16,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_16,True,,S_10,S_10,1.0,,,1,idle,tove,,,,
treasurestory_tove_05_17,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_17,True,,S_10,S_10,1.0,,,1,think,tove,,,,
treasurestory_tove_05_18,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_18,True,,S_10,S_10,1.0,,,1,think,tove,,,,
treasurestory_tove_05_19,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_19,True,,S_10,S_10,1.0,,,1,think,tove,,,,
treasurestory_tove_05_20,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_20,True,,S_10,S_10,1.0,,,1,think,tove,,,,
treasurestory_tove_05_21,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_21,True,,S_10,S_10,1.0,,,1,think,tove,,,,
treasurestory_tove_05_22,treasurestory_tove_05,Self,tove,Locale_NikkeEpisode:treasurestory_tove_05_22,False,,S_10,S_10,1.0,,,1,think,,,,,
treasurestory_tove_05_23,treasurestory_tove_05,Speech,tove,Locale_NikkeEpisode:treasurestory_tove_05_23,True,,S_10,S_10,1.0,,,1,idle,tove,,,,
